PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Pacific (Ore.),K,PAC,1,,,,,,,KO Ret,Return,,,,,,,,,,,,,,,,Darius Chaffin,92,0.0,Zack Saros,57.0,8.0,Return,,,,,,,,,,,,,,True,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Pacific (Ore.),K,PLU,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peiyton Hilliard,,,Good,,,,,,,,,14:48,1788,6,0,6,3,3,3,,,,,,,
3,Pacific (Ore.),K,PLU,1,,,,1.0,-35.0,-35.0,KO,Out of bounds,,,,,,,,,,,,,,,,,,,Peiyton Hilliard,57.0,8.0,Out of bounds,,,,,,,,,,,,,,,,,,,14:48,1788,7,0,7,3,3,3,,,,,,,
4,Pacific (Ore.),D,PAC,1,,1.0,1.0,0.0,15.0,-30.0,Run,Rush,6.0,Kenyon Harris,,,,,,,Ore.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:48,1788,0,7,7,3,3,3,,,,,,,
5,Pacific (Ore.),D,PAC,1,,1.0,2.0,2.0,9.0,-36.0,Run,Rush,2.0,,,,,,,,Nico Golla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:48,1788,0,7,7,3,3,3,,,,,,,
6,Pacific (Ore.),D,PAC,1,,1.0,3.0,3.0,7.0,-38.0,Pass,Complete,12.0,,,Complete,Ty Hargis,,,,Cheyn Tam-Switzer,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:19,1759,0,7,7,3,3,3,,,,,,,
7,Pacific (Ore.),D,PAC,1,,1.0,4.0,1.0,10.0,-50.0,Pass,Complete,8.0,,,Complete,Kyle Kern,,,,Jared Elwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:44,1724,0,7,7,3,3,3,,,,,,,
8,Pacific (Ore.),D,PAC,1,,1.0,5.0,2.0,2.0,42.0,Run,Rush,6.0,,,,,,,,Max Larson,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:13,1693,0,7,7,3,3,3,,,,,,,
9,Pacific (Ore.),D,PAC,1,,1.0,6.0,1.0,10.0,36.0,Run,Rush,3.0,,,,,,,,Kalen Davis-White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:58,1678,0,7,7,3,3,3,,,,,,,
10,Pacific (Ore.),D,PAC,1,,1.0,7.0,2.0,7.0,33.0,Run,Rush,2.0,,,,,,,,Kalen Davis-White,Ashton Barton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:27,1647,0,7,7,3,3,3,,,,,,,
11,Pacific (Ore.),D,PAC,1,,1.0,8.0,3.0,5.0,31.0,Pass,Complete,13.0,,,Complete,Ty Hargis,,,,Cheyn Tam-Switzer,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:58,1618,0,7,7,3,3,3,,,,,,,
12,Pacific (Ore.),D,PAC,1,,1.0,9.0,1.0,10.0,18.0,Pass,Complete,3.0,,,Complete,,,,,Max Larson,Kord Tuttle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:25,1585,0,7,7,3,3,3,,,,,,,
13,Pacific (Ore.),D,PAC,1,,1.0,10.0,2.0,7.0,15.0,Run,Rush,-1.0,,,,,,,,Max Larson,Kaysen Higa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:50,1550,0,7,7,3,3,3,,,,,,,
14,Pacific (Ore.),D,PAC,1,,1.0,11.0,3.0,8.0,16.0,Pass,Complete,10.0,,,Complete,Ty Hargis,,,,,,True,Ty Hargis,Jared Elwin,PAC,,,,6.0,,,,,,,,,,,,,,,,,True,,,,,,10:18,1518,0,7,7,3,3,3,,,,,,,
15,Pacific (Ore.),D,PAC,1,,1.0,12.0,1.0,6.0,6.0,Run,Rush,5.0,,,,,,,,Max Larson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:43,1483,0,7,7,3,3,3,,,,,,,
16,Pacific (Ore.),D,PAC,1,,1.0,13.0,2.0,1.0,1.0,Run,Rush,0.0,,,,,,,,Max Larson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:10,1450,0,7,7,3,3,3,,,,,,,
17,Pacific (Ore.),D,PAC,1,,1.0,14.0,3.0,1.0,1.0,Run,Rush,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,08:33,1413,0,7,7,3,3,3,,,,,,,
18,Pacific (Ore.),K,PAC,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,07:54,1374,6,7,1,3,3,3,,,,,,,
19,Pacific (Ore.),K,PAC,1,,,,1.0,-35.0,-35.0,KO Ret,Return,,,,,,,,,Niko Iosefa,,,,,,,Darius Chaffin,24,25.0,Zack Saros,64.0,1.0,Return,,,,,,,,,,,,,,,,,,,07:54,1374,7,7,0,3,3,3,,,,,,,
20,Pacific (Ore.),O,PLU,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,8.0,Erik Bainter,,,,,,,Robert Wood,Deshayne Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:44,1364,7,7,0,3,3,3,,,,,,,
21,Pacific (Ore.),O,PLU,1,,1.0,2.0,2.0,2.0,-33.0,Pass,Incomplete,0.0,,Clock 06,Incomplete,Jace Keim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:44,1364,7,7,0,3,3,3,,,,,,,
22,Pacific (Ore.),O,PLU,1,,1.0,3.0,3.0,2.0,-33.0,Run,Rush,-3.0,Clock 06,,,,,,,Deshayne Stevens,Carter Atkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,06:59,1319,7,7,0,3,3,3,,,,,,,
23,Pacific (Ore.),K,PLU,1,,,,4.0,5.0,-30.0,Punt,Return,,,,,,,,,Wyatt Winkle,Kellen  Meade,,,,,,Ty Hargis,3,30.0,,,,,,Clock 06,43.0,27.0,Return,,,,,,,,,,,,,,06:54,1314,7,7,0,3,3,3,,,,,,,
24,Pacific (Ore.),D,PAC,1,,2.0,1.0,0.0,10.0,-30.0,Run,Rush,9.0,Kenyon Harris,,,,,,,Ore.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:07,1267,7,7,0,3,3,3,,,,,,,
25,Pacific (Ore.),D,PAC,1,,2.0,2.0,2.0,1.0,-39.0,Run,Rush,3.0,,,,,,,,Nico Golla,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:07,1267,7,7,0,3,3,3,,,,,,,
