PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,WestConn,K,WCSU,1,,,,,,,KO Rec,Out of bounds,,,,,,,,,,,,,,,,,,,A. Weidtman,59.0,6.0,Out of bounds,,,,,,,,,,,,,,,True,,,,15:00,1800,0,0,0,3,3,3,illegal procedure,WCSU,A. Weidtman,,,,5.0
2,WestConn,K,WCSU,1,,,,,,,KO Rec,Return,,,,,,,,,Andrew Colletti,,,,,,,Ryan Milliken,19,27.0,A. Weidtman,62.0,8.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,WestConn,O,PSU,1,,1.0,1.0,0.0,10.0,-27.0,Run,Rush,11.0,Manny Sanchez,,,,,,,P. Bencivengo,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,WestConn,O,PSU,1,,1.0,2.0,1.0,10.0,-38.0,Run,Rush,5.0,Manny Sanchez,,,,,,,Nosa Uzamere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,WestConn,O,PSU,1,,1.0,3.0,2.0,5.0,-43.0,Run,Rush,13.0,Manny Sanchez,,,,,,,L. Pappalardo,John Giller,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,WestConn,O,PSU,1,,1.0,4.0,1.0,10.0,44.0,Run,Rush,3.0,Willie Lombard,,,,,,,J. Charlestin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,WestConn,O,PSU,1,,1.0,5.0,2.0,7.0,41.0,Run,Rush,1.0,Willie Lombard,,,,,,,Nosa Uzamere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,WestConn,O,PSU,1,,1.0,6.0,3.0,6.0,40.0,Run,Rush,8.0,Manny Sanchez,,,,,,,Raquell Davis,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,WestConn,O,PSU,1,,1.0,7.0,1.0,10.0,32.0,Run,Rush,1.0,Manny Sanchez,,,,,,,Raquell Davis,Matt Forti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,WestConn,O,PSU,1,,1.0,8.0,2.0,9.0,31.0,Run,Rush,3.0,Jack Glanville,,,,,,,J. Charlestin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
11,WestConn,O,PSU,1,,1.0,9.0,3.0,6.0,28.0,Run,Rush,1.0,Willie Lombard,,,,,,,Raquell Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
12,WestConn,O,PSU,1,,1.0,10.0,4.0,5.0,27.0,Run,Rush,5.0,Manny Sanchez,,,,,,,A. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
13,WestConn,O,PSU,1,,1.0,11.0,1.0,10.0,22.0,Run,Rush,2.0,Jack Glanville,,,,,,,J. Bernhardi,Brian Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
14,WestConn,O,PSU,1,,1.0,12.0,2.0,8.0,20.0,Run,Rush,4.0,Jack Glanville,,,,,,,J. Bernhardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
15,WestConn,O,PSU,1,,1.0,13.0,3.0,4.0,16.0,Run,Rush,7.0,Willie Lombard,,,,,,,Matt Forti,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
16,WestConn,O,PSU,1,,1.0,14.0,1.0,9.0,9.0,Run,Rush,4.0,Willie Lombard,,,,,,,J. Bernhardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
17,WestConn,O,PSU,1,,1.0,15.0,2.0,5.0,5.0,Run,Rush,5.0,Willie Lombard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
18,WestConn,K,PSU,1,,,,1.0,3.0,3.0,Extra Pt.,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dan Carey,,,No Good,,,,,,,,,06:15,1275,6,0,6,3,3,3,,,,,,,
19,WestConn,K,PSU,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Dan Carey,,,,,,,Messiah Diggs,16,22.0,Dan Carey,59.0,6.0,Return,,,,,,,,,,,,,,,,,,,06:15,1275,6,0,6,3,3,3,,,,,,,
