PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Willamette,K,WIL,1,,,,,,,KO Ret,Return,,,,,,,,,Hogan Smith,,,,,,,Tyler Stone,19,35.0,Camdin Dirnberger,49.0,16.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Willamette,O,UPS,1,,1.0,1.0,0.0,10.0,-35.0,Pass,Complete,20.0,,Murdock Rutledge,Complete,Liam Smith,,,,Albert Ramon,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Willamette,O,UPS,1,,1.0,2.0,1.0,10.0,45.0,Run,Rush,6.0,Silas Washington,,,,,,,Albert Ramon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Willamette,O,UPS,1,,1.0,3.0,2.0,4.0,39.0,Run,Rush,7.0,Silas Washington,,,,,,,Michael Valtierra,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Willamette,O,UPS,1,,1.0,4.0,1.0,10.0,32.0,Run,Rush,12.0,Silas Washington,,,,,,,Christopher Brown,Albert Ramon,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Willamette,O,UPS,1,,1.0,5.0,1.0,10.0,20.0,Run,Rush,14.0,Simon Yim,,,,,,,Dylan Hall,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
7,Willamette,O,UPS,1,,1.0,6.0,1.0,6.0,6.0,Run,Rush,-2.0,Silas Washington,,,,,,,Dom Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
8,Willamette,O,UPS,1,,1.0,7.0,2.0,8.0,8.0,Run,Rush,8.0,Silas Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,14:54,1794,0,0,0,3,3,3,,,,,,,
9,Willamette,K,UPS,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Everett,,,Good,,,,,,,,,11:31,1591,6,0,6,3,3,3,,,,,,,
10,Willamette,K,UPS,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,Jonah Mendelsohn,,,,,,,Justin Genovia,46,-45.0,Jonah Mendelsohn,56.0,9.0,Return,,,,,,,,,,,,,,,,,,,11:31,1591,7,0,7,3,3,3,,,,,,,
