PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Shenandoah,K,SU,1,,,,,,,KO Rec,Return,,,,,,,,,Scott Martin,,,,,,,JoJo Marinella,20,39.0,Patrick Ritchie,46.0,19.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Shenandoah,O,RMC,1,,1.0,1.0,0.0,10.0,-39.0,Run,Rush,7.0,Justin DeLeon,,,,,,,David Agyei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
3,Shenandoah,O,RMC,1,,1.0,2.0,2.0,3.0,-46.0,Run,Rush,9.0,Justin DeLeon,,,,,,,David Agyei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
4,Shenandoah,O,RMC,1,,1.0,3.0,1.0,10.0,45.0,Run,Rush,0.0,Brecht Heuchan,,,,,,,Mason Caldwell,Jordan Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
5,Shenandoah,O,RMC,1,,1.0,4.0,2.0,10.0,45.0,Run,Rush,2.0,Presley Egbers,,,,,,,Austin Ragan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
6,Shenandoah,O,RMC,1,,1.0,5.0,3.0,8.0,43.0,Pass,Complete,9.0,,Brecht Heuchan,Complete,Joey Hunt,,,,Ben Burgan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
7,Shenandoah,O,RMC,1,,1.0,6.0,1.0,10.0,34.0,Run,Rush,17.0,Justin DeLeon,,,,,,,Quante Redd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
8,Shenandoah,O,RMC,1,,1.0,7.0,1.0,10.0,17.0,Run,Rush,12.0,Justin DeLeon,,,,,,,Quante Redd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
9,Shenandoah,O,RMC,1,,1.0,8.0,1.0,5.0,5.0,Run,Rush,2.0,Presley Egbers,,,,,,,Mason Caldwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
10,Shenandoah,O,RMC,1,,1.0,9.0,2.0,3.0,3.0,Run,Rush,3.0,Justin DeLeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,14:52,1792,0,0,0,3,3,3,,,,,,,
11,Shenandoah,K,RMC,1,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Vidal,,,Good,,,,,,,,,10:22,1522,6,0,6,3,3,3,,,,,,,
12,Shenandoah,K,RMC,1,,,,,,,KO,Return,,,,,,,,,Zach Bowman,,,,,,,William Crowder,13,24.0,Chris Vidal,54.0,11.0,Return,,,,,,,,,,,,,,,,,,,10:22,1522,7,0,7,3,3,3,,,,,,,
13,Shenandoah,D,SU,1,,1.0,1.0,0.0,10.0,-24.0,Pass,Incomplete,0.0,,Steven Hugney,Incomplete,Andre Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:17,1517,0,7,7,3,3,3,,,,,,,
14,Shenandoah,D,SU,1,,1.0,2.0,2.0,10.0,-24.0,Run,Rush,4.0,Rashadeen Byrd,,,,,,,Wade Grubbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:17,1517,0,7,7,3,3,3,,,,,,,
15,Shenandoah,D,SU,1,,1.0,3.0,3.0,6.0,-28.0,Pass,Incomplete,0.0,,Steven Hugney,Incomplete,Austin Ragan,,,,Stephen Richard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:17,1517,0,7,7,3,3,3,,,,,,,
