PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,George Fox,K,GFU,1,,,,,,,KO Rec,Return,,,,,,,,,Josh Hauenstein,,,,,,,Myles Herrera,23,28.0,Jason Santoni,60.0,5.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,George Fox,O,URFB,1,,1.0,1.0,0.0,10.0,-28.0,Run,Rush,3.0,Kai Thompson,,,,,,,Dy. Quist-Knopf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,George Fox,O,URFB,1,,1.0,2.0,2.0,7.0,-31.0,Pass,Complete,22.0,,Nathan Martinez,Complete,Evan Aguon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,George Fox,O,URFB,1,,1.0,3.0,1.0,10.0,47.0,Run,Rush,1.0,Kai Thompson,,,,,,,Abe Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,George Fox,,URFB,1,,,,2.0,9.0,46.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,false start,URFB,,,,,5.0
6,George Fox,O,URFB,1,,1.0,4.0,2.0,14.0,-49.0,Run,Rush,1.0,Kai Thompson,,,,,,,Anthony Pasion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,George Fox,O,URFB,1,,1.0,5.0,3.0,13.0,-50.0,Pass,Sack,-3.0,,Nathan Martinez,Sack,,,,,Logan Candanoza,Dy. Quist-Knopf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
8,George Fox,K,URFB,1,,,,4.0,16.0,-47.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Brendan Marmion,41.0,12.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,George Fox,D,GFU,1,,1.0,1.0,0.0,10.0,-12.0,Run,Rush,6.0,Ethan Kassebaum,,,,,,,Kaleb Hatten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:37,1597,0,0,0,3,3,3,,,,,,,
10,George Fox,D,GFU,1,,1.0,2.0,2.0,4.0,-18.0,Pass,Incomplete,0.0,,Haiden Schaan,Incomplete,Elias Polanski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:37,1597,0,0,0,3,3,3,,,,,,,
11,George Fox,,GFU,1,,,,3.0,4.0,-18.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:37,1597,0,0,0,3,3,3,false start,GFU,,,,,5.0
12,George Fox,D,GFU,1,,1.0,3.0,3.0,9.0,-13.0,Pass,Incomplete,0.0,,Haiden Schaan,Incomplete,Leon JohnsonIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:37,1597,0,0,0,3,3,3,,,,,,,
13,George Fox,K,GFU,1,,,,4.0,9.0,-13.0,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,Jason Santoni,55.0,32.0,,,,,,,,,,,,,,,11:37,1597,0,0,0,3,3,3,,,,,,,
14,George Fox,O,URFB,1,,2.0,1.0,0.0,10.0,-32.0,Pass,Interception,0.0,,Nathan Martinez,Interception,,,Riley Lusk,,Khory Day,,,,,,,Riley Lusk,0,-34.0,,,,,,,,,,,,,,,,,,,,,,Interception,10:35,1535,0,0,0,3,3,3,,,,,,,
15,George Fox,D,GFU,1,,2.0,1.0,0.0,10.0,34.0,Pass,Complete,12.0,,Haiden Schaan,Complete,Ian Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:25,1525,0,0,0,3,3,3,,,,,,,
16,George Fox,D,GFU,1,,2.0,2.0,1.0,10.0,22.0,Run,Rush,17.0,Ethan Kassebaum,,,,,,,Nathan Martinez,Kaleb Hatten,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:25,1525,0,0,0,3,3,3,,,,,,,
17,George Fox,D,GFU,1,,2.0,3.0,1.0,5.0,5.0,Run,Rush,2.0,Ethan Kassebaum,,,,,,,Kaleb Hatten,Mikey Duran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:25,1525,0,0,0,3,3,3,,,,,,,
18,George Fox,D,GFU,1,,2.0,4.0,2.0,3.0,3.0,Run,Rush,1.0,Haiden Schaan,,,,,,,Isaac Adetoye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:25,1525,0,0,0,3,3,3,,,,,,,
