PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Claremont-M-S,K,CMS,1,,,,,,,KO Rec,Return,,,,,,,,,,,,,,,,Giovanni Isles,95,0.0,A. Maiuolo,60.0,5.0,Return,,,,,,,,,,,,,,True,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Claremont-M-S,K,REDLANDS,1,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicente Garcia,,,Good,,,,,,,,,15:00,1800,6,0,6,3,3,3,,,,,,,
3,Claremont-M-S,K,REDLANDS,1,,,,,,,KO,Fair Catch,,,,,,,,,,,,,,,,,,,Brendan Marmion,60.0,5.0,Fair Catch,,,,,,,,,,,,,,,,,,,15:00,1800,7,0,7,3,3,3,,,,,,,
4,Claremont-M-S,O,REDLANDS,1,,1.0,1.0,0.0,10.0,5.0,Run,Rush,29.0,Zach Fogel,,,,,,,M. MacDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47,1787,7,0,7,3,3,3,,,,,,,
5,Claremont-M-S,O,REDLANDS,1,,1.0,2.0,1.0,10.0,34.0,Pass,Complete,16.0,,Zach Fogel,Complete,Anderson Cynkar,,,,Scott Tinsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47,1787,7,0,7,3,3,3,,,,,,,
6,Claremont-M-S,O,REDLANDS,1,,1.0,3.0,1.0,10.0,50.0,Run,Rush,2.0,Justin Edwards,,,,,,,Ryan Place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47,1787,7,0,7,3,3,3,,,,,,,
7,Claremont-M-S,O,REDLANDS,1,,1.0,4.0,2.0,8.0,-48.0,Run,Rush,2.0,Justin Edwards,,,,,,,Ryan Place,Jacob Harrold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47,1787,7,0,7,3,3,3,,,,,,,
8,Claremont-M-S,O,REDLANDS,1,,1.0,5.0,3.0,6.0,-46.0,Pass,Incomplete,0.0,,Zach Fogel,Incomplete,Mason Cotton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,14:47,1787,7,0,7,3,3,3,offside,REDLANDS,,,,,5.0
9,Claremont-M-S,O,REDLANDS,1,,1.0,6.0,3.0,1.0,-41.0,Run,Rush,4.0,Justin Edwards,,,,,,,Ryan Place,Noah Widgins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47,1787,7,0,7,3,3,3,,,,,,,
10,Claremont-M-S,O,REDLANDS,1,,1.0,7.0,1.0,10.0,-37.0,Run,Rush,0.0,Justin Edwards,,,,,,,Noah Widgins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47,1787,7,0,7,3,3,3,,,,,,,
