PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,PASSER PBP,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Concordia-Moorhead,K,SJU,1,,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Conor Pavelko,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Concordia-Moorhead,D,CC,1,,1.0,1.0,0.0,10.0,-25.0,Coming Out,Run,Rush,5.0,Tanner Dubois,,,,,,,Jacob Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Concordia-Moorhead,D,CC,1,,1.0,2.0,2.0,5.0,-30.0,Gold Zone,Pass,Complete,5.0,,Tanner Dubois,Complete,Wyatt Curtis,,,,Cayden Saxon,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Concordia-Moorhead,D,CC,1,,1.0,3.0,1.0,10.0,-35.0,Gold Zone,Pass,Complete,3.0,,Tanner Dubois,Complete,Andy Gravdahl,,,,Erik Bjork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Concordia-Moorhead,D,CC,1,,1.0,4.0,2.0,7.0,-38.0,Gold Zone,Pass,Complete,1.0,,Tanner Dubois,Complete,Peter Narum,,,,Kyle Kornovich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Concordia-Moorhead,D,CC,1,,1.0,5.0,3.0,8.0,-37.0,Gold Zone,Run,Rush,5.0,Tanner Dubois,,,,,,,Kyle Kornovich,Erik Bjork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Concordia-Moorhead,K,CC,1,,,,4.0,3.0,-42.0,Gold Zone,Punt Rec,Return,,,,,,,,,Blake Magnuson,,,,,,,Nick VanErp,1,18.0,,,,,,Damien Silus,41.0,17.0,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Concordia-Moorhead,O,SJU,1,,1.0,1.0,0.0,10.0,-18.0,Coming Out,Run,Rush,2.0,Devin Vouk,,,,,,,S.Hegg-Entzion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:29,1529,0,0,0,3,3,3,,,,,,,
9,Concordia-Moorhead,O,SJU,1,,1.0,2.0,2.0,8.0,-20.0,Coming Out,Pass,Complete,8.0,,Aaron Syverson,Complete,Ravi Alston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:29,1529,0,0,0,3,3,3,,,,,,,
10,Concordia-Moorhead,O,SJU,1,,1.0,3.0,1.0,10.0,-28.0,Gold Zone,Run,Rush,2.0,Devin Vouk,,,,,,,Noah Jenson,J.J. Lord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:29,1529,0,0,0,3,3,3,,,,,,,
