PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Greensboro,K,SVU,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Derek Bass,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Greensboro,D,GC,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Sack,-2.0,,Loughry II,Sack,,,,,Jason Siaosi,,True,David Loughry,,SVU,Tyler Wester,,,,,,,,,,,,,,,,,,,,,,,,,Fumble,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Greensboro,O,SVU,1,,1.0,1.0,0.0,10.0,29.0,Pass,Complete,9.0,,Davis Pinkston,Complete,Chase Wester,,,,Malik Hargrove,Austin Longworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:50,1790,0,0,0,3,3,3,,,,,,,
4,Greensboro,O,SVU,1,,1.0,2.0,2.0,1.0,20.0,Pass,Complete,6.0,,Davis Pinkston,Complete,Chase Wester,,,,Malik Hargrove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:50,1790,0,0,0,3,3,3,,,,,,,
5,Greensboro,O,SVU,1,,1.0,3.0,1.0,10.0,14.0,Run,Rush,4.0,Jacob Wood,,,,,,,Max Steele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:50,1790,0,0,0,3,3,3,,,,,,,
6,Greensboro,O,SVU,1,,1.0,4.0,2.0,6.0,10.0,Run,Rush,10.0,Jacob Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,14:50,1790,0,0,0,3,3,3,,,,,,,
7,Greensboro,,SVU,1,,,,1.0,3.0,3.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:01,1681,6,0,6,3,3,3,offside,SVU,Hayden Birch,,,,5.0
8,Greensboro,K,SVU,1,,,,1.0,8.0,8.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Derek Bass,,,Good,,,,,,,,,13:01,1681,6,0,6,3,3,3,,,,,,,
9,Greensboro,K,SVU,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,Cache Holmes,Clinton Boxley,,,,,,Dalton Miller,,1.0,Derek Bass,61.0,4.0,Return,,,,,,,,,,,,,,,,,,,13:01,1681,7,0,7,3,3,3,,,,,,,
10,Greensboro,D,GC,1,,2.0,1.0,0.0,10.0,-1.0,Run,Rush,16.0,Shy'Heem Clemons,,,,,,,Jacob Taloa,Alex Sewell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:48,1668,0,7,7,3,3,3,,,,,,,
11,Greensboro,D,GC,1,,2.0,2.0,1.0,10.0,-17.0,Pass,Complete,4.0,,Loughry II,Complete,Coy Davis,,,,Alex Sewell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:48,1668,0,7,7,3,3,3,,,,,,,
12,Greensboro,,GC,1,,,,2.0,6.0,-21.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:48,1668,0,7,7,3,3,3,false start,GC,Zach Atkinson,,,,7.0
13,Greensboro,D,GC,1,,2.0,3.0,2.0,13.0,-14.0,Pass,Complete,25.0,,Loughry II,Complete,DeShawn Fitts,,,,Jacob Taloa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:48,1668,0,7,7,3,3,3,,,,,,,
14,Greensboro,D,GC,1,,2.0,4.0,1.0,10.0,-39.0,Pass,Incomplete,0.0,,Loughry II,Incomplete,Deaven Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:48,1668,0,7,7,3,3,3,,,,,,,
15,Greensboro,D,GC,1,,2.0,5.0,2.0,10.0,-39.0,Pass,Incomplete,0.0,,Loughry II,Incomplete,Cale Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:48,1668,0,7,7,3,3,3,,,,,,,
16,Greensboro,D,GC,1,,2.0,6.0,3.0,10.0,-39.0,Pass,Incomplete,0.0,,Loughry II,Incomplete,Tyler Penland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:48,1668,0,7,7,3,3,3,,,,,,,
