PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Buffalo St.,K,BENGALS,1,,,,,,,KO Rec,Return,,,,,,,,,Peyton Hill,,,,,,,,15,31.0,Thom Hollander,49.0,16.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Buffalo St.,O,FISHERFB,1,,1.0,1.0,0.0,10.0,-31.0,Run,Rush,29.0,,,,,,,,Mike Drywa,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:43,1783,0,0,0,3,3,3,,,,,,,
3,Buffalo St.,O,FISHERFB,1,,1.0,2.0,1.0,10.0,40.0,Run,Rush,10.0,,,,,,,,Peyton Hill,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:43,1783,0,0,0,3,3,3,,,,,,,
4,Buffalo St.,O,FISHERFB,1,,1.0,3.0,1.0,10.0,30.0,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:43,1783,0,0,0,3,3,3,,,,,,,
5,Buffalo St.,O,FISHERFB,1,,1.0,4.0,2.0,10.0,30.0,Run,Rush,3.0,,,,,,,,Lenz Brunot,Mike Drywa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:43,1783,0,0,0,3,3,3,,,,,,,
6,Buffalo St.,O,FISHERFB,1,,1.0,5.0,3.0,7.0,27.0,Pass,Complete,0.0,,,Complete,,,,,Brand Barksdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:43,1783,0,0,0,3,3,3,,,,,,,
7,Buffalo St.,O,FISHERFB,1,,1.0,6.0,4.0,7.0,27.0,Pass,Incomplete,0.0,,,Incomplete,,,,,Brand Barksdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,14:43,1783,0,0,0,3,3,3,,,,,,,
8,Buffalo St.,,BENGALS,1,,,,1.0,10.0,-27.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buffalo St.,,,,,,,12:44,1664,0,0,0,3,3,3,,,,,,,
9,Buffalo St.,D,BENGALS,1,,1.0,1.0,0.0,10.0,-27.0,Run,Rush,5.0,Omar Robinson,,,,,,,J. Pagano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:44,1664,0,0,0,3,2,3,,,,,,,
10,Buffalo St.,D,BENGALS,1,,1.0,2.0,2.0,5.0,-32.0,Run,Rush,3.0,Omar Robinson,,,,,,,V. DiMonte,K. Vachon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:44,1664,0,0,0,3,2,3,,,,,,,
11,Buffalo St.,D,BENGALS,1,,1.0,3.0,3.0,2.0,-35.0,Pass,,0.0,,,,,,,,Jus. Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:44,1664,0,0,0,3,2,3,,,,,,,
12,Buffalo St.,O,FISHERFB,1,,2.0,1.0,0.0,10.0,46.0,Run,Rush,0.0,,,,,,,,Joseph Gibson,Brenda Cimerman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:30,1590,0,0,0,3,3,2,,,,,,,
13,Buffalo St.,O,FISHERFB,1,,2.0,2.0,2.0,10.0,46.0,Pass,Complete,10.0,,,Complete,,,,,And Osei-Gyimah,Darren Thompson,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:30,1590,0,0,0,3,3,2,,,,,,,
14,Buffalo St.,O,FISHERFB,1,,2.0,3.0,1.0,10.0,36.0,Pass,Complete,5.0,,,Complete,,,,,Brand Barksdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:30,1590,0,0,0,3,3,2,,,,,,,
15,Buffalo St.,O,FISHERFB,1,,2.0,4.0,2.0,5.0,31.0,Pass,Complete,22.0,,,Complete,,,,,Mike Drywa,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:30,1590,0,0,0,3,3,2,,,,,,,
16,Buffalo St.,O,FISHERFB,1,,2.0,5.0,1.0,9.0,9.0,Run,Rush,6.0,,,,,,,,Brand Barksdale,Joseph Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:30,1590,0,0,0,3,3,2,,,,,,,
17,Buffalo St.,O,FISHERFB,1,,2.0,6.0,2.0,3.0,3.0,Run,Rush,2.0,,,,,,,,Josh Karmazyn,Griffin Mack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:30,1590,0,0,0,3,3,2,,,,,,,
18,Buffalo St.,O,FISHERFB,1,,2.0,7.0,3.0,1.0,1.0,Run,Rush,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,11:30,1590,0,0,0,3,3,2,,,,,,,
19,Buffalo St.,K,FISHERFB,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,08:34,1414,6,0,6,3,3,2,,,,,,,
20,Buffalo St.,O,FISHERFB,1,,3.0,1.0,0.0,-35.0,-35.0,Run,Rush,41.0,,,,,,,,Zach Rathka,Justin Emerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:29,1409,7,0,7,3,3,2,,,,,,,
21,Buffalo St.,O,FISHERFB,1,,3.0,2.0,2.0,24.0,24.0,Run,Rush,3.0,,,,,,,,Marv Alexis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:29,1409,7,0,7,3,3,2,,,,,,,
22,Buffalo St.,O,FISHERFB,1,,3.0,3.0,3.0,21.0,21.0,Pass,Complete,5.0,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:29,1409,7,0,7,3,3,2,,,,,,,
