PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Rensselaer,K,FISHERFB,1,,,,,,,KO,Return,,,,,,,,,A. Manna,J. Dotterweich,,,,,,Carlos Davis,27,34.0,J. Dotterweich,58.0,7.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Rensselaer,D,RPI,1,,1.0,1.0,0.0,10.0,-34.0,Run,Rush,8.0,Dylan Burnett,,,,,,,D. Hammond,J. Miscia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Rensselaer,D,RPI,1,,1.0,2.0,2.0,2.0,-42.0,Pass,Complete,18.0,,,Complete,Peter Lombardi,,,,Jason Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Rensselaer,D,RPI,1,,1.0,3.0,1.0,10.0,40.0,Run,Rush,-3.0,Dylan Burnett,,,,,,,M. Bates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Rensselaer,D,RPI,1,,1.0,4.0,2.0,13.0,43.0,Pass,Complete,17.0,,,Complete,Riley Conboy,,,,J. Ellison,M. Bates,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Rensselaer,D,RPI,1,,1.0,5.0,1.0,10.0,26.0,Run,Rush,1.0,Dylan Burnett,,,,,,,J. Miscia,M. Bates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
7,Rensselaer,D,RPI,1,,1.0,6.0,2.0,9.0,25.0,Pass,Complete,5.0,,,Complete,Peter Lombardi,,,,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
8,Rensselaer,D,RPI,1,,1.0,7.0,3.0,4.0,20.0,Run,Rush,12.0,Christi Buckley,,,,,,,J. Miscia,Jason Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
9,Rensselaer,D,RPI,1,,1.0,8.0,1.0,8.0,8.0,Pass,Complete,8.0,,,Complete,Peter Lombardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,14:54,1794,0,0,0,3,3,3,,,,,,,
10,Rensselaer,K,RPI,1,,,,1.0,3.0,3.0,Extra Pt. Block,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cono MacDougall,,,No Good,,,,,,,,,10:17,1517,6,0,-6,3,3,3,,,,,,,
