PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Morrisville St.,K,SJF,1,,,,,,,KO,Return,,,,,,,,,Jonathan Ellison,,,,,,,Brandon Mapp,14,40.0,Joe Dotterweich,39.0,26.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,Personal Foul,MOR,Brett Fuhrmann,,,,15.0
2,Morrisville St.,D,MOR,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,6.0,Toure Hall Jr.,,,,,,,Kyle Vachon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
3,Morrisville St.,D,MOR,1,,1.0,2.0,2.0,4.0,-31.0,Run,Rush,0.0,Justin Donnelly,,,,,,,Anthony Manna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
4,Morrisville St.,D,MOR,1,,1.0,3.0,3.0,4.0,-31.0,Pass,Incomplete,0.0,,Alek Britten,Incomplete,Toure Hall Jr.,Joe Miscia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
5,Morrisville St.,D,MOR,1,,1.0,4.0,4.0,4.0,-31.0,Pass,Incomplete,0.0,,Alek Britten,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
6,Morrisville St.,D,MOR,1,,1.0,5.0,4.0,10.0,-31.0,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,14:56,1796,0,0,0,3,3,3,,,,,,,
7,Morrisville St.,O,SJF,1,,1.0,1.0,0.0,10.0,31.0,Run,Rush,6.0,Dahmir Pross,,,,,,,Bromwell Roach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:26,1706,0,0,0,3,3,3,,,,,,,
8,Morrisville St.,O,SJF,1,,1.0,2.0,2.0,4.0,25.0,Pass,Complete,5.0,,Joseph Torrillo,Complete,Tysean Sizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:26,1706,0,0,0,3,3,3,,,,,,,
9,Morrisville St.,O,SJF,1,,1.0,3.0,1.0,10.0,20.0,Run,Rush,4.0,Dahmir Pross,,,,,,,Bromwell Roach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:26,1706,0,0,0,3,3,3,,,,,,,
10,Morrisville St.,O,SJF,1,,1.0,4.0,2.0,6.0,16.0,Run,Rush,2.0,Dahmir Pross,,,,,,,Philemon Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:26,1706,0,0,0,3,3,3,,,,,,,
11,Morrisville St.,O,SJF,1,,1.0,5.0,3.0,4.0,14.0,Run,Rush,4.0,Dahmir Pross,,,,,,,Philemon Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:26,1706,0,0,0,3,3,3,,,,,,,
12,Morrisville St.,O,SJF,1,,1.0,6.0,1.0,10.0,10.0,Run,Rush,3.0,Dahmir Pross,,,,,,,Joe Miller-Labar,Basil Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:26,1706,0,0,0,3,3,3,,,,,,,
13,Morrisville St.,O,SJF,1,,1.0,7.0,2.0,7.0,7.0,Pass,Complete,7.0,,Joseph Torrillo,Complete,Shane O'Dea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,13:26,1706,0,0,0,3,3,3,,,,,,,
14,Morrisville St.,K,SJF,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joe Dotterweich,,,Good,,,,,,,,,10:45,1545,6,0,6,3,3,3,,,,,,,
15,Morrisville St.,K,SJF,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,Kyle Vachon,Josiah Bowers,,,,,,Quamel Jarvis,13,37.0,Joe Dotterweich,41.0,24.0,Return,,,,,,,,,,,,,,,,,,,10:45,1545,7,0,7,3,3,3,,,,,,,
16,Morrisville St.,D,MOR,1,,2.0,1.0,0.0,10.0,-37.0,Run,Rush,2.0,Steven Frerichs,,,,,,,Jonathan Ellison,Jeremy Woodcock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:40,1540,0,7,7,3,3,3,,,,,,,
17,Morrisville St.,D,MOR,1,,2.0,2.0,2.0,8.0,-39.0,Pass,Complete,2.0,,Steven Frerichs,Complete,Toure Hall Jr.,,,,Anthony Manna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:40,1540,0,7,7,3,3,3,,,,,,,
18,Morrisville St.,,MOR,1,,,,2.0,8.0,-39.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morrisville St.,,,,,,,10:40,1540,0,7,7,3,3,3,,,,,,,
19,Morrisville St.,D,MOR,1,,2.0,3.0,3.0,6.0,-41.0,Pass,Complete,4.0,,Alek Britten,Complete,Jarrell Chaney,,,,Vince DiMonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,09:26,1466,0,7,7,3,2,3,,,,,,,
