PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Buffalo St.,K,SLU,1,,,,,,,KO,Return,,,,,,,,,,,,,,,,Tariq Nelson,0,35.0,Ian Doin,30.0,35.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Buffalo St.,D,BSC,1,,1.0,1.0,0.0,10.0,-35.0,Run,Rush,0.0,Omar Robinson,,,,,,,Devin Kelley,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:58,1798,0,0,0,3,3,3,Personal Foul,SLU,Devin Kelley,,,,15.0
3,Buffalo St.,D,BSC,1,,1.0,2.0,1.0,10.0,46.0,Pass,Incomplete,0.0,,Cam Sionko,Incomplete,Omar Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
4,Buffalo St.,D,BSC,1,,1.0,3.0,2.0,10.0,46.0,Run,Rush,4.0,Omar Robinson,,,,,,,Cavan Lamontagne,Victor Gamberoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
5,Buffalo St.,D,BSC,1,,1.0,4.0,3.0,6.0,42.0,Pass,Complete,8.0,,Cam Sionko,Complete,Che'Kore Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
6,Buffalo St.,D,BSC,1,,1.0,5.0,1.0,10.0,34.0,Run,Rush,4.0,Omar Robinson,,,,,,,Devin Kelley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
7,Buffalo St.,D,BSC,1,,1.0,6.0,2.0,6.0,30.0,Run,Rush,1.0,Omar Robinson,,,,,,,Devin Kelley,Jacob Dreisbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
8,Buffalo St.,D,BSC,1,,1.0,7.0,3.0,5.0,29.0,Pass,Complete,11.0,,Cam Sionko,Complete,Tariq Nelson,,,,Victor Gamberoni,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
9,Buffalo St.,D,BSC,1,,1.0,8.0,1.0,10.0,18.0,Run,Rush,7.0,Omar Robinson,,,,,,,Max Gilbert,Devin Kelley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
10,Buffalo St.,D,BSC,1,,1.0,9.0,2.0,3.0,11.0,Run,Rush,2.0,Omar Robinson,,,,,,,Owen O'Brien,Jacob Dreisbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
