PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Eureka College,K,SNC,1,,,,,,,KO,Return,,,,,,,,,Kyle Santos,Sam Barnett,,,,,,Sebastian Hill,16,17.0,Brady Wodack,64.0,1.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Eureka College,D,EC,1,,1.0,1.0,0.0,10.0,-17.0,Run,Rush,-3.0,Malek Folston,,,,,,,Kevin Pedersen,Jake Berken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Eureka College,D,EC,1,,1.0,2.0,2.0,13.0,-14.0,Pass,Incomplete,0.0,,Lukas Tinkham,Incomplete,Sebastian Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Eureka College,D,EC,1,,1.0,3.0,3.0,13.0,-14.0,Pass,Complete,0.0,,Lukas Tinkham,Complete,Gabe Newlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Eureka College,K,EC,1,,,,4.0,13.0,-14.0,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Sam Bartels,22.0,-36.0,Fair Catch,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Eureka College,O,SNC,1,,1.0,1.0,0.0,10.0,36.0,Run,Rush,7.0,Delton Zuleger,,,,,,,Keegan Kerr,Jack Arnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:30,1710,0,0,0,3,3,3,,,,,,,
7,Eureka College,O,SNC,1,,1.0,2.0,2.0,3.0,29.0,Run,Rush,6.0,Delton Zuleger,,,,,,,Mason Diederich,S. Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:30,1710,0,0,0,3,3,3,,,,,,,
8,Eureka College,O,SNC,1,,1.0,3.0,1.0,10.0,23.0,Run,Rush,3.0,Delton Zuleger,,,,,,,Jack Arnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:30,1710,0,0,0,3,3,3,,,,,,,
9,Eureka College,O,SNC,1,,1.0,4.0,2.0,7.0,20.0,Pass,Incomplete,0.0,,Ben Kohl,Incomplete,David Lox,,,,Austin Hopkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:30,1710,0,0,0,3,3,3,,,,,,,
10,Eureka College,O,SNC,1,,1.0,5.0,3.0,7.0,20.0,Pass,Incomplete,0.0,,Ben Kohl,Incomplete,Delton Zuleger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TD,13:30,1710,0,0,0,3,3,3,,,,,,,
11,Eureka College,K,SNC,1,,,,4.0,7.0,20.0,FG,Blocked,,,,,,,,,,,,,,,,Joe Jackson,71,29.0,,,,,,,,,,Mason Diederich,Dan Simon,37.0,Blocked,,,,,True,,,,,13:30,1710,0,0,0,3,3,3,,,,,,,
12,Eureka College,K,EC,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steven Bartkus,,,Good,,,,,,,,,11:27,1587,6,0,-6,3,3,3,,,,,,,
13,Eureka College,K,EC,1,,,,1.0,-35.0,-35.0,KO Rec,Return,,,,,,,,,Austin Hopkins,Ben Wright,,,,,,Parker Lawrence,29,46.0,Steven Bartkus,48.0,17.0,Return,,,,,,,,,,,,,,,,,,,11:27,1587,7,0,-7,3,3,3,,,,,,,
14,Eureka College,O,SNC,1,,2.0,1.0,0.0,10.0,-46.0,Pass,Complete,8.0,,Ben Kohl,Complete,D Leschewski,,,,M. Toussaint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:19,1579,0,7,-7,3,3,3,,,,,,,
15,Eureka College,O,SNC,1,,2.0,2.0,2.0,2.0,46.0,Run,Rush,4.0,Delton Zuleger,,,,,,,Mason Diederich,D. Hathaway,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:19,1579,0,7,-7,3,3,3,,,,,,,
16,Eureka College,O,SNC,1,,2.0,3.0,1.0,10.0,42.0,Pass,Complete,7.0,,Ben Kohl,Complete,David Lox,,,,K. Brookins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:19,1579,0,7,-7,3,3,3,,,,,,,
17,Eureka College,O,SNC,1,,2.0,4.0,2.0,3.0,35.0,Pass,Incomplete,0.0,,Ben Kohl,Incomplete,Parker Lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:19,1579,0,7,-7,3,3,3,,,,,,,
18,Eureka College,O,SNC,1,,2.0,5.0,3.0,3.0,35.0,Run,Rush,5.0,Delton Zuleger,,,,,,,Austin Hopkins,Joe Jackson,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:19,1579,0,7,-7,3,3,3,,,,,,,
19,Eureka College,O,SNC,1,,2.0,6.0,1.0,10.0,30.0,Run,Rush,11.0,Delton Zuleger,,,,,,,Austin Hopkins,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:19,1579,0,7,-7,3,3,3,,,,,,,
20,Eureka College,O,SNC,1,,2.0,7.0,1.0,10.0,19.0,Run,Rush,13.0,Delton Zuleger,,,,,,,Amari Smith,M. Toussaint,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:19,1579,0,7,-7,3,3,3,,,,,,,
21,Eureka College,O,SNC,1,,2.0,8.0,1.0,6.0,6.0,Run,Rush,6.0,Delton Zuleger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,11:19,1579,0,7,-7,3,3,3,,,,,,,
22,Eureka College,K,SNC,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dan Simon,,,Good,,,,,,,,,07:59,1379,6,7,-1,3,3,3,,,,,,,
