PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Macalester,K,CSS,1,,,,,,,KO,Return,,,,,,,,,Kyle Oswald,,,,,,,Logan Pampel,22,38.0,Kyle Oswald,49.0,16.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Macalester,D,MAC,1,,1.0,1.0,0.0,10.0,-38.0,Pass,Complete,4.0,,Michael Nadeau,Complete,Rex Desso,,,,Hadyn Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Macalester,D,MAC,1,,1.0,2.0,2.0,6.0,-42.0,Pass,Complete,28.0,,Michael Nadeau,Complete,Rex Desso,,,,John Bonner,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Macalester,D,MAC,1,,1.0,3.0,1.0,10.0,30.0,Pass,Complete,5.0,,Michael Nadeau,Complete,Josh Bulski,,,,Richie Rodney,John Bonner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Macalester,D,MAC,1,,1.0,4.0,2.0,5.0,25.0,Pass,Complete,6.0,,Michael Nadeau,Complete,Josh Bulski,,,,Anthony Vo,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Macalester,D,MAC,1,,1.0,5.0,1.0,10.0,19.0,Pass,Complete,1.0,,Michael Nadeau,Complete,Ty Bruckner,,,,Kevin Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
7,Macalester,D,MAC,1,,1.0,6.0,2.0,9.0,18.0,Pass,Complete,18.0,,Michael Nadeau,Complete,Ty Bruckner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,14:54,1794,0,0,0,3,3,3,,,,,,,
8,Macalester,K,MAC,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jon Neve,,,Good,,,,,,,,,12:05,1625,6,0,-6,3,3,3,,,,,,,
9,Macalester,K,MAC,1,,,,1.0,-35.0,-35.0,KO Ret,Return,,,,,,,,,Gabe Gallardo,,,,,,,Wyatt Lahr,8,31.0,Jon Neve,42.0,23.0,Return,,,,,,,,,,,,,,,,,,,12:05,1625,7,0,-7,3,3,3,,,,,,,
10,Macalester,O,CSS,1,,1.0,1.0,0.0,10.0,-31.0,Pass,Incomplete,0.0,,Byron Bishop,Incomplete,Wyatt Lahr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:59,1619,0,7,-7,3,3,3,,,,,,,
