PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,McMurry,K,McM,1,,,,,,,KO Ret,Touchback,,,,,,,,,,,,,,,,,,,Oswaldo Luna,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,McMurry,D,McM,1,,1.0,1.0,0.0,10.0,25.0,Run,Rush,3.0,Kameron Session,,,,,,,Eduardo Garcia,Ronin Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,McMurry,D,McM,1,,1.0,2.0,2.0,7.0,28.0,Run,Rush,13.0,Kameron Session,,,,,,,Jade Rios,Quincy Blair,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,McMurry,D,McM,1,,1.0,3.0,1.0,10.0,41.0,Run,Rush,1.0,Kameron Session,,,,,,,Eduardo Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,McMurry,D,McM,1,,1.0,4.0,2.0,9.0,42.0,Pass,Incomplete,0.0,,Dexter Wyble,Incomplete,Nicholas Kuykendall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,McMurry,D,McM,1,,1.0,5.0,3.0,9.0,42.0,Pass,Incomplete,0.0,,Dexter Wyble,Incomplete,Nicholas Kuykendall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,15:00,1800,0,0,0,3,3,3,Offside,SRS,Lorenzo Fowler,,,,5.0
7,McMurry,D,McM,1,,1.0,6.0,3.0,4.0,47.0,Pass,Complete,11.0,,Dexter Wyble,Complete,Zachary Wood,,,,Jade Rios,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,McMurry,D,McM,1,,1.0,7.0,1.0,10.0,42.0,Run,Rush,10.0,Kameron Session,,,,,,,Ronin Williams,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,McMurry,D,McM,1,,1.0,8.0,1.0,10.0,32.0,Pass,Complete,31.0,,Dexter Wyble,Complete,Zachary Wood,,,,Quincy Blair,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,McMurry,D,McM,1,,1.0,9.0,1.0,1.0,1.0,Run,Rush,0.0,Dee Robinson,,,,,,,Sam Brooks,Ronin Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
11,McMurry,D,McM,1,,1.0,10.0,2.0,1.0,1.0,Run,Rush,1.0,Dee Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
12,McMurry,D,McM,1,,1.0,11.0,0.0,3.0,3.0,Pass,Good,,,Dee Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,TD,11:51,1611,6,0,-6,3,3,3,,,,,,,
13,McMurry,K,McM,1,,,,1.0,10.0,35.0,KO Ret,Fair Catch,,,,,,,,,,,,,,,,,,,Jared Mendoza,46.0,19.0,Fair Catch,,,,,,,,,,,,,,,,,,,11:51,1611,8,0,-8,3,3,3,,,,,,,
14,McMurry,O,SRS,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Incomplete,0.0,,T Deshields,Incomplete,Kameron Gonzalez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:51,1611,0,8,-8,3,3,3,,,,,,,
15,McMurry,O,SRS,1,,1.0,2.0,2.0,10.0,-25.0,Pass,Incomplete,0.0,,T Deshields,Incomplete,Ozias Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:51,1611,0,8,-8,3,3,3,,,,,,,
16,McMurry,O,SRS,1,,1.0,3.0,3.0,10.0,-25.0,Pass,Incomplete,0.0,,T Deshields,Incomplete,Vicente Luevano,Ke'Shaun Jnofinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:51,1611,0,8,-8,3,3,3,,,,,,,
17,McMurry,K,SRS,1,,,,4.0,10.0,-25.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Jaden Brown,40.0,35.0,,,,,,,,,,,,,,,11:51,1611,0,8,-8,3,3,3,,,,,,,
18,McMurry,D,McM,1,,2.0,1.0,0.0,10.0,35.0,Run,Rush,1.0,Dee Robinson,,,,,,,Ronin Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:18,1578,8,0,-8,3,3,3,,,,,,,
19,McMurry,D,McM,1,,2.0,2.0,2.0,9.0,36.0,Run,Rush,10.0,Dee Robinson,,,,,,,Sam Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:18,1578,8,0,-8,3,3,3,,,,,,,
