PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Lamar,K,LAM,1,,,,,,,KO Ret,Touchback,,,,,,,,,,,,,,,,,,,Bailey Giffen,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Lamar,O,TSU,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,2.0,Ryheem Skinner,,,,,,,Aaron Calcote,Jack McCarthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Lamar,O,TSU,1,,1.0,2.0,2.0,8.0,-27.0,Pass,Complete,20.0,,Steven Duncan,Complete,J Thomas,,,,Ramond Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Lamar,O,TSU,1,,1.0,3.0,1.0,10.0,-47.0,Run,Rush,5.0,Ryheem Skinner,,,,,,,Desmond Veals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Lamar,O,TSU,1,,1.0,4.0,2.0,5.0,48.0,Pass,Complete,14.0,,Steven Duncan,Complete,J Thomas,,,,Rodney Higdon,Ramond Stevens,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Lamar,O,TSU,1,,1.0,5.0,1.0,10.0,34.0,Pass,Complete,10.0,,Steven Duncan,Complete,Ryheem Skinner,,,,Divine Buckrham,Jack McCarthy,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Lamar,O,TSU,1,,1.0,6.0,1.0,10.0,24.0,Pass,Complete,15.0,,Steven Duncan,Complete,Marvin Landy,,,,Divine Buckrham,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Lamar,O,TSU,1,,1.0,7.0,1.0,9.0,9.0,Pass,Incomplete,0.0,,Steven Duncan,Incomplete,Tariq Bitson,Ramond Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Lamar,O,TSU,1,,1.0,8.0,2.0,9.0,9.0,Pass,Complete,9.0,,Steven Duncan,Complete,Tariq Bitson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Lamar,K,TSU,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adrian Guzman,,,Good,,,,,,,,,11:41,1601,6,0,6,3,3,3,,,,,,,
