PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,UW-River Falls,K,WSP,1,,,,,,,KO,Return,,,,,,,,,Reese Wiggins,,,,,,,Kaleb Blaha,24,25.0,Victor Ponterio,64.0,1.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,UW-River Falls,D,WRF,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Complete,1.0,,Kole Hinrichsen,Complete,Alex Traxler,,,,Wayde Ernstmeyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,UW-River Falls,D,WRF,1,,1.0,2.0,2.0,9.0,-26.0,Pass,Complete,37.0,,Kole Hinrichsen,Complete,Alex Traxler,,,,Reese Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,UW-River Falls,D,WRF,1,,1.0,3.0,1.0,10.0,37.0,Run,Rush,8.0,Luke Fugate,,,,,,,Kameron Kryzanski,Berkley Corvino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
5,UW-River Falls,D,WRF,1,,1.0,4.0,2.0,2.0,29.0,Run,Rush,19.0,Luke Fugate,,,,,,,Jawahn Downing,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,UW-River Falls,,WRF,1,,,,1.0,10.0,10.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,False Start,WRF,Ian Carter,,,,5.0
7,UW-River Falls,D,WRF,1,,1.0,5.0,1.0,15.0,15.0,Run,Rush,15.0,Kole Hinrichsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,14:54,1794,0,0,0,3,3,3,,,,,,,
8,UW-River Falls,K,WRF,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cade Henry,,,Good,,,,,,,,,13:00,1680,6,0,-6,3,3,3,,,,,,,
9,UW-River Falls,K,WRF,1,,,,1.0,10.0,-35.0,KO Rec,Return,,,,,,,,,Bobby Patterson,,,,,,,Joe Aguilera,24,35.0,Cade Henry,54.0,11.0,Return,,,,,,,,,,,,,,,,,,,13:00,1680,7,0,-7,3,3,3,,,,,,,
10,UW-River Falls,O,WSP,1,,1.0,1.0,0.0,10.0,-35.0,Run,Rush,0.0,Vercion Gammel,,,,,,,Calvin Rosen,Nate Fesenmaier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:54,1674,0,7,-7,3,3,3,,,,,,,
11,UW-River Falls,O,WSP,1,,1.0,2.0,2.0,10.0,-35.0,Run,Rush,24.0,Max Herro,,,,,,,Dominique Turner,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:54,1674,0,7,-7,3,3,3,,,,,,,
12,UW-River Falls,O,WSP,1,,1.0,3.0,1.0,10.0,41.0,Pass,Complete,5.0,,Max Herro,Complete,Joe Hare,,,,Bailey Germain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:54,1674,0,7,-7,3,3,3,,,,,,,
13,UW-River Falls,O,WSP,1,,1.0,4.0,2.0,5.0,36.0,Run,Rush,6.0,Vercion Gammel,,,,,,,Calvin Rosen,Nate Fesenmaier,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:54,1674,0,7,-7,3,3,3,,,,,,,
14,UW-River Falls,O,WSP,1,,1.0,5.0,1.0,10.0,30.0,Pass,Complete,13.0,,Max Herro,Complete,Jeremy Kobe,,,,Dylan Brown,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:54,1674,0,7,-7,3,3,3,,,,,,,
15,UW-River Falls,O,WSP,1,,1.0,6.0,1.0,10.0,17.0,Run,Rush,1.0,Vercion Gammel,,,,,,,Ben Ertz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:54,1674,0,7,-7,3,3,3,,,,,,,
16,UW-River Falls,O,WSP,1,,1.0,7.0,2.0,9.0,16.0,Pass,Complete,6.0,,Max Herro,Complete,Jeremy Kobe,,,,Ted Androli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:54,1674,0,7,-7,3,3,3,,,,,,,
17,UW-River Falls,O,WSP,1,,1.0,8.0,3.0,3.0,10.0,Pass,Complete,6.0,,Max Herro,Complete,Joe Aguilera,,,,Calvin Rosen,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:54,1674,0,7,-7,3,3,3,,,,,,,
18,UW-River Falls,O,WSP,1,,1.0,9.0,1.0,4.0,4.0,Run,Rush,4.0,Jahi Stigall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,12:54,1674,0,7,-7,3,3,3,,,,,,,
19,UW-River Falls,K,WSP,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Victor Ponterio,,,Good,,,,,,,,,07:48,1368,6,7,-1,3,3,3,,,,,,,
20,UW-River Falls,K,WSP,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,Ahmad Blake,Jawahn Downing,,,,,,Kaleb Blaha,23,33.0,Victor Ponterio,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,07:48,1368,7,7,0,3,3,3,,,,,,,
21,UW-River Falls,D,WRF,1,,2.0,1.0,0.0,10.0,-33.0,Run,Rush,7.0,Luke Fugate,,,,,,,Pat Wade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:41,1361,7,7,0,3,3,3,,,,,,,
22,UW-River Falls,D,WRF,1,,2.0,2.0,2.0,3.0,-40.0,Run,Rush,0.0,Kole Hinrichsen,,,,,,,Wayde Ernstmeyer,Berkley Corvino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:41,1361,7,7,0,3,3,3,,,,,,,
23,UW-River Falls,D,WRF,1,,2.0,3.0,3.0,3.0,-40.0,Run,Rush,8.0,Kole Hinrichsen,,,,,,,Ahmad Blake,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:41,1361,7,7,0,3,3,3,,,,,,,
24,UW-River Falls,D,WRF,1,,2.0,4.0,1.0,10.0,-48.0,Run,Rush,19.0,Luke Fugate,,,,,,,Orion Boe,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:41,1361,7,7,0,3,3,3,,,,,,,
25,UW-River Falls,D,WRF,1,,2.0,5.0,1.0,10.0,33.0,Pass,Incomplete,0.0,,Kole Hinrichsen,Incomplete,Andy Groebner,Jawahn Downing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:41,1361,7,7,0,3,3,3,,,,,,,
26,UW-River Falls,D,WRF,1,,2.0,6.0,2.0,10.0,33.0,Run,Rush,2.0,Luke Fugate,,,,,,,Kameron Kryzanski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:41,1361,7,7,0,3,3,3,,,,,,,
27,UW-River Falls,D,WRF,1,,2.0,7.0,3.0,8.0,31.0,Pass,Complete,6.0,,Kole Hinrichsen,Complete,Ben Beise,,,,Gavin Tachick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:41,1361,7,7,0,3,3,3,,,,,,,
