PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Wis.-La Crosse,K,WLC,1,,,,,,,KO Rec,Touchback,,,,,,,,,,,,,,,,,,,Ryan Beirne,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Wis.-La Crosse,O,STP,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,3.0,Vercion Gammel,,,,,,,Elijah Alt,Jack Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Wis.-La Crosse,O,STP,1,,1.0,2.0,2.0,7.0,-28.0,Pass,Sack,-7.0,,Trey Schroeder,Sack,,,,,Jack Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Wis.-La Crosse,O,STP,1,,1.0,3.0,3.0,14.0,-21.0,Run,Rush,1.0,Trey Schroeder,,,,,,,Jack Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Wis.-La Crosse,K,STP,1,,,,4.0,13.0,-22.0,Punt,Return,,,,,,,,,,,True,Max Brower,,STP,Jeffery Williams,Max Brower,10,46.0,,,,,,Carter Unger,28.0,-50.0,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Wis.-La Crosse,O,STP,1,,2.0,1.0,0.0,10.0,40.0,Pass,Sack,-7.0,,Trey Schroeder,Sack,,,,,Jack Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:16,1696,0,0,0,3,3,3,,,,,,,
7,Wis.-La Crosse,O,STP,1,,2.0,2.0,2.0,17.0,47.0,Pass,Complete,7.0,,Trey Schroeder,Complete,Joe Aguilera,,,,Elijah Alt,Cade Osborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:16,1696,0,0,0,3,3,3,,,,,,,
8,Wis.-La Crosse,O,STP,1,,2.0,3.0,3.0,10.0,40.0,Pass,Complete,10.0,,Trey Schroeder,Complete,CJ Berry,,,,Cade Osborn,Elijah Alt,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:16,1696,0,0,0,3,3,3,,,,,,,
9,Wis.-La Crosse,O,STP,1,,2.0,4.0,1.0,10.0,30.0,Run,Rush,0.0,Vercion Gammel,,,,,,,AJ Spychala,Ryan Daines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:16,1696,0,0,0,3,3,3,,,,,,,
10,Wis.-La Crosse,,STP,1,,,,2.0,10.0,30.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:16,1696,0,0,0,3,3,3,Offside,WLC,Milkaso Dedefo,,,,5.0
11,Wis.-La Crosse,O,STP,1,,2.0,5.0,2.0,5.0,25.0,Run,Rush,15.0,Trey Schroeder,,,,,,,Trevar Helland,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:16,1696,0,0,0,3,3,3,,,,,,,
12,Wis.-La Crosse,O,STP,1,,2.0,6.0,1.0,10.0,10.0,Run,Rush,4.0,Vercion Gammel,,,,,,,Elijah Alt,AJ Spychala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:16,1696,0,0,0,3,3,3,,,,,,,
13,Wis.-La Crosse,O,STP,1,,2.0,7.0,2.0,6.0,6.0,Run,Rush,3.0,Jahi Stigall,,,,,,,Jack Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:16,1696,0,0,0,3,3,3,,,,,,,
14,Wis.-La Crosse,O,STP,1,,2.0,8.0,3.0,3.0,3.0,Pass,Complete,1.0,,Trey Schroeder,Complete,Jahi Stigall,,,,Rusty Murphy,AJ Spychala,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,13:16,1696,0,0,0,3,3,3,Holding,STP,Beau Emmerich,,,,10.0
15,Wis.-La Crosse,O,STP,1,,2.0,9.0,3.0,13.0,13.0,Pass,Incomplete,0.0,,Trey Schroeder,Incomplete,Markell Outlaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,13:16,1696,0,0,0,3,3,3,,,,,,,
16,Wis.-La Crosse,K,STP,1,,,,4.0,13.0,13.0,FG,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Victor Ponterio,30.0,Good,,,,,,,,,,13:16,1696,0,0,0,3,3,3,,,,,,,
17,Wis.-La Crosse,K,STP,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,Chandler Benn,,,,,,,Brant Bohman,23,47.0,Victor Ponterio,41.0,24.0,Return,,,,,,,,,,,,,,,,,,,08:54,1434,3,0,3,3,3,3,Not found,WLC,,Holding,WLC,,17.0
18,Wis.-La Crosse,D,WLC,1,,1.0,1.0,0.0,10.0,-7.0,Run,Rush,18.0,Joey Stutzman,,,,,,,Orion Boe,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:47,1427,0,3,3,3,3,3,,,,,,,
19,Wis.-La Crosse,D,WLC,1,,1.0,2.0,1.0,10.0,-25.0,Run,Rush,13.0,Joey Stutzman,,,,,,,Pat Wade,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:47,1427,0,3,3,3,3,3,,,,,,,
20,Wis.-La Crosse,D,WLC,1,,1.0,3.0,1.0,10.0,-38.0,Pass,Complete,25.0,,Jakob Parks,Complete,Dustin Schultz,,,,Kameron Kryzanski,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:47,1427,0,3,3,3,3,3,,,,,,,
21,Wis.-La Crosse,D,WLC,1,,1.0,4.0,1.0,10.0,37.0,Run,Rush,2.0,Joey Stutzman,,,,,,,Kameron Kryzanski,Michael Stephenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:47,1427,0,3,3,3,3,3,,,,,,,
22,Wis.-La Crosse,D,WLC,1,,1.0,5.0,2.0,8.0,35.0,Run,Rush,17.0,Joey Stutzman,,,,,,,Jawahn Downing,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:47,1427,0,3,3,3,3,3,,,,,,,
23,Wis.-La Crosse,D,WLC,1,,1.0,6.0,1.0,10.0,18.0,Pass,Complete,18.0,,Jakob Parks,Complete,Cameron Sorenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,08:47,1427,0,3,3,3,3,3,,,,,,,
24,Wis.-La Crosse,K,WLC,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Beirne,,,Good,,,,,,,,,05:59,1259,6,3,-3,3,3,3,,,,,,,
25,Wis.-La Crosse,K,WLC,1,,,,1.0,10.0,-35.0,KO Rec,Return,,,,,,,,,Jake Schara,,,,,,,Jahi Stigall,23,30.0,Ryan Beirne,58.0,7.0,Return,,,,,,,,,,,,,,,,,,,05:59,1259,7,3,-4,3,3,3,,,,,,,
26,Wis.-La Crosse,O,STP,1,,3.0,1.0,0.0,10.0,-30.0,Run,Rush,5.0,Trey Schroeder,,,,,,,Elijah Alt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:53,1253,3,7,-4,3,3,3,,,,,,,
27,Wis.-La Crosse,O,STP,1,,3.0,2.0,2.0,5.0,-35.0,Run,Rush,2.0,Trey Schroeder,,,,,,,Matthew Reinfeldt,Reis Jesko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:53,1253,3,7,-4,3,3,3,,,,,,,
