PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Worcester State,K,WORCESTE,1,,,,,,,KO Rec,Return,,,,,,,,,Brenden Santos,,,,,,,Zachary Levy,7,23.0,Tyler Hapenny,49.0,16.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Worcester State,O,WPI,1,,1.0,1.0,0.0,10.0,-23.0,Run,Rush,4.0,Hunter Carey,,,,,,,Sam Duah Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:57,1797,0,0,0,3,3,3,,,,,,,
3,Worcester State,O,WPI,1,,1.0,2.0,2.0,6.0,-27.0,Run,Rush,-4.0,Andrew Nicklas,,,,,,,Sam Duah Jr.,,True,Andrew Nicklas,,WPI,Andrew Nicklas,,,,,,,,,,,,,,,,,,,,,,,,,,14:57,1797,0,0,0,3,3,3,,,,,,,
4,Worcester State,O,WPI,1,,1.0,3.0,3.0,10.0,-23.0,Run,Rush,23.0,Hunter Carey,,,,,,,Kevin Byrnes,Amahri Hollis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:57,1797,0,0,0,3,3,3,,,,,,,
5,Worcester State,O,WPI,1,,1.0,4.0,1.0,10.0,-46.0,Run,Rush,4.0,Brandon Winn,,,,,,,Brad Baxter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:57,1797,0,0,0,3,3,3,,,,,,,
6,Worcester State,O,WPI,1,,1.0,5.0,2.0,6.0,-50.0,Pass,Complete,35.0,,Andrew Nicklas,Complete,Joe Coutcher,,,,Amahri Hollis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:57,1797,0,0,0,3,3,3,,,,,,,
7,Worcester State,O,WPI,1,,1.0,6.0,1.0,10.0,15.0,Run,Rush,9.0,Hunter Carey,,,,,,,Curt Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:57,1797,0,0,0,3,3,3,,,,,,,
8,Worcester State,,WPI,1,,,,2.0,1.0,6.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:57,1797,0,0,0,3,3,3,delay of game,WPI,,,,,5.0
9,Worcester State,O,WPI,1,,1.0,7.0,2.0,6.0,11.0,Run,Rush,7.0,Hunter Carey,,,,,,,Curt Marshall,John McMasters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:57,1797,0,0,0,3,3,3,,,,,,,
10,Worcester State,O,WPI,1,,1.0,8.0,1.0,4.0,4.0,Run,Rush,-5.0,Andrew Nicklas,,,,,,,Brad Baxter,,True,Andrew Nicklas,,WPI,Andrew Nicklas,,,,,,,,,,,,,,,,,,,,,,,,,,14:57,1797,0,0,0,3,3,3,,,,,,,
