PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,PASSER PBP,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Dubuque,K,DUB,1,,,,,,,,KO Rec,Return,,,,,,,,,Stone Gorman,Garrett Hertzfeldt,,,,,,Jojo McNair,27,29.0,Tyler Sheffield,63.0,2.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Dubuque,O,WAR,1,,1.0,1.0,0.0,10.0,-29.0,Gold Zone,Pass,Complete,7.0,,Jace Moore,Complete,Dalton Woodyard,,,,Colton Pedersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Dubuque,O,WAR,1,,1.0,2.0,2.0,3.0,-36.0,Gold Zone,Run,Rush,6.0,Bennett Goettsch,,,,,,,Tyler Geiman,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Dubuque,O,WAR,1,,1.0,3.0,1.0,10.0,-42.0,Gold Zone,Pass,Complete,4.0,,Jace Moore,Complete,Jojo McNair,,,,Jordan Boatright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Dubuque,O,WAR,1,,1.0,4.0,2.0,14.0,-38.0,Gold Zone,Pass,Incomplete,0.0,,Jace Moore,Incomplete,Austin Koopman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Dubuque,O,WAR,1,,1.0,5.0,3.0,14.0,-38.0,Gold Zone,Pass,Interception,0.0,,Jace Moore,Interception,,,Dalton Wood,,Ethan Lape,,,,,,,Dalton Wood,11,-44.0,,,,,,,,,,,,,,,,,,,,,,Interception,14:54,1794,0,0,0,3,3,3,,,,,,,
7,Dubuque,D,DUB,1,,1.0,1.0,0.0,10.0,33.0,Take A Shot,Run,Rush,1.0,Kallion Buckner,,,,,,,Nate Link,Donaven Juarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:02,1682,0,0,0,3,3,3,,,,,,,
8,Dubuque,D,DUB,1,,1.0,2.0,2.0,9.0,32.0,Take A Shot,Pass,Complete,4.0,,Jacob Keller,Complete,Elliott Pipkin,,,,Eli Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:02,1682,0,0,0,3,3,3,,,,,,,
9,Dubuque,D,DUB,1,,1.0,3.0,3.0,5.0,28.0,Take A Shot,Run,Rush,4.0,Kallion Buckner,,,,,,,Wyatt Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:02,1682,0,0,0,3,3,3,,,,,,,
10,Dubuque,D,DUB,1,,1.0,4.0,4.0,1.0,24.0,Take A Shot,Pass,Incomplete,0.0,,Jacob Keller,Incomplete,Elliott Pipkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,13:02,1682,0,0,0,3,3,3,,,,,,,
