PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,PASSER PBP,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Neb. Wesleyan,K,NWU,1,,,,,,,,KO Rec,,,,,,,,,,Branden DeVoy,,,,,,,,,,Zach Fendley,61.0,-49.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Neb. Wesleyan,O,War,1,,1.0,1.0,0.0,10.0,49.0,Go Zone,Pass,Complete,4.0,,Jace Moore,Complete,Darius Whaley,,,,Kaden Dawe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:50,1790,0,0,0,3,3,3,,,,,,,
3,Neb. Wesleyan,O,War,1,,1.0,2.0,2.0,6.0,45.0,Go Zone,Pass,Complete,1.0,,Jace Moore,Complete,Drake George,,,,Kodjo Atikpohou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:50,1790,0,0,0,3,3,3,,,,,,,
4,Neb. Wesleyan,O,War,1,,1.0,3.0,3.0,5.0,44.0,Go Zone,Run,Rush,9.0,Bennett Goettsch,,,,,,,Jacob Gramann,Zach Busmente,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:50,1790,0,0,0,3,3,3,,,,,,,
5,Neb. Wesleyan,O,War,1,,1.0,4.0,1.0,10.0,35.0,Take A Shot,Run,Rush,8.0,Bennett Goettsch,,,,,,,Kaden Dawe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:50,1790,0,0,0,3,3,3,,,,,,,
6,Neb. Wesleyan,O,War,1,,1.0,5.0,2.0,2.0,27.0,Take A Shot,Pass,Incomplete,0.0,,Jace Moore,Incomplete,Hunter Clasen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,14:50,1790,0,0,0,3,3,3,Offside,NWU,Zach Busmente,,,,5.0
7,Neb. Wesleyan,O,War,1,,1.0,6.0,1.0,10.0,22.0,Take A Shot,Run,Rush,11.0,Bennett Goettsch,,,,,,,Jacob Garnas,Zach Busmente,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:50,1790,0,0,0,3,3,3,,,,,,,
8,Neb. Wesleyan,O,War,1,,1.0,7.0,1.0,10.0,11.0,Red Zone,Run,Rush,0.0,Bennett Goettsch,,,,,,,Kaden Dawe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:50,1790,0,0,0,3,3,3,,,,,,,
9,Neb. Wesleyan,O,War,1,,1.0,8.0,2.0,10.0,11.0,Red Zone,Pass,Complete,11.0,,Jace Moore,Complete,Braydin Farrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,14:50,1790,0,0,0,3,3,3,,,,,,,
10,Neb. Wesleyan,K,War,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kain Eagle,,,Good,,,,,,,,,11:25,1585,6,0,6,3,3,3,,,,,,,
