PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Fitchburg St.,K,FITCHBUR,1,,,,,,,KO Rec,Return,,,,,,,,,Luke Noyes,,,,,,,Messiah Diggs,50,,Mac Kimball,50.0,,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Fitchburg St.,O,WESTERN,1,,1.0,1.0,0.0,10.0,,Run,Rush,1.0,Chad Blaszky,,,,,,,Dakotah Lucero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Fitchburg St.,O,WESTERN,1,,1.0,2.0,2.0,9.0,,Pass,Complete,9.0,,John Giller,Complete,Messiah Diggs,,,,Mukandu Ashema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Fitchburg St.,O,WESTERN,1,,1.0,3.0,1.0,10.0,,Run,Rush,2.0,Chad Blaszky,,,,,,,Dakotah Lucero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Fitchburg St.,O,WESTERN,1,,1.0,4.0,2.0,8.0,,Run,Rush,7.0,Chad Blaszky,,,,,,,Dakotah Lucero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Fitchburg St.,,WESTERN,1,,,,3.0,1.0,,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3, false start,WESTERN,Shawn Patterson,Not found,WESTERN,,
7,Fitchburg St.,O,WESTERN,1,,1.0,5.0,3.0,7.0,,Pass,Complete,14.0,,John Giller,Complete,Julian Ferguson,,,,Torrian Wise Jr.,Rodny Bonhomme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Fitchburg St.,O,WESTERN,1,,1.0,6.0,1.0,10.0,43.0,Pass,Complete,4.0,,John Giller,Complete,Jahzaari Mullings,,,,Rodny Bonhomme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Fitchburg St.,O,WESTERN,1,,1.0,7.0,2.0,14.0,47.0,Pass,Incomplete,0.0,,John Giller,Incomplete,Julian Ferguson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Fitchburg St.,O,WESTERN,1,,1.0,8.0,3.0,14.0,47.0,Run,Rush,2.0,John Giller,,,,,,,Gary Spears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
11,Fitchburg St.,K,WESTERN,1,,,,4.0,12.0,45.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ciullo,41.0,4.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
12,Fitchburg St.,D,FITCHBUR,1,,1.0,1.0,0.0,10.0,-4.0,Run,Rush,0.0,Joseph Haskins,,,,,,,L. Pappalardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:13,1513,0,0,0,3,3,3,,,,,,,
13,Fitchburg St.,D,FITCHBUR,1,,1.0,2.0,2.0,10.0,-4.0,Run,Rush,3.0,Matthew Aguirre,,,,,,,Brian Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:13,1513,0,0,0,3,3,3,,,,,,,
14,Fitchburg St.,,FITCHBUR,1,,,,3.0,7.0,-7.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:13,1513,0,0,0,3,3,3,false start,FITCHBUR,Amzie Hinkley,,,,2.0
15,Fitchburg St.,D,FITCHBUR,1,,1.0,3.0,3.0,9.0,-5.0,Pass,Complete,3.0,,Joseph Haskins,Complete,Benjamin Palizay,,,,Matt Forti,Peter Bencivengo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:13,1513,0,0,0,3,3,3,,,,,,,
16,Fitchburg St.,K,FITCHBUR,1,,,,4.0,6.0,-8.0,Punt Rec,Return,,,,,,,,,,,,,,,,Messiah Diggs,,-35.0,,,,,,Joseph Haskins,25.0,-33.0,Return,,,,,,,,,,,,,,10:13,1513,0,0,0,3,3,3,,,,,,,
