PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Millikin,K,MIL,1,,,,,,,KO Rec,Return,,,,,,,,,Tyre Jones,,,,,,,Jake Hibben,7,38.0,David Ramirez,34.0,31.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Millikin,O,WTN,1,,1.0,1.0,0.0,10.0,-38.0,Run,Rush,9.0,Giovanni Weeks,,,,,,,Josh Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
3,Millikin,O,WTN,1,,1.0,2.0,2.0,1.0,-47.0,Pass,Complete,11.0,,Luke Anthony,Complete,Spencer Peterson,,,,Tatum Teicher,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
4,Millikin,O,WTN,1,,1.0,3.0,1.0,10.0,42.0,Pass,Incomplete,0.0,,Luke Anthony,Incomplete,Matthew Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
5,Millikin,O,WTN,1,,1.0,4.0,2.0,10.0,42.0,Run,Rush,6.0,Giovanni Weeks,,,,,,,Christopher Montgomery,Mashar Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
6,Millikin,,WTN,1,,,,3.0,4.0,36.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,False Start ,WTN,,,,,5.0
7,Millikin,O,WTN,1,,1.0,5.0,3.0,9.0,41.0,Run,Rush,8.0,Luke Anthony,,,,,,,Jequan Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
8,Millikin,O,WTN,1,,1.0,6.0,4.0,1.0,33.0,Run,Rush,16.0,Jake Hibben,,,,,,,Tatum Teicher,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
9,Millikin,O,WTN,1,,1.0,7.0,1.0,10.0,17.0,Pass,Incomplete,0.0,,Luke Anthony,Incomplete,Kyle Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
10,Millikin,O,WTN,1,,1.0,8.0,2.0,10.0,17.0,Run,Rush,6.0,Giovanni Weeks,,,,,,,Jacob Meyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,14:51,1791,0,0,0,3,3,3,Holding,WTN,,,,,10.0
11,Millikin,O,WTN,1,,1.0,9.0,2.0,20.0,27.0,Pass,Complete,24.0,,Luke Anthony,Complete,Giovanni Weeks,,,,Tatum Teicher,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
12,Millikin,O,WTN,1,,1.0,10.0,1.0,3.0,3.0,Run,Rush,3.0,Giovanni Weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,14:51,1791,0,0,0,3,3,3,,,,,,,
13,Millikin,K,WTN,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tommy Gallagher,,,Good,,,,,,,,,10:50,1550,6,0,6,3,3,3,,,,,,,
14,Millikin,K,WTN,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,Jack Allen,,,,,,,Jonathan Pitts,21,29.0,Tommy Gallagher,57.0,8.0,Return,,,,,,,,,,,,,,,,,,,10:50,1550,7,0,7,3,3,3,,,,,,,
15,Millikin,D,MIL,1,,1.0,1.0,0.0,10.0,-29.0,Run,Rush,2.0,Marion McGhee,,,,,,,Ryan Schwartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:41,1541,0,7,7,3,3,3,,,,,,,
16,Millikin,D,MIL,1,,1.0,2.0,2.0,8.0,-31.0,Pass,Complete,7.0,,Cal Pohrte,Complete,Colton Lockwood,,,,Caleb Egbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:41,1541,0,7,7,3,3,3,,,,,,,
17,Millikin,D,MIL,1,,1.0,3.0,3.0,1.0,-38.0,Pass,Complete,6.0,,Cal Pohrte,Complete,Colton Lockwood,,,,Wyatt Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,10:41,1541,0,7,7,3,3,3,Not found,WTN,,Not found,MIL,,
18,Millikin,D,MIL,1,,1.0,4.0,3.0,1.0,-38.0,Pass,Complete,11.0,,Cal Pohrte,Complete,Colton Lockwood,,,,Ryan Schwartz,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:41,1541,0,7,7,3,3,3,,,,,,,
19,Millikin,D,MIL,1,,1.0,5.0,1.0,10.0,-49.0,Pass,Incomplete,0.0,,Cal Pohrte,Incomplete,,Jake Holaday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:41,1541,0,7,7,3,3,3,,,,,,,
20,Millikin,D,MIL,1,,1.0,6.0,2.0,10.0,-49.0,Pass,Complete,15.0,,Cal Pohrte,Complete,Colton Lockwood,,,,Daniel Herber,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:41,1541,0,7,7,3,3,3,,,,,,,
21,Millikin,D,MIL,1,,1.0,7.0,1.0,10.0,36.0,Run,Rush,1.0,Cal Pohrte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:41,1541,0,7,7,3,3,3,,,,,,,
22,Millikin,D,MIL,1,,1.0,8.0,2.0,9.0,35.0,Pass,Incomplete,0.0,,Cal Pohrte,Incomplete,Jahlil Lipkin,Caleb Grotelueschen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:41,1541,0,7,7,3,3,3,,,,,,,
23,Millikin,D,MIL,1,,1.0,9.0,3.0,9.0,35.0,Pass,Incomplete,0.0,,Cal Pohrte,Incomplete,,,,River Shindledecker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:41,1541,0,7,7,3,3,3,,,,,,,
24,Millikin,,MIL,1,,,,4.0,9.0,35.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millikin,,,,,,,10:41,1541,0,7,7,3,3,3,,,,,,,
25,Millikin,D,MIL,1,,1.0,10.0,4.0,9.0,35.0,Pass,Incomplete,0.0,,Cal Pohrte,Incomplete,,,,River Shindledecker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,06:38,1298,0,7,7,3,2,3,,,,,,,
26,Millikin,O,WTN,1,,2.0,1.0,0.0,10.0,-35.0,Pass,Complete,5.0,,Luke Anthony,Complete,Adam Terrini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:32,1292,7,0,7,3,3,2,Personal Foul,MIL,,,,,15.0
27,Millikin,O,WTN,1,,2.0,2.0,1.0,10.0,45.0,Run,Rush,7.0,Giovanni Weeks,,,,,,,Tatum Teicher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:32,1292,7,0,7,3,3,2,,,,,,,
28,Millikin,O,WTN,1,,2.0,3.0,2.0,3.0,38.0,Pass,Complete,10.0,,Luke Anthony,Complete,Matthew Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:32,1292,7,0,7,3,3,2,,,,,,,
29,Millikin,O,WTN,1,,2.0,4.0,1.0,10.0,28.0,Pass,Complete,14.0,,Luke Anthony,Complete,Adam Terrini,,,,Andrew Love,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:32,1292,7,0,7,3,3,2,,,,,,,
30,Millikin,O,WTN,1,,2.0,5.0,1.0,10.0,14.0,Pass,Incomplete,0.0,,Jeremiah Tucker,Incomplete,Adam Terrini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,06:32,1292,7,0,7,3,3,2,Offside,MIL,,Pass Interference,MIL,,12.0
31,Millikin,O,WTN,1,,2.0,6.0,1.0,2.0,2.0,Run,Rush,-3.0,Giovanni Weeks,,,,,,,Quinton Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:32,1292,7,0,7,3,3,2,,,,,,,
32,Millikin,O,WTN,1,,2.0,7.0,2.0,5.0,5.0,Run,Rush,4.0,Giovanni Weeks,,,,,,,Josh Grant,Victor Teodoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:32,1292,7,0,7,3,3,2,,,,,,,
33,Millikin,O,WTN,1,,2.0,8.0,3.0,1.0,1.0,Run,Rush,1.0,Giovanni Weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,06:32,1292,7,0,7,3,3,2,,,,,,,
34,Millikin,K,WTN,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tommy Gallagher,,,Good,,,,,,,,,03:17,1097,13,0,13,3,3,2,,,,,,,
35,Millikin,K,WTN,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,Philip LoChirco,,,,,,,Jonathan Pitts,8,13.0,Tommy Gallagher,60.0,5.0,Return,,,,,,,,,,,,,,,,,,,03:17,1097,14,0,14,3,3,2,,,,,,,
36,Millikin,D,MIL,1,,2.0,1.0,0.0,10.0,-13.0,Run,Rush,0.0,Marion McGhee,,,,,,,Ryan Schwartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:10,1090,0,14,14,3,2,3,,,,,,,
37,Millikin,D,MIL,1,,2.0,2.0,2.0,10.0,-13.0,Pass,Complete,10.0,,Cal Pohrte,Complete,Antonio Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,03:10,1090,0,14,14,3,2,3,,,,,,,
38,Millikin,D,MIL,1,,2.0,3.0,1.0,10.0,-23.0,Run,Rush,3.0,Marion McGhee,,,,,,,River Shindledecker,Jake Holaday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:10,1090,0,14,14,3,2,3,,,,,,,
39,Millikin,D,MIL,1,,2.0,4.0,2.0,7.0,-26.0,Pass,Sack,-4.0,,Cal Pohrte,Sack,,,,,Brayden Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:10,1090,0,14,14,3,2,3,,,,,,,
40,Millikin,D,MIL,1,,2.0,5.0,3.0,11.0,-22.0,Run,Rush,0.0,Cal Pohrte,,,,,,,River Shindledecker,Dallas McRae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,03:10,1090,0,14,14,3,2,3,,,,,,,
41,Millikin,K,MIL,2,,,,4.0,11.0,-22.0,Punt Rec,Return,,,,,,,,,Millikin,,,,,,,Caleb Grotelueschen,,45.0,,,,,,Tyson Roedl,34.0,44.0,Return,,,,,,,,,,,,,,15:00,900,0,14,14,3,2,3,,,,,,,
42,Millikin,O,WTN,2,,3.0,1.0,0.0,10.0,-45.0,Run,Rush,0.0,Giovanni Weeks,,,,,,,Josh Grant,Andrew Love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,896,14,0,14,3,3,2,,,,,,,
43,Millikin,O,WTN,2,,3.0,2.0,2.0,10.0,-45.0,Pass,Complete,54.0,,Luke Anthony,Complete,Giovanni Weeks,,,,Mashar Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:56,896,14,0,14,3,3,2,,,,,,,
44,Millikin,O,WTN,2,,3.0,3.0,1.0,1.0,1.0,Run,Rush,0.0,Giovanni Weeks,,,,,,,Quinton Miller,Christopher Vogt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,896,14,0,14,3,3,2,,,,,,,
45,Millikin,O,WTN,2,,3.0,4.0,2.0,1.0,1.0,Run,Rush,1.0,,,,,,,,IL,,True,,,MIL,Elisha Williams,,,,,,,,,,,,,,,,,,,,,,,,,Fumble,14:56,896,14,0,14,3,3,2,,,,,,,
46,Millikin,D,MIL,2,,3.0,1.0,0.0,10.0,-20.0,Pass,Sack,-5.0,,Cal Pohrte,Sack,,,,,River Shindledecker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:09,789,0,14,14,3,2,3,,,,,,,
47,Millikin,D,MIL,2,,3.0,2.0,2.0,15.0,-15.0,Pass,Complete,5.0,,Cal Pohrte,Complete,Colton Lockwood,,,,Caleb Egbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:09,789,0,14,14,3,2,3,,,,,,,
48,Millikin,D,MIL,2,,3.0,3.0,3.0,10.0,-20.0,Pass,Incomplete,0.0,,Cal Pohrte,Incomplete,Colton Lockwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:09,789,0,14,14,3,2,3,,,,,,,
49,Millikin,K,MIL,2,,,,4.0,10.0,-20.0,Punt Rec,Return,,,,,,,,,Kendall Dehority,,,,,,,Caleb Grotelueschen,10,-35.0,,,,,,Tyson Roedl,25.0,-45.0,Return,,,,,,,,,,,,,,13:09,789,0,14,14,3,2,3,,,,,,,
50,Millikin,O,WTN,2,,4.0,1.0,0.0,10.0,35.0,Run,Rush,4.0,Luke Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:20,680,14,0,14,3,3,2,,,,,,,
51,Millikin,O,WTN,2,,4.0,2.0,2.0,6.0,31.0,Run,Rush,4.0,Giovanni Weeks,,,,,,,Mashar Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:20,680,14,0,14,3,3,2,,,,,,,
52,Millikin,O,WTN,2,,4.0,3.0,3.0,2.0,27.0,Pass,Complete,22.0,,Luke Anthony,Complete,Matthew Tucker,,,,Andrew Love,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:20,680,14,0,14,3,3,2,Personal Foul,MIL,Andrew Love,,,,3.0
53,Millikin,O,WTN,2,,4.0,4.0,1.0,2.0,2.0,Run,Rush,2.0,Giovanni Weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,11:20,680,14,0,14,3,3,2,,,,,,,
54,Millikin,K,WTN,2,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tommy Gallagher,,,Good,,,,,,,,,09:47,587,20,0,20,3,3,2,,,,,,,
55,Millikin,K,WTN,2,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,Fielding Davis,,,,,,,Jonathan Pitts,9,15.0,Tommy Gallagher,59.0,6.0,Return,,,,,,,,,,,,,,,,,,,09:47,587,21,0,21,3,3,2,,,,,,,
56,Millikin,,MIL,2,,,,2.0,5.0,-20.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millikin,,,,,,,09:41,581,0,21,21,3,2,3,,,,,,,
57,Millikin,D,MIL,2,,4.0,1.0,0.0,10.0,-15.0,Run,Rush,5.0,Cal Pohrte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:41,581,0,21,21,3,1,3,,,,,,,
58,Millikin,D,MIL,2,,4.0,2.0,2.0,5.0,-20.0,Run,Rush,0.0,Marion McGhee,,,,,,,Ryan Schwartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:41,581,0,21,21,3,1,3,,,,,,,
59,Millikin,D,MIL,2,,4.0,3.0,3.0,5.0,-20.0,Pass,Sack,-6.0,,Cal Pohrte,Sack,,,,,Brayden Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,09:41,581,0,21,21,3,1,3,,,,,,,
60,Millikin,K,MIL,2,,,,4.0,11.0,-14.0,Punt Rec,Blocked,,,,,,,,,,,,,,,,,,,,,,,,Tyson Roedl,20.0,-34.0,Blocked,Jalen Shaffer,,,,,,,,,,,,,09:41,581,0,21,21,3,1,3,,,,,,,
61,Millikin,O,WTN,2,,5.0,1.0,0.0,10.0,34.0,Run,Rush,3.0,Sam Singleton,,,,,,,Alexander Perkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:25,445,21,0,21,3,3,1,,,,,,,
62,Millikin,O,WTN,2,,5.0,2.0,2.0,7.0,31.0,Pass,Complete,16.0,,Luke Anthony,Complete,Spencer Peterson,,,,Andrew Love,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:25,445,21,0,21,3,3,1,,,,,,,
63,Millikin,,WTN,2,,,,1.0,10.0,15.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millikin,,,,,,,07:25,445,21,0,21,3,3,1,,,,,,,
