PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Rowan,K,ROWAN,1,,,,,,,KO Ret,Return,,,,,,,,,Miles Cook,,,,,,,Richard Massey,24,25.0,Danny Kay,64.0,1.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,holding,WP,,,,,10.0
2,Rowan,O,WP,1,,1.0,1.0,0.0,10.0,-15.0,Run,Rush,2.0,Terriqu Riddick,,,,,,,Eric Hill,Eric Matos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Rowan,,WP,1,,,,2.0,8.0,-17.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,false start,WP,,,,,5.0
4,Rowan,O,WP,1,,1.0,2.0,2.0,13.0,-12.0,Pass,Complete,3.0,,Spencer Lee,Complete,William Frese,,,,Mike Mascioli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Rowan,O,WP,1,,1.0,3.0,3.0,10.0,-15.0,Pass,Complete,8.0,,Spencer Lee,Complete,Taz Burton,,,,Eric Matos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Rowan,K,WP,1,,,,4.0,2.0,-23.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Jack Wisniewski,49.0,28.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Rowan,D,ROWAN,1,,1.0,1.0,0.0,10.0,28.0,Pass,Complete,47.0,,Mike Husni,Complete,John Maldonado,,,,Tyrell Wigfall,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:28,1648,0,0,0,3,3,3,,,,,,,
8,Rowan,D,ROWAN,1,,1.0,2.0,1.0,10.0,25.0,Run,Rush,-2.0,James Fara,,,,,,,Nasir Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:28,1648,0,0,0,3,3,3,,,,,,,
9,Rowan,,ROWAN,1,,,,2.0,12.0,27.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:28,1648,0,0,0,3,3,3,offside defense,WP,,,,,5.0
10,Rowan,D,ROWAN,1,,1.0,3.0,2.0,7.0,22.0,Pass,Complete,7.0,,Mike Husni,Complete,CJ Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:28,1648,0,0,0,3,3,3,,,,,,,
11,Rowan,D,ROWAN,1,,1.0,4.0,1.0,10.0,15.0,Run,Rush,3.0,James Fara,,,,,,,Sean Maldonato,Nazier Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:28,1648,0,0,0,3,3,3,,,,,,,
12,Rowan,D,ROWAN,1,,1.0,5.0,2.0,7.0,12.0,Run,Rush,4.0,James Fara,,,,,,,Tahir Taylor,Jared Salgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:28,1648,0,0,0,3,3,3,,,,,,,
13,Rowan,D,ROWAN,1,,1.0,6.0,3.0,3.0,8.0,Run,Rush,1.0,Mike Husni,,,,,,,Jared Salgado,Bryan King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,12:28,1648,0,0,0,3,3,3,,,,,,,
14,Rowan,K,ROWAN,1,,,,4.0,2.0,7.0,FG Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jake Hurler,24.0,Good,,,,,,,,,,12:28,1648,0,0,0,3,3,3,,,,,,,
15,Rowan,K,ROWAN,1,,,,1.0,35.0,35.0,KO Ret,Return,,,,,,,,,Nick Cerulli,Michael Ancona,,,,,,Marcel Mason,10,20.0,Danny Kay,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,09:00,1440,3,0,-3,3,3,3,illegal block,WP,,,,,10.0
16,Rowan,O,WP,1,,2.0,1.0,0.0,10.0,-10.0,Run,Rush,4.0,Terriqu Riddick,,,,,,,Tim Hutchison,Josh Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00,1440,0,3,-3,3,3,3,,,,,,,
17,Rowan,O,WP,1,,2.0,2.0,2.0,6.0,-14.0,Run,Rush,14.0,Terriqu Riddick,,,,,,,Mike Mascioli,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:00,1440,0,3,-3,3,3,3,,,,,,,
18,Rowan,O,WP,1,,2.0,3.0,1.0,10.0,-28.0,Run,Rush,11.0,Terriqu Riddick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00,1440,0,3,-3,3,3,3,holding,WP,,,,,10.0
19,Rowan,O,WP,1,,2.0,4.0,1.0,9.0,-29.0,Run,Rush,2.0,Terriqu Riddick,,,,,,,AJ Akins,Mike Mascioli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00,1440,0,3,-3,3,3,3,,,,,,,
20,Rowan,O,WP,1,,2.0,5.0,2.0,7.0,-31.0,Pass,Incomplete,0.0,,Spencer Lee,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00,1440,0,3,-3,3,3,3,,,,,,,
21,Rowan,O,WP,1,,2.0,6.0,3.0,7.0,-31.0,Pass,Complete,10.0,,Spencer Lee,Complete,,,,,Malachi Winters,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:00,1440,0,3,-3,3,3,3,,,,,,,
22,Rowan,O,WP,1,,2.0,7.0,1.0,10.0,-41.0,Run,Rush,3.0,Terriqu Riddick,,,,,,,Mike Mascioli,Dhani Clifford,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:00,1440,0,3,-3,3,3,3,face mask,ROWAN,,,,,15.0
23,Rowan,O,WP,1,,2.0,8.0,1.0,10.0,-41.0,Run,Rush,7.0,Spencer Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00,1440,0,3,-3,3,3,3,,,,,,,
24,Rowan,O,WP,1,,2.0,9.0,2.0,3.0,-34.0,Run,Rush,6.0,,,,,,,,Ular Tiitma,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:00,1440,0,3,-3,3,3,3,,,,,,,
25,Rowan,O,WP,1,,2.0,10.0,1.0,10.0,-28.0,Pass,Complete,6.0,,Spencer Lee,Complete,,,,,Mike Mascioli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00,1440,0,3,-3,3,3,3,,,,,,,
26,Rowan,O,WP,1,,2.0,11.0,2.0,4.0,-22.0,Run,Rush,0.0,Terriqu Riddick,,,,,,,Isaiah Johnston,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:00,1440,0,3,-3,3,3,3,face mask,ROWAN,,,,,11.0
27,Rowan,O,WP,1,,2.0,12.0,1.0,10.0,-11.0,Run,Rush,6.0,Terriqu Riddick,,,,,,,Eric Matos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00,1440,0,3,-3,3,3,3,,,,,,,
28,Rowan,O,WP,1,,2.0,13.0,2.0,4.0,-5.0,Run,Rush,5.0,Terriqu Riddick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,09:00,1440,0,3,-3,3,3,3,,,,,,,
29,Rowan,K,WP,1,,,,1.0,-3.0,-3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ronald Alvarez,,,Good,,,,,,,,,03:18,1098,6,3,3,3,3,3,,,,,,,
30,Rowan,K,WP,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Samod Wingo,,,,,,,Jajuan Hays,18,30.0,Ronald Alvarez,53.0,12.0,Return,,,,,,,,,,,,,,,,,,,03:18,1098,7,3,4,3,3,3,,,,,,,
31,Rowan,D,ROWAN,1,,2.0,1.0,0.0,10.0,30.0,Pass,Incomplete,0.0,,Mike Husni,Incomplete,John Maldonado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,03:18,1098,3,7,4,3,3,3,offside defense,WP,,,,,5.0
32,Rowan,D,ROWAN,1,,2.0,2.0,1.0,5.0,35.0,Run,Rush,8.0,James Fara,,,,,,,Richard Massey,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,03:18,1098,3,7,4,3,3,3,,,,,,,
33,Rowan,D,ROWAN,1,,2.0,3.0,1.0,10.0,43.0,Run,Rush,5.0,Mike Husni,,,,,,,Bryan King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:18,1098,3,7,4,3,3,3,,,,,,,
34,Rowan,D,ROWAN,1,,2.0,4.0,2.0,5.0,48.0,Run,Rush,0.0,James Fara,,,,,,,Nasir Adams,Jared Salgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:18,1098,3,7,4,3,3,3,,,,,,,
35,Rowan,D,ROWAN,1,,2.0,5.0,3.0,5.0,48.0,Pass,Incomplete,0.0,,Mike Husni,Incomplete,John Maldonado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,03:18,1098,3,7,4,3,3,3,,,,,,,
36,Rowan,K,ROWAN,1,,,,4.0,5.0,48.0,Punt Ret,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Danny Kay,30.0,22.0,Fair Catch,,,,,,,,,,,,,,03:18,1098,3,7,4,3,3,3,,,,,,,
37,Rowan,O,WP,1,,3.0,1.0,0.0,10.0,-22.0,Run,Rush,4.0,Marcel Mason,,,,,,,Mike Mascioli,Malachi Winters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:10,970,7,3,4,3,3,3,,,,,,,
38,Rowan,O,WP,1,,3.0,2.0,2.0,6.0,-26.0,Pass,Interception,0.0,,Spencer Lee,Interception,,,Malachi Winters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interception,01:10,970,7,3,4,3,3,3,,,,,,,
39,Rowan,D,ROWAN,1,,3.0,1.0,0.0,10.0,48.0,Run,Rush,0.0,Jajuan Hays,,,,,,,Devyn Blount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:34,934,3,7,4,3,3,3,,,,,,,
40,Rowan,,ROWAN,2,,,,2.0,10.0,48.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,3,7,4,3,3,3,false start,ROWAN,,,,,5.0
