PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Wis.-Stout,K,BLUEDEV,1,,,,,,,KO Ret,,,,,,,,,,,,,,,,,,,,Jack Meyer,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Wis.-Stout,O,PIONEERS,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,2.0,Tyler rush Lamer,,,,,,,Scott Gustafson,Noah Benson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Wis.-Stout,O,PIONEERS,1,,1.0,2.0,2.0,8.0,-27.0,Pass,Incomplete,0.0,,Colin pass Schuetz,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Wis.-Stout,O,PIONEERS,1,,1.0,3.0,3.0,8.0,-27.0,Pass,Incomplete,0.0,,Colin pass Schuetz,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Wis.-Stout,K,PIONEERS,1,,,,4.0,8.0,-27.0,Punt,Return,,,,,,,,,Nate Yencer,,,,,,,Will Knutson,1,29.0,,,,,,Hunter punt Grams,45.0,28.0,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Wis.-Stout,D,BLUEDEV,1,,1.0,1.0,0.0,10.0,-29.0,Pass,Complete,41.0,,Sean Borgerding,Complete,Levy Hamer,,,,Dayne Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:09,1749,0,0,0,3,3,3,,,,,,,
7,Wis.-Stout,D,BLUEDEV,1,,1.0,2.0,1.0,10.0,30.0,Run,Rush,4.0,Matt Pomietlo,,,,,,,Samuel Tausz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:09,1749,0,0,0,3,3,3,,,,,,,
8,Wis.-Stout,D,BLUEDEV,1,,1.0,3.0,2.0,6.0,26.0,Pass,Complete,14.0,,Sean Borgerding,Complete,Parker Fossum,,,,Nichol Alberico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:09,1749,0,0,0,3,3,3,,,,,,,
9,Wis.-Stout,D,BLUEDEV,1,,1.0,4.0,1.0,10.0,12.0,Pass,Incomplete,0.0,,Sean Borgerding,Incomplete,Matt Pomietlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:09,1749,0,0,0,3,3,3,,,,,,,
10,Wis.-Stout,D,BLUEDEV,1,,1.0,5.0,2.0,10.0,12.0,Run,Rush,12.0,Matt Pomietlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,14:09,1749,0,0,0,3,3,3,,,,,,,
11,Wis.-Stout,K,BLUEDEV,1,,,,,,,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luke Cool,,,Good,,,,,,,,,12:20,1640,6,0,-6,3,3,3,,,,,,,
12,Wis.-Stout,K,BLUEDEV,1,,,,,,,KO Ret,Return,,,,,,,,,Carter Fonger,,,,,,,,21,25.0,Jack Meyer,61.0,4.0,Return,,,,,,,,,,,,,,,,,,,12:20,1640,7,0,-7,3,3,3,,,,,,,
13,Wis.-Stout,O,PIONEERS,1,,2.0,1.0,0.0,10.0,-25.0,Pass,Complete,1.0,,Colin pass Schuetz,Complete,Blaise for Watters,,,,Haydon Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:16,1636,0,7,-7,3,3,3,,,,,,,
14,Wis.-Stout,O,PIONEERS,1,,2.0,2.0,2.0,11.0,-24.0,Pass,Incomplete,0.0,,Colin pass Schuetz,Incomplete,,,,,Ethan Olson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:16,1636,0,7,-7,3,3,3,,,,,,,
15,Wis.-Stout,O,PIONEERS,1,,2.0,3.0,3.0,11.0,-24.0,Pass,Complete,11.0,,Colin pass Schuetz,Complete,Brandt for Stare,,,,Nate Rewald,Nick Arguedas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:16,1636,0,7,-7,3,3,3,,,,,,,
16,Wis.-Stout,O,PIONEERS,1,,2.0,4.0,1.0,10.0,-35.0,Pass,Incomplete,0.0,,Colin pass Schuetz,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:16,1636,0,7,-7,3,3,3,,,,,,,
17,Wis.-Stout,O,PIONEERS,1,,2.0,5.0,2.0,10.0,-35.0,Pass,Complete,28.0,,Colin pass Schuetz,Complete,Ben for Wilson,,,,Cannon Griner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:16,1636,0,7,-7,3,3,3,,,,,,,
18,Wis.-Stout,O,PIONEERS,1,,2.0,6.0,1.0,10.0,37.0,Pass,Sack,-2.0,,Colin sacked Schuetz,Sack,,,,,Ethan Olson,Scott Gustafson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:16,1636,0,7,-7,3,3,3,,,,,,,
19,Wis.-Stout,O,PIONEERS,1,,2.0,7.0,2.0,12.0,39.0,Pass,Complete,5.0,,Colin pass Schuetz,Complete,Brandt for Stare,,,,Nate Rewald,Riley Crotteau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:16,1636,0,7,-7,3,3,3,,,,,,,
20,Wis.-Stout,O,PIONEERS,1,,2.0,8.0,3.0,7.0,34.0,Pass,Complete,9.0,,Colin pass Schuetz,Complete,Austin for Guy,,,,Nick Arguedas,Mason Priebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:16,1636,0,7,-7,3,3,3,,,,,,,
