PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,DePauw,K,DPW,1,,,,,,,KO Ret,Touchback,,,,,,,,,,,,,,,,,,,Jack Drake,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,DePauw,O,UWW,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Complete,2.0,,Max Meylor,Complete,Derek Kumerow,,,,Daniel Rafeedie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,DePauw,O,UWW,1,,1.0,2.0,2.0,8.0,-27.0,Run,Rush,9.0,Alex Peete,,,,,,,Dylan Hyatt,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,DePauw,O,UWW,1,,1.0,3.0,1.0,10.0,-36.0,Run,Rush,19.0,Alex Peete,,,,,,,Josh Coons,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,DePauw,O,UWW,1,,1.0,4.0,1.0,10.0,45.0,Run,Rush,6.0,Alex Peete,,,,,,,Josh Coons,Brevon Gude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,DePauw,O,UWW,1,,1.0,5.0,2.0,4.0,39.0,Run,Rush,0.0,Alex Peete,,,,,,,Josh Coons,Ethan Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,DePauw,O,UWW,1,,1.0,6.0,3.0,4.0,39.0,Run,Rush,2.0,Max Meylor,,,,,,,Daniel Rafeedie,Dylan Hyatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,DePauw,O,UWW,1,,1.0,7.0,4.0,2.0,37.0,Run,Rush,1.0,Alex Peete,,,,,,,Evens Cribs,Joe Zanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,15:00,1800,0,0,0,3,3,3,,,,,,,
9,DePauw,D,DPW,1,,1.0,1.0,0.0,10.0,-36.0,Pass,Sack,-5.0,,Chase Andries,Sack,,,,,Kyle Gallagher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:57,1557,0,0,0,3,3,3,,,,,,,
10,DePauw,D,DPW,1,,1.0,2.0,2.0,15.0,-31.0,Pass,Sack,-3.0,,Chase Andries,Sack,,,,,Matt Burba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:57,1557,0,0,0,3,3,3,,,,,,,
11,DePauw,D,DPW,1,,1.0,3.0,3.0,18.0,-28.0,Pass,Complete,9.0,,Chase Andries,Complete,Trey Shaw,,,,Tegan Christiansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:57,1557,0,0,0,3,3,3,,,,,,,
12,DePauw,K,DPW,1,,,,4.0,9.0,-37.0,Punt Ret,Return,,,,,,,,,Mac Wissel,,,,,,,Dain Hudson,5,29.0,,,,,,Danny Wilkinson,39.0,24.0,Return,,,,,,,,,,,,,,10:57,1557,0,0,0,3,3,3,,,,,,,
13,DePauw,O,UWW,1,,2.0,1.0,0.0,10.0,-29.0,Run,Rush,20.0,Max Meylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,08:55,1435,0,0,0,3,3,3,Holding,UWW,,,,,10.0
14,DePauw,O,UWW,1,,2.0,2.0,1.0,20.0,-19.0,Pass,Complete,10.0,,Max Meylor,Complete,Ryan Wisniewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:55,1435,0,0,0,3,3,3,,,,,,,
15,DePauw,O,UWW,1,,2.0,3.0,2.0,10.0,-29.0,Run,Rush,7.0,Max Meylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:55,1435,0,0,0,3,3,3,,,,,,,
16,DePauw,O,UWW,1,,2.0,4.0,3.0,3.0,-36.0,Pass,Complete,19.0,,Max Meylor,Complete,Zach Sherman,,,,Josh Coons,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:55,1435,0,0,0,3,3,3,,,,,,,
17,DePauw,O,UWW,1,,2.0,5.0,1.0,10.0,45.0,Run,Rush,13.0,Alex Peete,,,,,,,Brevon Gude,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:55,1435,0,0,0,3,3,3,,,,,,,
18,DePauw,O,UWW,1,,2.0,6.0,1.0,10.0,32.0,Pass,Complete,5.0,,Max Meylor,Complete,Ryan Wisniewski,,,,Liam Pooler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:55,1435,0,0,0,3,3,3,,,,,,,
19,DePauw,O,UWW,1,,2.0,7.0,2.0,5.0,27.0,Pass,Complete,23.0,,Max Meylor,Complete,Ryan Wisniewski,,,,Josh Coons,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:55,1435,0,0,0,3,3,3,,,,,,,
20,DePauw,O,UWW,1,,2.0,8.0,1.0,4.0,4.0,Pass,Incomplete,0.0,,Max Meylor,Incomplete,Ryan Wisniewski,Dylan Hyatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:55,1435,0,0,0,3,3,3,,,,,,,
21,DePauw,O,UWW,1,,2.0,9.0,2.0,4.0,4.0,Run,Rush,1.0,Alex Peete,,,,,,,Evens Cribs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:55,1435,0,0,0,3,3,3,,,,,,,
22,DePauw,O,UWW,1,,2.0,10.0,3.0,3.0,3.0,Run,Rush,3.0,Alex Peete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,08:55,1435,0,0,0,3,3,3,,,,,,,
23,DePauw,K,UWW,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt Maldonado,,,Good,,,,,,,,,04:25,1165,6,0,6,3,3,3,,,,,,,
24,DePauw,K,UWW,1,,,,1.0,10.0,-35.0,KO,Fair Catch,,,,,,,,,,,,,,,,,,,Matt Maldonado,59.0,6.0,Fair Catch,,,,,,,,,,,,,,,,,,,04:25,1165,7,0,7,3,3,3,,,,,,,
25,DePauw,D,DPW,1,,2.0,1.0,0.0,10.0,-25.0,Pass,Complete,2.0,,Chase Andries,Complete,Trey Shaw,,,,Aaron Sturdevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:25,1165,0,7,7,3,3,3,,,,,,,
26,DePauw,D,DPW,1,,2.0,2.0,2.0,8.0,-27.0,Pass,Incomplete,0.0,,Chase Andries,Incomplete,Josh Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:25,1165,0,7,7,3,3,3,,,,,,,
27,DePauw,D,DPW,1,,2.0,3.0,3.0,8.0,-27.0,Pass,Incomplete,0.0,,Chase Andries,Incomplete,Gus Baumgartner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,04:25,1165,0,7,7,3,3,3,,,,,,,
