PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Mass. Maritime,K,MA,1,,,,,,,KO Rec,,,,,,,,,,,,,,,,,,,,George Lampros,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Mass. Maritime,O,WORCESTE,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Complete,16.0,,Aaron-Moses Wil,Complete,Deion Osei-Sarp,,,,Keven Paul,Andrew Longwate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Mass. Maritime,,WORCESTE,1,,,,1.0,10.0,-41.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,false start,WORCESTE,,,,,5.0
4,Mass. Maritime,O,WORCESTE,1,,1.0,2.0,1.0,15.0,-36.0,Pass,Complete,3.0,,Aaron-Moses Wil,Complete,Ke'Vaughn Davis,,,,Cole Keefe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Mass. Maritime,O,WORCESTE,1,,1.0,3.0,2.0,12.0,-39.0,Pass,Complete,14.0,,Aaron-Moses Wil,Complete,Deion Osei-Sarp,,,,Kyle Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Mass. Maritime,O,WORCESTE,1,,1.0,4.0,1.0,10.0,47.0,Run,Rush,-1.0,Amir Mells,,,,,,,Cole Keefe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Mass. Maritime,O,WORCESTE,1,,1.0,5.0,2.0,11.0,48.0,Pass,Incomplete,0.0,,Aaron-Moses Wil,Incomplete,Amir Mells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Mass. Maritime,O,WORCESTE,1,,1.0,6.0,3.0,11.0,48.0,Pass,Incomplete,0.0,,Aaron-Moses Wil,Incomplete,Ke'Vaughn Davis,,,,Kyle Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Mass. Maritime,K,WORCESTE,1,,,,4.0,11.0,48.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Kyle Wall,29.0,19.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Mass. Maritime,D,MA,1,,1.0,1.0,0.0,10.0,-19.0,Run,Rush,7.0,Conner Reynolds,,,,,,,Mason Broyles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:59,1619,0,0,0,3,3,3,,,,,,,
11,Mass. Maritime,D,MA,1,,1.0,2.0,2.0,3.0,-26.0,Run,Rush,2.0,Conner Reynolds,,,,,,,Dominic Annese,Jayden Caron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:59,1619,0,0,0,3,3,3,,,,,,,
