PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Framingham St.,K,FRAMINGH,1,,,,,,,KO Rec,,,,,,,,,,,,,,,,,,,,Henrique De,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Framingham St.,O,WORCESTE,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Complete,4.0,,Aaron-Moses Williams,Complete,Amir Mells,,,,Dylan DeWolfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Framingham St.,O,WORCESTE,1,,1.0,2.0,2.0,6.0,-29.0,Run,Rush,3.0,Amir Mells,,,,,,,Anthony Behonick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Framingham St.,O,WORCESTE,1,,1.0,3.0,3.0,3.0,-32.0,Pass,Complete,20.0,,Aaron-Moses Williams,Complete,Ke'Vaughn Davis,,,,Michael Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Framingham St.,O,WORCESTE,1,,1.0,4.0,1.0,10.0,48.0,Run,Rush,2.0,Amir Mells,,,,,,,Anthony Behonick,Anderson Larosilliere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Framingham St.,O,WORCESTE,1,,1.0,5.0,2.0,8.0,46.0,Pass,Incomplete,0.0,,Aaron-Moses Williams,Incomplete,Ke'Vaughn Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Framingham St.,O,WORCESTE,1,,1.0,6.0,3.0,8.0,46.0,Pass,Incomplete,0.0,,Aaron-Moses Williams,Incomplete,Dylan Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Framingham St.,K,WORCESTE,1,,,,4.0,8.0,46.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Kyle Wall,46.0,0.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Framingham St.,D,FRAMINGH,1,,1.0,1.0,0.0,10.0,-20.0,Pass,Complete,6.0,,Nicolas Goffredo,Complete,Elijah Nichols,,,,Dominic Annese,Isaac Tyson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:52,1672,0,0,0,3,3,3,roughing the passer,WORCESTE,Brad Baxter,,,,15.0
10,Framingham St.,D,FRAMINGH,1,,1.0,2.0,1.0,10.0,-41.0,Run,Rush,1.0,McBean Jr,,,,,,,Isaac Tyson,Sam Duah Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:52,1672,0,0,0,3,3,3,,,,,,,
11,Framingham St.,D,FRAMINGH,1,,1.0,3.0,2.0,9.0,-42.0,Pass,Complete,12.0,,Nicolas Goffredo,Complete,Isaiah Hanks,,,,Curt Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:52,1672,0,0,0,3,3,3,,,,,,,
12,Framingham St.,D,FRAMINGH,1,,1.0,4.0,1.0,10.0,46.0,Pass,Complete,2.0,,Nicolas Goffredo,Complete,Isaiah Hanks,,,,Curt Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:52,1672,0,0,0,3,3,3,,,,,,,
13,Framingham St.,D,FRAMINGH,1,,1.0,5.0,2.0,8.0,44.0,Run,Rush,10.0,Devaun Ford,,,,,,,Noah Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,12:52,1672,0,0,0,3,3,3,holding,FRAMINGH,Tevin Cadet,,,,10.0
14,Framingham St.,D,FRAMINGH,1,,1.0,6.0,2.0,18.0,-46.0,Pass,Complete,8.0,,Nicolas Goffredo,Complete,Isaiah Hanks,,,,Curt Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:52,1672,0,0,0,3,3,3,,,,,,,
15,Framingham St.,D,FRAMINGH,1,,1.0,7.0,3.0,10.0,46.0,Pass,Complete,14.0,,Nicolas Goffredo,Complete,Isaiah Hanks,,,,Kevin Byrnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:52,1672,0,0,0,3,3,3,,,,,,,
16,Framingham St.,D,FRAMINGH,1,,1.0,8.0,1.0,10.0,32.0,Pass,Incomplete,0.0,,Nicolas Goffredo,Incomplete,Devaughn White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:52,1672,0,0,0,3,3,3,,,,,,,
17,Framingham St.,D,FRAMINGH,1,,1.0,9.0,2.0,10.0,32.0,Run,Rush,1.0,Nicolas Goffredo,,,,,,,Brad Baxter,Jayden Caron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:52,1672,0,0,0,3,3,3,,,,,,,
18,Framingham St.,D,FRAMINGH,1,,1.0,10.0,3.0,9.0,31.0,Pass,Complete,4.0,,Nicolas Goffredo,Complete,Isaiah Hanks,,,,Scott Moulton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:52,1672,0,0,0,3,3,3,,,,,,,
19,Framingham St.,D,FRAMINGH,1,,1.0,11.0,4.0,5.0,27.0,Pass,Incomplete,0.0,,Nicolas Goffredo,Incomplete,Devaun Ford,,,,Scott Moulton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,12:52,1672,0,0,0,3,3,3,,,,,,,
20,Framingham St.,O,WORCESTE,1,,2.0,1.0,0.0,10.0,-27.0,Run,Rush,11.0,Amir Mells,,,,,,,Joshua Onujiogu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:15,1395,0,0,0,3,3,3,,,,,,,
21,Framingham St.,O,WORCESTE,1,,2.0,2.0,1.0,10.0,-38.0,Pass,Complete,1.0,,Aaron-Moses Williams,Complete,Ke'Vaughn Davis,,,,Tishay Johnson Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:15,1395,0,0,0,3,3,3,,,,,,,
22,Framingham St.,O,WORCESTE,1,,2.0,3.0,2.0,11.0,-37.0,Pass,Incomplete,0.0,,Aaron-Moses Williams,Incomplete,Amir Mells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:15,1395,0,0,0,3,3,3,,,,,,,
23,Framingham St.,O,WORCESTE,1,,2.0,4.0,3.0,11.0,-37.0,Pass,Incomplete,0.0,,Aaron-Moses Williams,Incomplete,Dan DiVerdi,,,,Tishay Johnson Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:15,1395,0,0,0,3,3,3,,,,,,,
24,Framingham St.,K,WORCESTE,1,,,,4.0,11.0,-37.0,Punt,Return,,,,,,,,,Dominic Annese,Mike Mahoney,,,,,,Kelvin Davila,3,37.0,,,,,,Kyle Wall,29.0,34.0,Return,,,,,,,,,,,,,,08:15,1395,0,0,0,3,3,3,illegal block,FRAMINGH,Chase Buono,,,,10.0
25,Framingham St.,D,FRAMINGH,1,,2.0,1.0,0.0,10.0,-27.0,Pass,Complete,13.0,,Nicolas Goffredo,Complete,Isaiah Hanks,,,,John McMasters III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:50,1310,0,0,0,3,3,3,,,,,,,
26,Framingham St.,D,FRAMINGH,1,,2.0,2.0,1.0,10.0,-40.0,Pass,Complete,10.0,,Nicolas Goffredo,Complete,Elijah Nichols,,,,Noah Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:50,1310,0,0,0,3,3,3,,,,,,,
27,Framingham St.,D,FRAMINGH,1,,2.0,3.0,1.0,10.0,-50.0,Run,Rush,4.0,Devaun Ford,,,,,,,Noah Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:50,1310,0,0,0,3,3,3,,,,,,,
28,Framingham St.,D,FRAMINGH,1,,2.0,4.0,2.0,6.0,46.0,Pass,Incomplete,0.0,,Nicolas Goffredo,Incomplete,Elijah Nichols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:50,1310,0,0,0,3,3,3,,,,,,,
29,Framingham St.,D,FRAMINGH,1,,2.0,5.0,3.0,6.0,46.0,Pass,Complete,11.0,,Nicolas Goffredo,Complete,Isaiah Hanks,,,,Scott Moulton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:50,1310,0,0,0,3,3,3,,,,,,,
30,Framingham St.,D,FRAMINGH,1,,2.0,6.0,1.0,10.0,35.0,Run,Rush,8.0,McBean Jr,,,,,,,Mason Broyles,Noah Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:50,1310,0,0,0,3,3,3,,,,,,,
31,Framingham St.,D,FRAMINGH,1,,2.0,7.0,2.0,2.0,27.0,Run,Rush,12.0,McBean Jr,,,,,,,Noah Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:50,1310,0,0,0,3,3,3,,,,,,,
