PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Rose-Hulman,K,ALB,1,,,,,,,,KO,Touchback,,,,,,,,,,,,,,,,,,,,,,Hunter Williams,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Rose-Hulman,D,R-H,1,,1.0,1.0,0.0,10.0,25.0,Take A Shot,Pass,Incomplete,0.0,,,Miguel Robertson,short,left,Incomplete,Daniel Huery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Rose-Hulman,D,R-H,1,,1.0,2.0,2.0,10.0,25.0,Take A Shot,Pass,Complete,0.0,,,Miguel Robertson,short,left,Complete,Jailen Hobbs,,,,Jeremiah Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,15:00,1800,0,0,0,3,3,3,,,,,,,12.0
4,Rose-Hulman,D,R-H,1,,1.0,3.0,2.0,22.0,13.0,Red Zone,Pass,Complete,7.0,,,Miguel Robertson,short,left,Complete,Jailen Hobbs,,,,Ricky Pearson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Rose-Hulman,D,R-H,1,,1.0,4.0,3.0,15.0,20.0,Red Zone High,Pass,Sack,-4.0,,,Miguel Robertson,,,Sack,,,,,Nick Fannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Rose-Hulman,K,R-H,1,,,,4.0,19.0,16.0,Red Zone High,Punt Rec,Return,,,,,,,,,,,,Joseph Bueno,,,,,,,Brendan Teal,10,50.0,,,,,,Andrew Toler,44.0,40.0,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Rose-Hulman,O,ALB,1,,1.0,1.0,0.0,10.0,-50.0,Go Zone,Run,Rush,-4.0,Phillip Jones-Price,left,,,,,,,,,Riley Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:33,1713,0,0,0,3,3,3,,,,,,,
8,Rose-Hulman,O,ALB,1,,1.0,2.0,2.0,14.0,-46.0,Go Zone,Pass,Complete,25.0,,,Luke Lovell,deep,middle,Complete,Bailey Edwards,,,,Tyce Miller,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:33,1713,0,0,0,3,3,3,,,,,,,
9,Rose-Hulman,O,ALB,1,,1.0,3.0,1.0,10.0,29.0,Take A Shot,Pass,Incomplete,0.0,,,Luke Lovell,short,left,Incomplete,Brendan Teal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:33,1713,0,0,0,3,3,3,,,,,,,
10,Rose-Hulman,O,ALB,1,,1.0,4.0,2.0,10.0,29.0,Take A Shot,Run,Rush,23.0,Phillip Jones-Price,middle,,,,,,,,,Cameron Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:33,1713,0,0,0,3,3,3,,,,,,,
11,Rose-Hulman,O,ALB,1,,1.0,5.0,1.0,6.0,6.0,Red Zone,Run,Rush,3.0,Phillip Jones-Price,left,,,,,,,,,Peter Cross,Andrew Walkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:33,1713,0,0,0,3,3,3,,,,,,,
12,Rose-Hulman,O,ALB,1,,1.0,6.0,2.0,3.0,3.0,Red Zone Low,Pass,Complete,3.0,,,Luke Lovell,short,right,Complete,Brendan Teal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,13:33,1713,0,0,0,3,3,3,,,,,,,
13,Rose-Hulman,K,ALB,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt.,Good,,,,,,,,,,,,Hunter H: Williams,,,,,,,,,,,,,,,,,,,,Jackson Cooney,,,Good,,,,,,,,,11:41,1601,6,0,6,3,3,3,,,,,,,
14,Rose-Hulman,K,ALB,1,,,,1.0,10.0,-35.0,Gold Zone,KO,Touchback,,,,,,,,,,,,,,,,,,,,,,Hunter Williams,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,11:41,1601,7,0,7,3,3,3,,,,,,,
