PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Rochester (N.Y.),K,ALFREDST,1,,,,,,,,KO,,,,,,,,,,,,,,,,,,ALFREDST,on ALFREDST30,,,,Dawson Fontaine,0.0,-35.0,,True,,,,,,,,,,,,,,True,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Rochester (N.Y.),K,ALFREDST,1,,,,,,,,KO,Return,,,,,,,,,,,,E. Brumfield,Connor Dwyer,,,,,,Jay Zheng,14,31.0,Dawson Fontaine,53.0,17.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Rochester (N.Y.),D,ROC,1,,1.0,1.0,0.0,10.0,-31.0,Gold Zone,Run,Rush,6.0,D. Papantonis,,,,,,,,,,Amer Alsawaf,Colin Hebbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47,1787,0,0,0,3,3,3,,,,,,,
4,Rochester (N.Y.),D,ROC,1,,1.0,2.0,2.0,4.0,-37.0,Gold Zone,Pass,Incomplete,0.0,,,Ryan Rose,,,Incomplete,Trey Johnson,,,,Jeremiah Nixon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47,1787,0,0,0,3,3,3,,,,,,,
5,Rochester (N.Y.),D,ROC,1,,1.0,3.0,3.0,4.0,-37.0,Gold Zone,Pass,Complete,4.0,,,Ryan Rose,,,Complete,Jackson Kane,,,,Rylie Van Fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47,1787,0,0,0,3,3,3,,,,,,,
6,Rochester (N.Y.),D,ROC,1,,1.0,4.0,1.0,10.0,-41.0,Gold Zone,Run,Rush,7.0,D. Papantonis,,,,,,,,,,Jeremiah Nixon,Rayshawn Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47,1787,0,0,0,3,3,3,,,,,,,
7,Rochester (N.Y.),D,ROC,1,,1.0,5.0,2.0,3.0,-48.0,Go Zone,Run,Rush,8.0,D. Papantonis,,,,,,,,,,Silas Egenlauf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47,1787,0,0,0,3,3,3,,,,,,,
8,Rochester (N.Y.),D,ROC,1,,1.0,6.0,1.0,10.0,44.0,Go Zone,Run,Rush,-2.0,D. Papantonis,,,,,,,,,,Jeremiah Nixon,David Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47,1787,0,0,0,3,3,3,,,,,,,
9,Rochester (N.Y.),D,ROC,1,,1.0,7.0,2.0,12.0,46.0,Go Zone,Pass,Incomplete,0.0,,,Ryan Rose,,,Incomplete,Ryan Van,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47,1787,0,0,0,3,3,3,,,,,,,
10,Rochester (N.Y.),D,ROC,1,,1.0,8.0,3.0,12.0,46.0,Go Zone,Pass,Complete,6.0,,,Ryan Rose,,,Complete,Will Varney,,,,Silas Egenlauf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:47,1787,0,0,0,3,3,3,,,,,,,
11,Rochester (N.Y.),K,ROC,1,,,,4.0,6.0,40.0,Go Zone,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Wing,20.0,20.0,,,,,,,,,,,,,,,14:47,1787,0,0,0,3,3,3,,,,,,,
12,Rochester (N.Y.),O,ALFREDST,1,,1.0,1.0,0.0,10.0,-20.0,Coming Out,Pass,Sack,-1.0,,,Jimmy Brush,,,Sack,,,,,Andy Kristian,B. Beckwith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:45,1545,0,0,0,3,3,3,,,,,,,
13,Rochester (N.Y.),O,ALFREDST,1,,1.0,2.0,2.0,11.0,-19.0,Coming Out,Pass,Complete,7.0,,,Jimmy Brush,,,Complete,Roman Napoleon,,,,Judah Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:45,1545,0,0,0,3,3,3,,,,,,,
14,Rochester (N.Y.),O,ALFREDST,1,,1.0,3.0,3.0,4.0,-26.0,Gold Zone,Pass,Incomplete,0.0,,,Jimmy Brush,,,Incomplete,,,,,Joe DeBonis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:45,1545,0,0,0,3,3,3,,,,,,,
15,Rochester (N.Y.),K,ALFREDST,1,,,,4.0,4.0,-26.0,Gold Zone,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rylie Van,46.0,28.0,,,,,,,,,,,,,,,10:45,1545,0,0,0,3,3,3,,,,,,,
16,Rochester (N.Y.),D,ROC,1,,2.0,1.0,0.0,10.0,-28.0,Gold Zone,Run,Rush,22.0,D. Papantonis,,,,,,,,,,Jeremiah Nixon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:16,1456,0,0,0,3,3,3,,,,,,,
17,Rochester (N.Y.),D,ROC,1,,2.0,2.0,1.0,10.0,-50.0,Go Zone,Run,Rush,9.0,D. Papantonis,,,,,,,,,,Jeremiah Nixon,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,09:16,1456,0,0,0,3,3,3,holding,ROC,,,,,10.0
18,Rochester (N.Y.),D,ROC,1,,2.0,3.0,1.0,20.0,-40.0,Gold Zone,Run,Rush,12.0,D. Papantonis,,,,,,,,,,Rylie Van Fleet,Colin Hebbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:16,1456,0,0,0,3,3,3,,,,,,,
19,Rochester (N.Y.),D,ROC,1,,2.0,4.0,2.0,8.0,48.0,Go Zone,Pass,Incomplete,0.0,,,Ryan Rose,,,Incomplete,Ryan Van,,,,Max Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:16,1456,0,0,0,3,3,3,,,,,,,
20,Rochester (N.Y.),D,ROC,1,,2.0,5.0,3.0,8.0,48.0,Go Zone,Pass,Complete,1.0,,,Ryan Rose,,,Complete,Will Varney,,,,Rayshawn Powell,Silas Egenlauf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,09:16,1456,0,0,0,3,3,3,,,,,,,
21,Rochester (N.Y.),K,ROC,1,,,,4.0,9.0,49.0,Go Zone,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Wing,49.0,0.0,,,,,,,,,,,,,,,09:16,1456,0,0,0,3,3,3,holding,ROC,,,,,5.0
22,Rochester (N.Y.),O,ALFREDST,1,,2.0,1.0,0.0,10.0,-25.0,Coming Out,Run,Rush,6.0,Jimmy Brush,,,,,,,,,,Nyme Hussain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:55,1315,0,0,0,3,3,3,,,,,,,
23,Rochester (N.Y.),O,ALFREDST,1,,2.0,2.0,2.0,4.0,-31.0,Gold Zone,Pass,Incomplete,0.0,,,Jimmy Brush,,,Incomplete,Roman Napoleon,,,,Caden Cole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:55,1315,0,0,0,3,3,3,,,,,,,
24,Rochester (N.Y.),O,ALFREDST,1,,2.0,3.0,3.0,4.0,-31.0,Gold Zone,Pass,Incomplete,0.0,,,Jimmy Brush,,,Incomplete,,,,,Jack Yensel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,06:55,1315,0,0,0,3,3,3,,,,,,,
25,Rochester (N.Y.),K,ALFREDST,1,,,,4.0,4.0,-31.0,Gold Zone,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Rylie Van,35.0,34.0,Fair Catch,,,,,,,,,,,,,,06:55,1315,0,0,0,3,3,3,,,,,,,
26,Rochester (N.Y.),D,ROC,1,,3.0,1.0,0.0,10.0,-34.0,Gold Zone,Run,Rush,0.0,Will Varney,,,,,,,,,,David Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:06,1266,0,0,0,3,3,3,,,,,,,
27,Rochester (N.Y.),D,ROC,1,,3.0,2.0,2.0,10.0,-34.0,Gold Zone,Pass,Complete,13.0,,,Ryan Rose,,,Complete,Ryan Van,,,,Rylie Van Fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:06,1266,0,0,0,3,3,3,,,,,,,
28,Rochester (N.Y.),D,ROC,1,,3.0,3.0,1.0,10.0,-47.0,Go Zone,Run,Rush,0.0,Will Varney,,,,,,,,,,Amari Cook,Matthew Mancuso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:06,1266,0,0,0,3,3,3,,,,,,,
29,Rochester (N.Y.),D,ROC,1,,3.0,4.0,2.0,10.0,-47.0,Go Zone,Run,Rush,8.0,Will Varney,,,,,,,,,,David Harrell,C. Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:06,1266,0,0,0,3,3,3,,,,,,,
30,Rochester (N.Y.),D,ROC,1,,3.0,5.0,3.0,2.0,45.0,Go Zone,Run,Rush,6.0,Will Varney,,,,,,,,,,David Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:06,1266,0,0,0,3,3,3,,,,,,,
31,Rochester (N.Y.),D,ROC,1,,3.0,6.0,1.0,10.0,39.0,Go Zone,Run,Rush,7.0,Will Varney,,,,,,,,,,Danny Browning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:06,1266,0,0,0,3,3,3,,,,,,,
32,Rochester (N.Y.),D,ROC,1,,3.0,7.0,2.0,3.0,32.0,Take A Shot,Pass,Complete,13.0,,,Ryan Rose,,,Complete,Tom Tommaso,,,,Danny Browning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:06,1266,0,0,0,3,3,3,,,,,,,
33,Rochester (N.Y.),D,ROC,1,,3.0,8.0,1.0,10.0,19.0,Red Zone High,Pass,Complete,9.0,,,Ryan Rose,,,Complete,Trey Johnson,,,,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:06,1266,0,0,0,3,3,3,holding,ROC,,,,,10.0
34,Rochester (N.Y.),D,ROC,1,,3.0,9.0,2.0,11.0,20.0,Red Zone High,Run,Rush,7.0,D. Papantonis,,,,,,,,,,Silas Egenlauf,Colin Hebbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:06,1266,0,0,0,3,3,3,,,,,,,
35,Rochester (N.Y.),D,ROC,1,,3.0,10.0,3.0,4.0,13.0,Red Zone,Run,Rush,4.0,D. Papantonis,,,,,,,,,,CJ Hinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:06,1266,0,0,0,3,3,3,,,,,,,
36,Rochester (N.Y.),D,ROC,1,,3.0,11.0,1.0,9.0,9.0,Red Zone,Run,Rush,2.0,Will Varney,,,,,,,,,,Rylie Van Fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:06,1266,0,0,0,3,3,3,,,,,,,
37,Rochester (N.Y.),D,ROC,2,,3.0,12.0,2.0,7.0,7.0,Red Zone,Run,Rush,3.0,D. Papantonis,,,,,,,,,,Rylie Van Fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,0,0,3,3,3,,,,,,,
