PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Husson,K,HUS,1,,,,,,,,KO Rec,,,,,,,,,,,,,,,,,,,,,,,Aaron Paradis,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Husson,O,ASC,1,,1.0,1.0,0.0,10.0,-25.0,Coming Out,Run,Rush,5.0,Jake Palmer,,,,,,,,,,Parker LaFrance,Antwan Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Husson,O,ASC,1,,1.0,2.0,2.0,5.0,-30.0,Gold Zone,Run,Rush,0.0,Jake Palmer,,,,,,,,,,Tucker Buzzell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Husson,O,ASC,1,,1.0,3.0,3.0,5.0,-30.0,Gold Zone,Pass,Complete,9.0,,,Jimmy Brush,,,Complete,Jazir Francois,,,,Evan Briggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Husson,O,ASC,1,,1.0,4.0,1.0,10.0,-39.0,Gold Zone,Run,Rush,10.0,Josh Graham,,,,,,,,,,Garrett Maheux,Alex Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Husson,O,ASC,1,,1.0,5.0,1.0,10.0,-49.0,Go Zone,Run,Rush,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Husson,O,ASC,1,,1.0,6.0,2.0,25.0,-34.0,Gold Zone,Pass,Complete,8.0,,,Jimmy Brush,,,Complete,Ben Ba,,,,Antwan Turner,Sean Savage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Husson,O,ASC,1,,1.0,7.0,3.0,17.0,-42.0,Gold Zone,Pass,Complete,0.0,,,Jimmy Brush,,,Complete,Ben Ba,,,,Adam Bertrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Husson,,ASC,1,,,,4.0,17.0,-42.0,Gold Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,unsportmanlike conduct,ASC,Ben Ba,,,,10.0
10,Husson,K,ASC,1,,,,4.0,27.0,-32.0,Gold Zone,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rylie Van,37.0,31.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
11,Husson,D,HUS,1,,1.0,1.0,0.0,10.0,-31.0,Gold Zone,Run,Rush,3.0,Elijah Garnett,,,,,,,,,,David Harrell,Rayshawn Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:33,1593,0,0,0,3,3,3,,,,,,,
12,Husson,D,HUS,1,,1.0,2.0,2.0,7.0,-34.0,Gold Zone,Run,Rush,3.0,Elijah Garnett,,,,,,,,,,Anthony Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:33,1593,0,0,0,3,3,3,,,,,,,
13,Husson,D,HUS,1,,1.0,3.0,3.0,4.0,-37.0,Gold Zone,Pass,Complete,3.0,,,Nic Visser,,,Complete,Elijah Garnett,,,,Amer Alsawaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:33,1593,0,0,0,3,3,3,,,,,,,
14,Husson,K,HUS,1,,,,4.0,1.0,-40.0,Gold Zone,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Paradis,40.0,20.0,Fair Catch,,,,,,,,,,,,,,11:33,1593,0,0,0,3,3,3,,,,,,,
15,Husson,O,ASC,1,,2.0,1.0,0.0,10.0,-20.0,Coming Out,Run,Rush,9.0,Jake Palmer,,,,,,,,,,Garrett Maheux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:31,1471,0,0,0,3,3,3,holding,ASC,Ben Ba,,,,10.0
16,Husson,O,ASC,1,,2.0,2.0,1.0,11.0,-19.0,Coming Out,Run,Rush,8.0,Jake Palmer,,,,,,,,,,Tyrek Mann,Parker LaFrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:31,1471,0,0,0,3,3,3,,,,,,,
17,Husson,O,ASC,1,,2.0,3.0,2.0,3.0,-27.0,Gold Zone,Run,Rush,0.0,Jake Palmer,,,,,,,,,,Tucker Buzzell,Evan Briggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:31,1471,0,0,0,3,3,3,,,,,,,
18,Husson,O,ASC,1,,2.0,4.0,3.0,3.0,-27.0,Gold Zone,Pass,Complete,4.0,,,Jimmy Brush,,,Complete,Ben Ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:31,1471,0,0,0,3,3,3,,,,,,,
19,Husson,O,ASC,1,,2.0,5.0,1.0,10.0,-31.0,Gold Zone,Run,Rush,-1.0,Jake Palmer,,,,,,,,,,Tucker Buzzell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:31,1471,0,0,0,3,3,3,,,,,,,
20,Husson,O,ASC,1,,2.0,6.0,2.0,11.0,-30.0,Gold Zone,Pass,Complete,10.0,,,Jimmy Brush,,,Complete,Ben Ba,,,,Antwan Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:31,1471,0,0,0,3,3,3,,,,,,,
21,Husson,O,ASC,1,,2.0,7.0,3.0,1.0,-40.0,Gold Zone,Run,Rush,7.0,Jake Palmer,,,,,,,,,,Tucker Buzzell,Tyrek Mann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,09:31,1471,0,0,0,3,3,3,,,,,,,
22,Husson,K,ASC,1,,,,1.0,10.0,-47.0,Go Zone,Punt,Return,,,,,,,,,,,,Danny Browning,,,,,,,Jon Bell,4,44.0,,,,,,Rylie Van,13.0,40.0,Return,,,,,,,,,,,,,,09:31,1471,0,0,0,3,3,3,,,,,,,
23,Husson,D,HUS,1,,2.0,1.0,0.0,10.0,-44.0,Gold Zone,Run,Rush,9.0,Nic Visser,,,,,,,,,,Rylie Van Fleet,Silas Egenlauf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:43,1243,0,0,0,3,3,3,,,,,,,
24,Husson,D,HUS,1,,2.0,2.0,2.0,1.0,47.0,Go Zone,Run,Rush,4.0,Nic Visser,,,,,,,,,,Amer Alsawaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:43,1243,0,0,0,3,3,3,personal foul,ASC,Josh Borowicz,,,,15.0
25,Husson,D,HUS,1,,2.0,3.0,1.0,10.0,28.0,Take A Shot,Run,Rush,0.0,Elijah Garnett,,,,,,,,,,Amari Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:43,1243,0,0,0,3,3,3,,,,,,,
26,Husson,D,HUS,1,,2.0,4.0,2.0,10.0,28.0,Take A Shot,Run,Rush,10.0,Jon Bell,,,,,,,,,,Max Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:43,1243,0,0,0,3,3,3,,,,,,,
27,Husson,,HUS,1,,,,1.0,10.0,18.0,Red Zone High,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:43,1243,0,0,0,3,3,3,delay of game,HUS,Nic Visser,,,,5.0
28,Husson,D,HUS,1,,2.0,5.0,1.0,15.0,23.0,Take A Shot,Run,Rush,-2.0,Elijah Garnett,,,,,,,,,,Silas Egenlauf,Amari Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:43,1243,0,0,0,3,3,3,,,,,,,
29,Husson,D,HUS,1,,2.0,6.0,2.0,17.0,25.0,Take A Shot,Pass,Complete,8.0,,,Nic Visser,,,Complete,Jordan Marcano,,,,Max Gomes,Silas Egenlauf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:43,1243,0,0,0,3,3,3,,,,,,,
30,Husson,D,HUS,1,,2.0,7.0,3.0,9.0,17.0,Red Zone High,Pass,Incomplete,0.0,,,Nic Visser,,,Incomplete,Dom Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,05:43,1243,0,0,0,3,3,3,,,,,,,
31,Husson,K,HUS,1,,,,4.0,9.0,17.0,Red Zone High,FG Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Paradis,33.0,Good,,,,,,,,,,05:43,1243,0,0,0,3,3,3,,,,,,,
32,Husson,K,HUS,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,Evan DeRonsle,,,,,,,Rafael Class,13,17.0,Aaron Paradis,61.0,4.0,Return,,,,,,,,,,,,,,,,,,,01:50,1010,3,0,-3,3,3,3,personal foul,HUS,Evan DeRonsle,,,,15.0
33,Husson,O,ASC,1,,3.0,1.0,0.0,10.0,-32.0,Gold Zone,Run,Rush,9.0,Jimmy Brush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:44,1004,0,3,-3,3,3,3,,,,,,,
34,Husson,,ASC,1,,,,2.0,1.0,-41.0,Gold Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:44,1004,0,3,-3,3,3,3,encroachment,HUS,DJ Wilson,,,,5.0
35,Husson,O,ASC,1,,3.0,2.0,1.0,10.0,-46.0,Go Zone,Pass,Complete,37.0,,,Jimmy Brush,,,Complete,Roman Napoleon,,,,Antwan Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:44,1004,0,3,-3,3,3,3,,,,,,,
36,Husson,O,ASC,1,,3.0,3.0,1.0,10.0,17.0,Red Zone High,Run,Rush,2.0,Jake Palmer,,,,,,,,,,Parker LaFrance,Alex Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:44,1004,0,3,-3,3,3,3,,,,,,,
37,Husson,O,ASC,2,,3.0,4.0,2.0,8.0,15.0,Red Zone High,Run,Rush,9.0,Josh Graham,,,,,,,,,,Tucker Buzzell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,3,-3,3,3,3,,,,,,,
38,Husson,O,ASC,2,,3.0,5.0,1.0,6.0,6.0,Red Zone,Run,Rush,5.0,Josh Graham,,,,,,,,,,Adam Bertrand,Tucker Buzzell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,3,-3,3,3,3,,,,,,,
39,Husson,O,ASC,2,,3.0,6.0,2.0,1.0,1.0,Red Zone Low,Run,Rush,1.0,Jimmy Brush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,900,0,3,-3,3,3,3,,,,,,,
40,Husson,K,ASC,2,,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dawson Fontaine,,,Good,,,,,,,,,14:03,843,6,3,3,3,3,3,,,,,,,
41,Husson,K,ASC,2,,,,,,,,KO,Return,,,,,,,,,,,,Jeremiah Nixon,Danny Browning,,,,,,Cullen Casey,11,42.0,Evan French,34.0,31.0,Return,,,,,,,,,,,,,,,,,,,14:03,843,7,3,4,3,3,3,,,,,,,
42,Husson,D,HUS,2,,3.0,1.0,0.0,10.0,-42.0,Gold Zone,Pass,Incomplete,0.0,,,Nic Visser,,,Incomplete,Jon Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:56,836,3,7,4,3,3,3,,,,,,,
43,Husson,D,HUS,2,,3.0,2.0,2.0,10.0,-42.0,Gold Zone,Pass,Incomplete,0.0,,,Nic Visser,,,Incomplete,Cullen Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:56,836,3,7,4,3,3,3,,,,,,,
44,Husson,D,HUS,2,,3.0,3.0,3.0,10.0,-42.0,Gold Zone,Pass,Incomplete,0.0,,,Nic Visser,,,Incomplete,Russ Walker,,,,Anthony Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:56,836,3,7,4,3,3,3,,,,,,,
45,Husson,K,HUS,2,,,,4.0,10.0,-42.0,Gold Zone,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Paradis,30.0,28.0,Fair Catch,,,,,,,,,,,,,,13:56,836,3,7,4,3,3,3,,,,,,,
46,Husson,O,ASC,2,,4.0,1.0,0.0,10.0,-28.0,Gold Zone,Run,Rush,11.0,Jake Palmer,,,,,,,,,,Parker LaFrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:32,812,7,3,4,3,3,3,,,,,,,
47,Husson,O,ASC,2,,4.0,2.0,1.0,10.0,-39.0,Gold Zone,Run,Rush,10.0,Jake Palmer,,,,,,,,,,Antwan Turner,Evan Briggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:32,812,7,3,4,3,3,3,,,,,,,
48,Husson,O,ASC,2,,4.0,3.0,1.0,10.0,-49.0,Go Zone,Run,Rush,3.0,Jake Palmer,,,,,,,,,,Parker LaFrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:32,812,7,3,4,3,3,3,face mask,HUS,Alex Brown,,,,15.0
49,Husson,O,ASC,2,,4.0,4.0,1.0,10.0,33.0,Take A Shot,Run,Rush,5.0,Josh Graham,,,,,,,,,,Parker LaFrance,Adam Bertrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:32,812,7,3,4,3,3,3,,,,,,,
50,Husson,O,ASC,2,,4.0,5.0,2.0,5.0,28.0,Take A Shot,Run,Rush,4.0,Josh Graham,,,,,,,,,,Tucker Buzzell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:32,812,7,3,4,3,3,3,,,,,,,
51,Husson,O,ASC,2,,4.0,6.0,3.0,1.0,24.0,Take A Shot,Run,Rush,0.0,Jake Palmer,,,,,,,,,,Tucker Buzzell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:32,812,7,3,4,3,3,3,,,,,,,
52,Husson,O,ASC,2,,4.0,7.0,4.0,1.0,24.0,Take A Shot,Run,Rush,4.0,Jake Palmer,,,,,,,,,,Antwan Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:32,812,7,3,4,3,3,3,personal foul,HUS,Antwan Turner,,,,10.0
53,Husson,O,ASC,2,,4.0,8.0,1.0,10.0,10.0,Red Zone,Run,Rush,-5.0,Josh Graham,,,,,,,,,,Antwan Turner,Tucker Buzzell,True,Josh Graham,,ASC,Josh Graham,Josh Graham,4,15.0,,,,,,,,,,,,,,,,,,,,,,,13:32,812,7,3,4,3,3,3,,,,,,,
54,Husson,O,ASC,2,,4.0,9.0,2.0,11.0,11.0,Red Zone,Run,Rush,-3.0,Jake Palmer,,,,,,,,,,Jamal Dourant,Phoebus Floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:32,812,7,3,4,3,3,3,,,,,,,
55,Husson,O,ASC,2,,4.0,10.0,3.0,14.0,14.0,Red Zone High,Pass,Incomplete,0.0,,,Jimmy Brush,,,Incomplete,Ben Ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:32,812,7,3,4,3,3,3,,,,,,,
