PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Ithaca,K,ITH,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,Jake Connolly,Sam Tourangeau,,,,,,Neil Peters,17,20.0,Nicholas Bahamonde,62.0,3.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Ithaca,O,ALF,1,,1.0,1.0,0.0,10.0,-20.0,Coming Out,Run,Rush,2.0,Max IV,middle,,,,,,,,,Jason Green,Joshua Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Ithaca,O,ALF,1,,1.0,2.0,2.0,8.0,-22.0,Coming Out,Pass,Incomplete,0.0,,,Zuke Smith,short,left,Incomplete,Andrew Morling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Ithaca,O,ALF,1,,1.0,3.0,3.0,8.0,-22.0,Coming Out,Pass,Complete,4.0,,,Zuke Smith,short,middle,Complete,Darviae Gray,,,,Jake Connolly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Ithaca,K,ALF,1,,,,4.0,4.0,-26.0,Gold Zone,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zach Johnson,37.0,37.0,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Ithaca,D,ITH,1,,1.0,1.0,0.0,10.0,-37.0,Gold Zone,Run,Rush,0.0,Jake Williams,middle,,,,,,,,,Adam Mietz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:36,1716,0,0,0,3,3,3,,,,,,,
7,Ithaca,D,ITH,1,,1.0,2.0,2.0,10.0,-37.0,Gold Zone,Run,Rush,3.0,A Wingfield,middle,,,,,,,,,Roque Santiago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:36,1716,0,0,0,3,3,3,,,,,,,
8,Ithaca,D,ITH,1,,1.0,3.0,3.0,7.0,-40.0,Gold Zone,Pass,Incomplete,0.0,,,,short,right,Incomplete,Michael Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:36,1716,0,0,0,3,3,3,,,,,,,
9,Ithaca,K,ITH,1,,,,4.0,7.0,-40.0,Gold Zone,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Roumes,36.0,24.0,Fair Catch,,,,,,,,,,,,,,13:36,1716,0,0,0,3,3,3,,,,,,,
10,Ithaca,O,ALF,1,,2.0,1.0,0.0,10.0,-24.0,Coming Out,Run,Rush,2.0,Max IV,middle,,,,,,,,,Joshua Miles,Ryan Salisbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:06,1626,0,0,0,3,3,3,,,,,,,
