PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Bates,K,AMHERST,1,,,,,,,KO,Return,,,,,,,,,Cesar Suarez,,,,,,,Mohamed Diawara,22,25.0,Conor Kennelly,57.0,3.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Bates,D,BATES,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Incomplete,0.0,,Brendan Costa,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
3,Bates,D,BATES,1,,1.0,2.0,2.0,10.0,-25.0,Pass,Complete,3.0,,Brendan Costa,Complete,Derek Marino,,,,Chris Chukwura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
4,Bates,,BATES,1,,,,3.0,7.0,-28.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,false start,BATES,Mohamed Diawara,,,,5.0
5,Bates,D,BATES,1,,1.0,3.0,3.0,12.0,-23.0,Pass,Incomplete,0.0,,Brendan Costa,Incomplete,Mohamed Diawara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:53,1793,0,0,0,3,3,3,,,,,,,
6,Bates,K,BATES,1,,,,4.0,12.0,-23.0,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,ArchieGreen Jr,46.0,31.0,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
7,Bates,,AMHERST,1,,,,1.0,10.0,-31.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:41,1721,0,0,0,3,3,3,offside,BATES,Matt Connelly,,,,5.0
8,Bates,O,AMHERST,1,,1.0,1.0,0.0,5.0,-36.0,Pass,Complete,5.0,,Chad Peterson,Complete,Joe Masterson,,,,Mike Bulman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:41,1721,0,0,0,3,3,3,,,,,,,
9,Bates,O,AMHERST,1,,1.0,2.0,1.0,10.0,-41.0,Run,Rush,4.0,,Kellen Field,,,,,,Nolan Potter,Spencer Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:41,1721,0,0,0,3,3,3,,,,,,,
10,Bates,O,AMHERST,1,,1.0,3.0,2.0,6.0,-45.0,Pass,Complete,5.0,,Chad Peterson,Complete,Joe Masterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:41,1721,0,0,0,3,3,3,,,,,,,
11,Bates,O,AMHERST,1,,1.0,4.0,3.0,1.0,-50.0,Run,Rush,5.0,,Louie Eckelkamp,,,,,,Anthony Costa,Tyler Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:41,1721,0,0,0,3,3,3,,,,,,,
12,Bates,O,AMHERST,1,,1.0,5.0,1.0,10.0,45.0,Run,Rush,8.0,,Kellen Field,,,,,,Matt Connelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:41,1721,0,0,0,3,3,3,,,,,,,
13,Bates,O,AMHERST,1,,1.0,6.0,2.0,2.0,37.0,Pass,Complete,1.0,,Chad Peterson,Complete,Joe Masterson,,,,Thomas Formus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:41,1721,0,0,0,3,3,3,,,,,,,
14,Bates,O,AMHERST,1,,1.0,7.0,3.0,3.0,38.0,Pass,Complete,12.0,,Chad Peterson,Complete,Joe Masterson,,,,Tony Hooks,Thomas Formus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:41,1721,0,0,0,3,3,3,,,,,,,
15,Bates,O,AMHERST,1,,1.0,8.0,1.0,10.0,26.0,Pass,Complete,18.0,,Chad Peterson,Complete,Michael Immerman,,,,Spencer Adams,Moha. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:41,1721,0,0,0,3,3,3,,,,,,,
16,Bates,O,AMHERST,1,,1.0,9.0,1.0,8.0,8.0,Run,Rush,8.0,,Kellen Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,13:41,1721,0,0,0,3,3,3,,,,,,,
17,Bates,K,AMHERST,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conor Kennelly,,,Good,,,,,,,,,10:30,1530,6,0,6,3,3,3,,,,,,,
18,Bates,K,AMHERST,1,,,,1.0,10.0,-40.0,KO,,,,,,,,,,,,,,,,,,,,Conor Kennelly,60.0,0.0,,,,,,,,,,,,,,,,,,,,10:30,1530,7,0,7,3,3,3,,,,,,,
19,Bates,D,BATES,1,,2.0,1.0,0.0,10.0,-25.0,Run,Rush,2.0,,Brendan Costa,,,,,,Matt Durborow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:30,1530,0,7,7,3,3,3,,,,,,,
