PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Macalester College,K,MAC,1,,,,,,,KO Rec,,,,,,,,,,,,,,,,,,,,Jon Neve,34.0,31.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Macalester College,O,AUG,1,,1.0,1.0,0.0,10.0,-31.0,Pass,Complete,9.0,,Cade Sheehan,Complete,Michael Ims,,,,Victor Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Macalester College,O,AUG,1,,1.0,2.0,2.0,1.0,-40.0,Run,Rush,-3.0,Cade Sheehan,,,,,,,,,True,Cade Sheehan,Paul Brinson,MAC,Paul Brinson,,,-36.0,,,,,,,,,,,,,,,,,,,,,,Fumble,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Macalester College,D,MAC,1,,1.0,1.0,0.0,10.0,36.0,Pass,Complete,14.0,,Michael Nadeau,Complete,Peter Vitalis,,,,Camdin Carlsn-Mathes,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:27,1767,0,0,0,3,3,3,,,,,,,
5,Macalester College,D,MAC,1,,1.0,2.0,1.0,10.0,22.0,Pass,Complete,13.0,,Michael Nadeau,Complete,Rex Desso,,,,Camdin Carlsn-Mathes,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:27,1767,0,0,0,3,3,3,,,,,,,
6,Macalester College,D,MAC,1,,1.0,3.0,1.0,9.0,9.0,Pass,Incomplete,0.0,,Michael Nadeau,Incomplete,Peter Vitalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,14:27,1767,0,0,0,3,3,3,pass interference,AUG,Lionel Gates,,,,7.0
7,Macalester College,D,MAC,1,,1.0,4.0,1.0,2.0,2.0,Run,Rush,2.0,Kian Sohrabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,14:27,1767,0,0,0,3,3,3,,,,,,,
8,Macalester College,K,MAC,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jon Neve,,,Good,,,,,,,,,13:18,1698,6,0,-6,3,3,3,,,,,,,
9,Macalester College,,MAC,1,,,,1.0,-35.0,-35.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:18,1698,7,0,-7,3,3,3,unsportsmanlike conduct,MAC,Charlie Johnston,,,,15.0
10,Macalester College,K,MAC,1,,,,1.0,-20.0,-20.0,KO Rec,,,,,,,,,,,,,,,,,,,,Jon Neve,37.0,43.0,,,,,,,,,,,,,,,,,,,,13:18,1698,7,0,-7,3,3,3,,,,,,,
11,Macalester College,O,AUG,1,,2.0,1.0,0.0,10.0,-43.0,Pass,Complete,1.0,,Cade Sheehan,Complete,Braden Tretter,,,,Cameron Latvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:18,1698,0,7,-7,3,3,3,,,,,,,
12,Macalester College,O,AUG,1,,2.0,2.0,2.0,9.0,-44.0,Run,Rush,7.0,Isaiah Thompson,,,,,,,Paul Brinson,Brady Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:18,1698,0,7,-7,3,3,3,,,,,,,
13,Macalester College,O,AUG,1,,2.0,3.0,3.0,2.0,49.0,Run,Rush,7.0,Isaiah Thompson,,,,,,,Cameron Latvis,Paul Brinson,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:18,1698,0,7,-7,3,3,3,,,,,,,
14,Macalester College,O,AUG,1,,2.0,4.0,1.0,10.0,42.0,Pass,Complete,10.0,,Cade Sheehan,Complete,Dominic Smith,,,,Victor Wright,Pierce Lundt,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:18,1698,0,7,-7,3,3,3,,,,,,,
15,Macalester College,O,AUG,1,,2.0,5.0,1.0,10.0,32.0,Run,Rush,7.0,Isaiah Thompson,,,,,,,Josh Strickler,Brady Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:18,1698,0,7,-7,3,3,3,,,,,,,
16,Macalester College,O,AUG,1,,2.0,6.0,2.0,3.0,25.0,Run,Rush,5.0,Tre Lee,,,,,,,Brady Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:18,1698,0,7,-7,3,3,3,,,,,,,
17,Macalester College,O,AUG,1,,2.0,7.0,1.0,10.0,20.0,Run,Rush,9.0,Cade Sheehan,,,,,,,Victor Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:18,1698,0,7,-7,3,3,3,,,,,,,
18,Macalester College,O,AUG,1,,2.0,8.0,2.0,1.0,11.0,Run,Rush,0.0,Ethan Dallman,,,,,,,Nathan Wu,Riley Cogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:18,1698,0,7,-7,3,3,3,,,,,,,
19,Macalester College,O,AUG,1,,2.0,9.0,3.0,1.0,11.0,Run,Rush,3.0,Isaiah Thompson,,,,,,,Victor Wright,Josh Strickler,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:18,1698,0,7,-7,3,3,3,,,,,,,
20,Macalester College,O,AUG,1,,2.0,10.0,1.0,8.0,8.0,Run,Rush,1.0,Isaiah Thompson,,,,,,,Brady Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:18,1698,0,7,-7,3,3,3,,,,,,,
21,Macalester College,O,AUG,1,,2.0,11.0,2.0,7.0,7.0,Run,Rush,2.0,Isaiah Thompson,,,,,,,Max Menache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:18,1698,0,7,-7,3,3,3,,,,,,,
22,Macalester College,O,AUG,1,,2.0,12.0,3.0,5.0,5.0,Pass,Complete,5.0,,Cade Sheehan,Complete,Dominic Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,13:18,1698,0,7,-7,3,3,3,,,,,,,
23,Macalester College,K,AUG,1,,,,1.0,3.0,3.0,Extra Pt.,Blocked,,,,,,,,,,,,,,,,John Newton,,,,,,,,,,,,John Newton,Durham Welch,,,Blocked,,,,,,,,,08:25,1405,6,7,-1,3,3,3,,,,,,,
24,Macalester College,K,AUG,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Ryan Lavrenz,,,,,,,Logan Pampel,25,30.0,Durham Welch,60.0,5.0,Return,,,,,,,,,,,,,,,,,,,08:25,1405,6,7,-1,3,3,3,,,,,,,
25,Macalester College,D,MAC,1,,2.0,1.0,0.0,10.0,-30.0,Pass,Complete,14.0,,Michael Nadeau,Complete,Nick Bice,,,,Lionel Gates,Brandon Sjostrand,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:25,1405,7,6,-1,3,3,3,,,,,,,
26,Macalester College,D,MAC,1,,2.0,2.0,1.0,10.0,-44.0,Pass,Complete,7.0,,Michael Nadeau,Complete,Brody Fuller,,,,Dalton Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:25,1405,7,6,-1,3,3,3,,,,,,,
27,Macalester College,D,MAC,1,,2.0,3.0,2.0,3.0,49.0,Pass,Complete,4.0,,Michael Nadeau,Complete,Rex Desso,,,,Shaquille Young,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:25,1405,7,6,-1,3,3,3,,,,,,,
28,Macalester College,D,MAC,1,,2.0,4.0,1.0,10.0,45.0,Pass,Complete,14.0,,Michael Nadeau,Complete,Nick Bice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:25,1405,7,6,-1,3,3,3,,,,,,,
29,Macalester College,D,MAC,1,,2.0,5.0,1.0,10.0,31.0,Pass,Complete,9.0,,Michael Nadeau,Complete,Logan Pampel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:25,1405,7,6,-1,3,3,3,,,,,,,
30,Macalester College,D,MAC,1,,2.0,6.0,2.0,1.0,22.0,Run,Rush,8.0,Michael Nadeau,,,,,,,Lionel Gates,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:25,1405,7,6,-1,3,3,3,,,,,,,
31,Macalester College,,MAC,1,,,,1.0,10.0,14.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:25,1405,7,6,-1,3,3,3,offside,AUG,Jaylan Lomax,,,,5.0
32,Macalester College,D,MAC,1,,2.0,7.0,1.0,5.0,9.0,Run,Rush,4.0,Logan Pampel,,,,,,,Shaquille Young,Josiah Morrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:25,1405,7,6,-1,3,3,3,,,,,,,
