PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,MSU Moorhead,K,AUG,1,,,,,,,KO,Touchback,,,,,,,,,,,,,,,,,,,Luis Guarita,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,Offside,AUG,,,,,5.0
2,MSU Moorhead,D,MSM,1,,1.0,1.0,0.0,10.0,-30.0,Pass,Complete,4.0,,,Complete,Grady Bresnahan,,,,14:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,MSU Moorhead,D,MSM,1,,1.0,2.0,2.0,6.0,-34.0,Pass,Complete,2.0,,,Complete,Grady Bresnahan,,,,14:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:34,1774,0,0,0,3,3,3,,,,,,,
4,MSU Moorhead,D,MSM,1,,1.0,3.0,3.0,4.0,-36.0,Pass,Incomplete,0.0,,,Incomplete,Trent Marquart,,,,13:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:15,1755,0,0,0,3,3,3,,,,,,,
5,MSU Moorhead,K,MSM,1,,,,4.0,4.0,-36.0,Punt Ret,Return,,,,,,,,,13:41,,,,,,,Luke Fritsch,2,30.0,,,,,,,36.0,28.0,Return,,,,,,,,,,,,,,13:43,1723,0,0,0,3,3,3,,,,,,,
6,MSU Moorhead,O,AUG,1,,1.0,1.0,0.0,10.0,-30.0,Pass,Complete,38.0,,,Complete,Logan Uttecht,,,,13:29,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:30,1710,0,0,0,3,3,3,Holding,MSM,,,,,
7,MSU Moorhead,O,AUG,1,,1.0,2.0,1.0,10.0,32.0,Run,Rush,5.0,,,,,,,,13:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:29,1709,0,0,0,3,3,3,,,,,,,
8,MSU Moorhead,O,AUG,1,,1.0,3.0,2.0,5.0,27.0,Run,Rush,9.0,,,,,,,,12:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,13:07,1687,0,0,0,3,3,3,Personal Foul,AUG,Kevin Hartman,,,,15.0
9,MSU Moorhead,O,AUG,1,,1.0,4.0,2.0,20.0,42.0,Pass,Complete,4.0,,,Complete,Jarod Epperson,,,,12:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:32,1652,0,0,0,3,3,3,,,,,,,
10,MSU Moorhead,O,AUG,1,,1.0,5.0,3.0,16.0,38.0,Run,Rush,21.0,,,,,,,,11:43,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:05,1625,0,0,0,3,3,3,,,,,,,
11,MSU Moorhead,O,AUG,1,,1.0,6.0,1.0,10.0,17.0,Run,Rush,3.0,,,,,,,,11:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:43,1603,0,0,0,3,3,3,,,,,,,
12,MSU Moorhead,O,AUG,1,,1.0,7.0,2.0,7.0,14.0,Pass,Complete,14.0,,,Complete,Sean Engel,,,,10:52,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,11:18,1578,0,0,0,3,3,3,,,,,,,
13,MSU Moorhead,K,AUG,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luis Guarita,,,Good,,,,,,,,,10:52,1552,6,0,6,3,3,3,,,,,,,
14,MSU Moorhead,K,AUG,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,Isaiah Ryan,,,,,,,Landon Lundquist,18,21.0,Luis Guarita,62.0,3.0,Return,,,,,,,,,,,,,,,,,,,10:52,1552,7,0,7,3,3,3,,,,,,,
15,MSU Moorhead,D,MSM,1,,2.0,1.0,0.0,10.0,-21.0,Pass,Complete,3.0,,,Complete,Grady Bresnahan,,,,10:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:43,1543,0,7,7,3,3,3,,,,,,,
16,MSU Moorhead,D,MSM,1,,2.0,2.0,2.0,7.0,-24.0,Pass,Incomplete,0.0,,,Incomplete,Ryan Bieberdorf,,,,10:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:42,1542,0,7,7,3,3,3,Ineligible Downfield on Pass,MSM,,,,,
17,MSU Moorhead,,MSM,1,,,,3.0,7.0,-24.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:07,1507,0,7,7,3,3,3,False Start,MSM,Keenan Schissel,,,,5.0
18,MSU Moorhead,D,MSM,1,,2.0,3.0,3.0,12.0,-19.0,Pass,Complete,41.0,,,Complete,Trent Marquart,,,,10:02,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:07,1507,0,7,7,3,3,3,,,,,,,
19,MSU Moorhead,D,MSM,1,,2.0,4.0,1.0,10.0,40.0,Pass,Incomplete,0.0,,,Incomplete,Grady Bresnahan,,,,09:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:02,1502,0,7,7,3,3,3,,,,,,,
20,MSU Moorhead,D,MSM,1,,2.0,5.0,2.0,10.0,40.0,Pass,Complete,40.0,,,Complete,Ryan Bieberdorf,,,,09:30,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,09:33,1473,0,7,7,3,3,3,,,,,,,
21,MSU Moorhead,K,MSM,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garret Meehl,,,Good,,,,,,,,,09:30,1470,6,7,1,3,3,3,,,,,,,
22,MSU Moorhead,K,MSM,1,,,,1.0,10.0,-35.0,KO Ret,Return,,,,,,,,,Jake Bettcher,,,,,,,Braiden Petersen,18,39.0,Garret Meehl,44.0,21.0,Return,,,,,,,,,,,,,,,,,,,09:30,1470,7,7,0,3,3,3,,,,,,,
23,MSU Moorhead,O,AUG,1,,2.0,1.0,0.0,10.0,-39.0,Run,Rush,4.0,,,,,,,,09:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:20,1460,7,7,0,3,3,3,,,,,,,
24,MSU Moorhead,O,AUG,1,,2.0,2.0,2.0,6.0,-43.0,Pass,Incomplete,0.0,,,Incomplete,Devon Jones,,,,08:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:18,1458,7,7,0,3,3,3,,,,,,,
