PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Upper Iowa,K,UIU,1,,,,,,,KO Ret,Return,,,,,,,,,Tyler Owen,,,,,,,Tate Johnson,25,32.0,Fabien Guillen,58.0,7.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Upper Iowa,O,AUG,1,,1.0,1.0,0.0,10.0,-32.0,Pass,Complete,68.0,,Kyle Saddler,Complete,Sean Engel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,14:55,1795,0,0,0,3,3,3,,,,,,,
3,Upper Iowa,K,AUG,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ben Limburg,,,Good,,,,,,,,,14:46,1786,6,0,6,3,3,3,,,,,,,
4,Upper Iowa,K,AUG,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,Seth Baker,,,,,,,Xavier Saldana,15,22.0,Ben Limburg,58.0,7.0,Return,,,,,,,,,,,,,,,,,,,14:46,1786,7,0,7,3,3,3,,,,,,,
5,Upper Iowa,D,UIU,1,,1.0,1.0,0.0,5.0,-27.0,Run,Rush,8.0,Willy Camacho,,,,,,,T.J Liggett,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:42,1782,0,7,7,3,3,3,,,,,,,
6,Upper Iowa,D,UIU,1,,1.0,2.0,1.0,10.0,-35.0,Pass,Complete,26.0,,Zach Reader,Complete,Alexander Stevens,,,,Sydney Capers,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:42,1782,0,7,7,3,3,3,,,,,,,
7,Upper Iowa,D,UIU,1,,1.0,3.0,1.0,10.0,39.0,Pass,Complete,10.0,,Zach Reader,Complete,Lane Canny,,,,Peyton Buckley,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:42,1782,0,7,7,3,3,3,,,,,,,
8,Upper Iowa,D,UIU,1,,1.0,4.0,1.0,10.0,29.0,Run,Rush,-4.0,Willy Camacho,,,,,,,Haden Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:42,1782,0,7,7,3,3,3,,,,,,,
9,Upper Iowa,D,UIU,1,,1.0,5.0,2.0,14.0,33.0,Pass,Incomplete,0.0,,Zach Reader,Incomplete,DJ Emsweller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:42,1782,0,7,7,3,3,3,,,,,,,
10,Upper Iowa,,UIU,1,,,,3.0,14.0,33.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:42,1782,0,7,7,3,3,3,False Start,UIU,Zach Reader,,,,5.0
