PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Minn. Duluth,K,AUG,1,,,,,,,KO,Return,,,,,,,,,Anthony Tews,,,,,,,Michael Kirkendoll,29,35.0,Ben Limburg,59.0,6.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Minn. Duluth,D,UMD,1,,1.0,1.0,0.0,10.0,-35.0,Run,Rush,6.0,Wade Sullivan,,,,,,,Eli Weber,T.J Liggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
3,Minn. Duluth,D,UMD,1,,1.0,2.0,2.0,4.0,-41.0,Run,Rush,3.0,Garrett Olson,,,,,,,Haden Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
4,Minn. Duluth,D,UMD,1,,1.0,3.0,3.0,1.0,-44.0,Run,Rush,2.0,Garrett Olson,,,,,,,Logan Swanson,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
5,Minn. Duluth,D,UMD,1,,1.0,4.0,1.0,10.0,-46.0,Pass,Complete,19.0,,Garrett Olson,Complete,Wade Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
6,Minn. Duluth,D,UMD,1,,1.0,5.0,1.0,10.0,35.0,Run,Rush,6.0,Wade Sullivan,,,,,,,T.J Liggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
7,Minn. Duluth,D,UMD,1,,1.0,6.0,2.0,4.0,29.0,Run,Rush,10.0,Wade Sullivan,,,,,,,Peyton Buckley,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
8,Minn. Duluth,D,UMD,1,,1.0,7.0,1.0,10.0,19.0,Run,Rush,1.0,Wade Sullivan,,,,,,,Haden Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
9,Minn. Duluth,D,UMD,1,,1.0,8.0,2.0,9.0,18.0,Pass,Complete,17.0,,Garrett Olson,Complete,Armani Carmickle,,,,Peyton Buckley,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
10,Minn. Duluth,D,UMD,1,,1.0,9.0,1.0,1.0,1.0,Run,Rush,-4.0,Wade Sullivan,,,,,,,Grayson Diepenbrock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
