PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Augustana (IL),K,AUGIE,1,,,,,,,KO Rec,Return,,,,,,,,,Jacob Brooks,,,,,,,,21,28.0,Sidney Maroon,58.0,7.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Augustana (IL),O,WHEATON,1,,1.0,1.0,0.0,10.0,-28.0,Run,Rush,1.0,,,,,,,,Cole Romano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Augustana (IL),O,WHEATON,1,,1.0,2.0,2.0,9.0,-29.0,Pass,Complete,12.0,,Luke Anthony,Complete,,,,,Nick Harper,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Augustana (IL),O,WHEATON,1,,1.0,3.0,1.0,10.0,-41.0,Run,Rush,10.0,,,,,,,,Dako Straight,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,offside defense,AUGIE,,,,,
5,Augustana (IL),O,WHEATON,1,,1.0,4.0,1.0,10.0,49.0,Run,Rush,2.0,,,,,,,,,,True,,,AUGIE,,,,47.0,,,,,,,,,,,,,,,,,,,,,,Fumble,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Augustana (IL),D,AUGIE,1,,1.0,1.0,0.0,10.0,-47.0,Run,Rush,0.0,Jacob Brooks,,,,,,,Ryan Schwartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:36,1716,0,0,0,3,3,3,,,,,,,
7,Augustana (IL),D,AUGIE,1,,1.0,2.0,2.0,10.0,-47.0,Pass,Complete,7.0,,Jason Grimes,Complete,,,,,Herber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:36,1716,0,0,0,3,3,3,,,,,,,
8,Augustana (IL),D,AUGIE,1,,1.0,3.0,3.0,3.0,46.0,Pass,Incomplete,0.0,,Jason Grimes,Incomplete,Craig Shelton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:36,1716,0,0,0,3,3,3,,,,,,,
9,Augustana (IL),K,AUGIE,1,,,,4.0,3.0,46.0,Punt Rec,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,Justin Wehr,27.0,19.0,Out of bounds,,,,,,,,,,,,,,13:36,1716,0,0,0,3,3,3,,,,,,,
10,Augustana (IL),O,WHEATON,1,,2.0,1.0,0.0,10.0,-19.0,Pass,Incomplete,0.0,,Luke Anthony,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:27,1647,0,0,0,3,3,3,,,,,,,
