PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Wheaton (IL),K,WHEATON,1,,,,,,,KO Rec,,,,,,,,,,,,,,,,,,,,,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Wheaton (IL),O,AU-T,1,,1.0,1.0,0.0,10.0,25.0,Pass,Complete,5.0,,,Complete,C Jewell,,,,Egbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Wheaton (IL),O,AU-T,1,,1.0,2.0,2.0,5.0,30.0,Pass,Complete,11.0,,,Complete,B Harner,,,,Shaffley,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Wheaton (IL),O,AU-T,1,,1.0,3.0,1.0,10.0,41.0,Run,Rush,-2.0,,,,,,,,Holaday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Wheaton (IL),O,AU-T,1,,1.0,4.0,2.0,12.0,39.0,Pass,Incomplete,0.0,,,Incomplete,C Jewell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Wheaton (IL),O,AU-T,1,,1.0,5.0,3.0,12.0,39.0,Run,Rush,4.0,,,,,,,,W. Lee,Ryan Schwartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Wheaton (IL),K,AU-T,1,,,,4.0,8.0,43.0,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,G Zimbelman,19.0,38.0,Fair Catch,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Wheaton (IL),D,WHEATON,1,,1.0,1.0,0.0,10.0,-38.0,Run,Rush,1.0,,,,,,,,C. Bower,M. Romious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:07,1687,0,0,0,3,3,3,,,,,,,
9,Wheaton (IL),D,WHEATON,1,,1.0,2.0,2.0,9.0,-39.0,Run,Rush,17.0,,,,,,,,E. Ramirez,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:07,1687,0,0,0,3,3,3,,,,,,,
10,Wheaton (IL),D,WHEATON,1,,1.0,3.0,1.0,10.0,44.0,Pass,Incomplete,0.0,,Luke Anthony,Incomplete,Matthew Tucker,,,,M. Piasecki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:07,1687,0,0,0,3,3,3,,,,,,,
