PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Belhaven,K,ACK,1,,,,,,,KO,Return,,,,,,,,,Sean Verdun,,,,,,,,14,16.0,John Aldridge,63.0,2.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Belhaven,D,BEL,1,,1.0,1.0,0.0,10.0,-16.0,Run,Rush,-4.0,Mayowa rush Asagunla,,,,,,,Max Walstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
3,Belhaven,D,BEL,1,,1.0,2.0,2.0,14.0,-12.0,Pass,Incomplete,0.0,,Mayowa pass Asagunla,Incomplete,Jeremy PENALTY Batten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,14:55,1795,0,0,0,3,3,3,Targeting,ACK,Grady Harper,,,,15.0
4,Belhaven,D,BEL,1,,1.0,3.0,1.0,10.0,-27.0,Pass,Incomplete,0.0,,Mayowa pass Asagunla,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
5,Belhaven,D,BEL,1,,1.0,4.0,2.0,10.0,-27.0,Run,Rush,2.0,Brad rush Foley,,,,,,,Talon Ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
6,Belhaven,D,BEL,1,,1.0,5.0,3.0,8.0,-29.0,Pass,Incomplete,0.0,,Mayowa pass Asagunla,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:55,1795,0,0,0,3,3,3,,,,,,,
7,Belhaven,K,BEL,1,,,,4.0,8.0,-29.0,Punt Ret,Return,,,,,,,,,Kody McCraney,Ras Pace,,,,,,Seth Kerstetter,3,39.0,,,,,,Andrew punt Norton,35.0,36.0,Return,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
8,Belhaven,O,ACK,1,,1.0,1.0,0.0,10.0,-39.0,Pass,Complete,0.0,,Tyler James,Complete,Xavier Maxwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:02,1682,0,0,0,3,3,3,Offside,BEL,,,,,
9,Belhaven,O,ACK,1,,1.0,2.0,1.0,10.0,-39.0,Run,Rush,11.0,Devon Rideaux,,,,,,,Demetrius Brokenberry,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:02,1682,0,0,0,3,3,3,,,,,,,
10,Belhaven,O,ACK,1,,1.0,3.0,1.0,10.0,-50.0,Run,Rush,0.0,Aaron Rideaux,,,,,,,Justin Percy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:02,1682,0,0,0,3,3,3,,,,,,,
