PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Rockford University,K,BC,1,,,,,,,,KO,Return,,,,,,,,,,,,Ethan Flores,,,,,,,,22,30.0,,57.0,8.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Rockford University,D,RU,1,,1.0,1.0,0.0,10.0,-30.0,Gold Zone,Pass,Complete,7.0,,,,,,Complete,,,,,Chri Croft Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Rockford University,D,RU,1,,1.0,2.0,2.0,3.0,-37.0,Gold Zone,Pass,Complete,3.0,,,,,,Complete,,,,,,,True,,Ethan Flores,BC,Eli Allen,,,-42.0,,,,,,,,,,,,,,,,,,,,,,Fumble,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Rockford University,O,BC,1,,1.0,1.0,0.0,10.0,42.0,Go Zone,Run,Rush,1.0,Drake Marquez,,,,,,,,,,Dallas Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:26,1766,0,0,0,3,3,3,,,,,,,
5,Rockford University,O,BC,1,,1.0,2.0,2.0,9.0,41.0,Go Zone,Run,Rush,7.0,Drake Marquez,,,,,,,,,,C Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:26,1766,0,0,0,3,3,3,,,,,,,
6,Rockford University,O,BC,1,,1.0,3.0,3.0,2.0,34.0,Take A Shot,Pass,Incomplete,0.0,,,Jacob Shafer,,,Incomplete,Jeto-Riv Sanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:26,1766,0,0,0,3,3,3,,,,,,,
7,Rockford University,O,BC,1,,1.0,4.0,4.0,2.0,34.0,Take A Shot,Pass,Complete,5.0,,,Jacob Shafer,,,Complete,Drake Marquez,,,,Edward Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:26,1766,0,0,0,3,3,3,,,,,,,
8,Rockford University,O,BC,1,,1.0,5.0,1.0,10.0,29.0,Take A Shot,Pass,Complete,3.0,,,Jacob Shafer,,,Complete,Jose Guillen,,,,Edward Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:26,1766,0,0,0,3,3,3,,,,,,,
9,Rockford University,O,BC,1,,1.0,6.0,2.0,7.0,26.0,Take A Shot,Pass,Incomplete,0.0,,,Jacob Shafer,,,Incomplete,Jose Guillen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:26,1766,0,0,0,3,3,3,,,,,,,
10,Rockford University,O,BC,1,,1.0,7.0,3.0,7.0,26.0,Take A Shot,Pass,Incomplete,0.0,,,Jacob Shafer,,,Incomplete,Jose Guillen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:26,1766,0,0,0,3,3,3,,,,,,,
11,Rockford University,O,BC,1,,1.0,8.0,4.0,7.0,26.0,Take A Shot,Pass,Incomplete,0.0,,,Jacob Shafer,,,Incomplete,Brady Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,14:26,1766,0,0,0,3,3,3,,,,,,,
12,Rockford University,D,RU,1,,2.0,1.0,0.0,10.0,-26.0,Gold Zone,Pass,Complete,0.0,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:37,1597,0,0,0,3,3,3,,,,,,,
13,Rockford University,D,RU,1,,2.0,2.0,2.0,10.0,-26.0,Gold Zone,Pass,Complete,19.0,,,,,,Complete,,,,,EK Davis,Chri Croft Jr.,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:37,1597,0,0,0,3,3,3,,,,,,,
14,Rockford University,D,RU,1,,2.0,3.0,1.0,10.0,-45.0,Go Zone,Pass,Complete,3.0,,,,,,Complete,,,,,Ethan Flores,Gavin Thorpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:37,1597,0,0,0,3,3,3,,,,,,,
15,Rockford University,D,RU,1,,2.0,4.0,2.0,7.0,-48.0,Go Zone,Pass,Complete,7.0,,,,,,Complete,,,,,Gavin Thorpe,Ethan Flores,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:37,1597,0,0,0,3,3,3,,,,,,,
16,Rockford University,D,RU,1,,2.0,5.0,1.0,10.0,45.0,Go Zone,Pass,Complete,5.0,,,,,,Complete,,,,,D Thornton Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:37,1597,0,0,0,3,3,3,,,,,,,
17,Rockford University,D,RU,1,,2.0,6.0,2.0,5.0,40.0,Go Zone,Pass,Complete,27.0,,,,,,Complete,,,,,Quentin Schane,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:37,1597,0,0,0,3,3,3,,,,,,,
18,Rockford University,,RU,1,,,,1.0,10.0,13.0,Red Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:37,1597,0,0,0,3,3,3,false start,RU,,,,,5.0
19,Rockford University,D,RU,1,,2.0,7.0,1.0,15.0,18.0,Red Zone High,Run,Rush,-5.0,,,,,,,,,,,,,True,,,RU,,,,,,,,,,,,,,,,,,,,,,,,,,,11:37,1597,0,0,0,3,3,3,,,,,,,
20,Rockford University,D,RU,1,,2.0,8.0,2.0,25.0,28.0,Take A Shot,Pass,Complete,12.0,,,,,,Complete,,,,,Quentin Schane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:37,1597,0,0,0,3,3,3,,,,,,,
21,Rockford University,D,RU,1,,2.0,9.0,3.0,13.0,16.0,Red Zone High,Pass,Complete,16.0,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,11:37,1597,0,0,0,3,3,3,,,,,,,
22,Rockford University,,RU,1,,,,1.0,3.0,3.0,Red Zone Low,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockford University,,,,,,,08:17,1397,6,0,-6,3,3,3,,,,,,,
23,Rockford University,K,RU,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaden Finnestad,,,Good,,,,,,,,,08:17,1397,6,0,-6,3,2,3,,,,,,,
24,Rockford University,K,RU,1,,,,1.0,-35.0,-35.0,Gold Zone,KO Rec,Return,,,,,,,,,,,,,,,,,,,AJ Fitzpatrick,0,22.0,Kaden Finnestad,43.0,22.0,Return,,,,,,,,,,,,,,,,,,,08:17,1397,7,0,-7,3,2,3,,,,,,,
25,Rockford University,O,BC,1,,2.0,1.0,0.0,10.0,-22.0,Coming Out,Run,Rush,4.0,Bryan Casado,,,,,,,,,,G McGregor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:15,1395,0,7,-7,3,3,2,,,,,,,
26,Rockford University,O,BC,1,,2.0,2.0,2.0,6.0,-26.0,Gold Zone,Pass,Complete,2.0,,,Jacob Shafer,,,Complete,Jose Guillen,,,,Dallas Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:15,1395,0,7,-7,3,3,2,,,,,,,
27,Rockford University,,BC,1,,,,3.0,4.0,-28.0,Gold Zone,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beloit College,,,,,,,08:15,1395,0,7,-7,3,3,2,,,,,,,
28,Rockford University,O,BC,1,,2.0,3.0,3.0,4.0,-28.0,Gold Zone,Pass,Complete,20.0,,,Jacob Shafer,,,Complete,AJ Fitzpatrick,,,,Dallas Brown,G McGregor,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:55,1315,0,7,-7,2,2,2,,,,,,,
29,Rockford University,O,BC,1,,2.0,4.0,1.0,10.0,-48.0,Go Zone,Run,Rush,0.0,Drake Marquez,,,,,,,,,,Will Havens,C Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:55,1315,0,7,-7,2,2,2,,,,,,,
30,Rockford University,O,BC,1,,2.0,5.0,2.0,10.0,-48.0,Go Zone,Pass,Sack,-8.0,,,Jacob Shafer,,,Sack,,,,,Will Havens,,True,Jacob Shafer,,BC,Drake Marquez,,,,,,,,,,,,,,,,,,,,,,,,,,06:55,1315,0,7,-7,2,2,2,,,,,,,
31,Rockford University,O,BC,1,,2.0,6.0,3.0,16.0,-42.0,Gold Zone,Pass,Complete,12.0,,,Jacob Shafer,,,Complete,Jeto-Riv Sanon,,,,Amari Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,06:55,1315,0,7,-7,2,2,2,,,,,,,
32,Rockford University,K,BC,1,,,,4.0,4.0,46.0,Go Zone,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alons Casillas,41.0,5.0,,,,,,,,,,,,,,,06:55,1315,0,7,-7,2,2,2,,,,,,,
33,Rockford University,D,RU,1,,3.0,1.0,0.0,10.0,-5.0,Backed Up,Pass,Complete,9.0,,,,,,Complete,,,,,EK Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:34,1174,7,0,-7,2,2,2,,,,,,,
34,Rockford University,D,RU,1,,3.0,2.0,2.0,1.0,-14.0,Coming Out,Pass,Complete,0.0,,,,,,Complete,,,,,Gavin Thorpe,Aiden Diehl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:34,1174,7,0,-7,2,2,2,,,,,,,
35,Rockford University,,RU,1,,,,3.0,1.0,-14.0,Coming Out,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:34,1174,7,0,-7,2,2,2,offside defense,BC,,,,,5.0
36,Rockford University,D,RU,1,,3.0,3.0,1.0,10.0,-19.0,Coming Out,Run,Rush,5.0,,,,,,,,,,,EK Davis,Chri Croft Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:34,1174,7,0,-7,2,2,2,,,,,,,
37,Rockford University,D,RU,1,,3.0,4.0,2.0,5.0,-24.0,Coming Out,Pass,Complete,15.0,,,,,,Complete,,,,,Ethan Flores,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,04:34,1174,7,0,-7,2,2,2,,,,,,,
38,Rockford University,D,RU,1,,3.0,5.0,1.0,10.0,-39.0,Gold Zone,Pass,Complete,26.0,,,,,,Complete,,,,,D Thornton Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,04:34,1174,7,0,-7,2,2,2,,,,,,,
39,Rockford University,D,RU,1,,3.0,6.0,1.0,10.0,35.0,Take A Shot,Pass,Complete,35.0,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,04:34,1174,7,0,-7,2,2,2,,,,,,,
40,Rockford University,K,RU,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,02:22,1042,13,0,-13,2,2,2,,,,,,,
41,Rockford University,K,RU,1,,,,1.0,-35.0,-35.0,Gold Zone,KO Rec,Return,,,,,,,,,,,,Edward Johnson,,,,,,,Gavin Thorpe,14,39.0,Kaden Finnestad,40.0,25.0,Return,,,,,,,,,,,,,,,,,,,3:30,1110,14,0,-14,2,2,2,,,,,,,
42,Rockford University,O,BC,1,,3.0,1.0,0.0,10.0,-39.0,Gold Zone,Run,Rush,6.0,Drake Marquez,,,,,,,,,,Will Havens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:22,1042,0,14,-14,2,2,2,,,,,,,
43,Rockford University,O,BC,1,,3.0,2.0,2.0,4.0,-45.0,Go Zone,Run,Rush,5.0,Drake Marquez,,,,,,,,,,C Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,02:22,1042,0,14,-14,2,2,2,,,,,,,
44,Rockford University,O,BC,1,,3.0,3.0,1.0,10.0,-50.0,Go Zone,Run,Rush,-1.0,Kaleb Elder,,,,,,,,,,Will Havens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:22,1042,0,14,-14,2,2,2,,,,,,,
45,Rockford University,O,BC,1,,3.0,4.0,2.0,11.0,-49.0,Go Zone,Pass,Complete,4.0,,,Jacob Shafer,,,Complete,Stan Hyppolite,,,,Will Havens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:22,1042,0,14,-14,2,2,2,,,,,,,
46,Rockford University,O,BC,2,,3.0,5.0,3.0,7.0,47.0,Go Zone,Pass,Incomplete,0.0,,,Jacob Shafer,,,Incomplete,Jeto-Riv Sanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,15:00,900,0,14,-14,2,2,2,roughing passer,RU,,,,,15.0
47,Rockford University,O,BC,2,,3.0,6.0,1.0,10.0,32.0,Take A Shot,Run,Rush,-2.0,Drake Marquez,,,,,,,,,,Will Havens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,14,-14,2,2,2,,,,,,,
48,Rockford University,O,BC,2,,3.0,7.0,2.0,12.0,34.0,Take A Shot,Run,Rush,23.0,Drake Marquez,,,,,,,,,,G McGregor,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,900,0,14,-14,2,2,2,,,,,,,
49,Rockford University,O,BC,2,,3.0,8.0,1.0,10.0,11.0,Red Zone,Run,Rush,1.0,Kaleb Elder,,,,,,,,,,Miguel Delvalle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,14,-14,2,2,2,,,,,,,
50,Rockford University,O,BC,2,,3.0,9.0,2.0,9.0,10.0,Red Zone,Pass,Complete,6.0,,,Jacob Shafer,,,Complete,Coope Larrabee,,,,Ethan Schmitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,14,-14,2,2,2,,,,,,,
51,Rockford University,O,BC,2,,3.0,10.0,3.0,3.0,4.0,Red Zone Low,Run,Rush,4.0,Drake Marquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,15:00,900,0,14,-14,2,2,2,,,,,,,
52,Rockford University,K,BC,2,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,12:09,729,6,14,-8,2,2,2,,,,,,,
53,Rockford University,K,BC,2,,,,1.0,-35.0,-35.0,Gold Zone,KO,Return,,,,,,,,,,,,Ethan Flores,,,,,,,,12,26.0,,51.0,14.0,Return,,,,,,,,,,,,,,,,,,,12:09,729,7,14,-7,2,2,2,,,,,,,
54,Rockford University,D,RU,2,,4.0,1.0,0.0,10.0,-26.0,Gold Zone,Run,Rush,-1.0,,,,,,,,,,,EK Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:09,729,14,7,-7,2,2,2,,,,,,,
55,Rockford University,D,RU,2,,4.0,2.0,2.0,11.0,-25.0,Coming Out,Pass,Complete,3.0,,,,,,Complete,,,,,D Thornton Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:09,729,14,7,-7,2,2,2,,,,,,,
56,Rockford University,D,RU,2,,4.0,3.0,3.0,14.0,-22.0,Coming Out,Pass,Complete,78.0,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,12:09,729,14,7,-7,2,2,2,,,,,,,
57,Rockford University,K,RU,2,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaden Finnestad,,,Good,,,,,,,,,10:35,635,20,7,-13,2,2,2,,,,,,,
58,Rockford University,K,RU,2,,,,1.0,-35.0,-35.0,Gold Zone,KO Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,Kaden Finnestad,32.0,33.0,Fair Catch,,,,,,,,,,,,,,,,,,,10:35,635,21,7,-14,2,2,2,,,,,,,
59,Rockford University,O,BC,2,,4.0,1.0,0.0,10.0,-33.0,Gold Zone,Run,Rush,15.0,Drake Marquez,,,,,,,,,,Jacob Peachey,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:35,635,7,21,-14,2,2,2,,,,,,,
60,Rockford University,O,BC,2,,4.0,2.0,1.0,10.0,-48.0,Go Zone,Pass,Incomplete,0.0,,,Jacob Shafer,,,Incomplete,Jeto-Riv Sanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:35,635,7,21,-14,2,2,2,,,,,,,
61,Rockford University,O,BC,2,,4.0,3.0,2.0,10.0,-48.0,Go Zone,Run,Rush,2.0,Drake Marquez,,,,,,,,,,Amari Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:35,635,7,21,-14,2,2,2,,,,,,,
62,Rockford University,O,BC,2,,4.0,4.0,3.0,8.0,-50.0,Go Zone,Pass,Incomplete,0.0,,,Jacob Shafer,,,Incomplete,AJ Fitzpatrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:35,635,7,21,-14,2,2,2,,,,,,,
63,Rockford University,K,BC,2,,,,4.0,8.0,-50.0,Go Zone,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alons Casillas,23.0,27.0,,,,,,,,,,,,,,,10:35,635,7,21,-14,2,2,2,,,,,,,
64,Rockford University,D,RU,2,,5.0,1.0,0.0,10.0,-27.0,Gold Zone,Run,Rush,2.0,,,,,,,,,,,Chri Croft Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:58,538,21,7,-14,2,2,2,,,,,,,
65,Rockford University,D,RU,2,,5.0,2.0,2.0,8.0,-29.0,Gold Zone,Pass,Complete,7.0,,,,,,Complete,,,,,Ethan Flores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:58,538,21,7,-14,2,2,2,,,,,,,
