PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,LaGrange,K,LC,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,,,,,,,,Deiondre Wilson,59,,Alex Rivera,59.0,,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,LaGrange,O,BC,1,,1.0,1.0,0.0,10.0,,,Pass,Incomplete,0.0,,,Gavin Gray,short,right,Incomplete,Deiondre Wilson,Roderick Kirkland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
3,LaGrange,O,BC,1,,1.0,2.0,2.0,10.0,,,Run,Rush,-2.0,Brandon Cade,left,,,,,,,,,Klynell Johnson,Rashad King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
4,LaGrange,,BC,1,,,,3.0,12.0,,,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,5.0
5,LaGrange,O,BC,1,,1.0,3.0,3.0,17.0,,,Pass,Complete,9.0,,,Gavin Gray,short,right,Complete,Brandon Cade,,,,Rashad King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:53,1793,0,0,0,3,3,3,,,,,,,
6,LaGrange,K,BC,1,,,,4.0,8.0,,,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mathew Syverson,54.0,14.0,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
7,LaGrange,D,LC,1,,1.0,1.0,0.0,10.0,,,Run,Rush,0.0,Aubrey Carter,right,,,,,,,,,Elohim Hull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:15,1695,0,0,0,3,3,3,,,,,,,
8,LaGrange,D,LC,1,,1.0,2.0,2.0,10.0,,,Pass,Complete,6.0,,,Shedrick Lindsey,short,middle,Complete,Jaden Smith,,,,Christopher Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:15,1695,0,0,0,3,3,3,,,,,,,
9,LaGrange,D,LC,1,,1.0,3.0,3.0,4.0,,,Pass,Incomplete,0.0,,,Shedrick Lindsey,short,right,Incomplete,LJ Flint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:15,1695,0,0,0,3,3,3,,,,,,,
10,LaGrange,K,LC,1,,,,4.0,4.0,,,Punt Rec,Return,,,,,,,,,,,,Klynell Johnson,,,,,,,Nate Lyons,6,-44.0,,,,,,Brandon Matson,30.0,-50.0,Return,,,,,,,,,,,,,,13:15,1695,0,0,0,3,3,3,,,,,,,
