PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,St. Vincent,K,BLUFFTON,1,,,,,,,KO,,,,,,,,,,,,,,,SVC,on SVC31,,,,Jake Baumgartner,34.0,31.0,,True,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,St. Vincent,D,SVC,1,,1.0,1.0,0.0,10.0,-31.0,Pass,Complete,20.0,,Brady Walker,Complete,Keith Kalp,,,,Stephan Kosakowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,St. Vincent,D,SVC,1,,1.0,2.0,1.0,10.0,49.0,Pass,Incomplete,0.0,,Brady Walker,Incomplete,Keith Kalp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,St. Vincent,D,SVC,1,,1.0,3.0,2.0,10.0,49.0,Run,Rush,-2.0,Julian Howard,,,,,,,Stephan Kosakowski,Keith Holmes Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,St. Vincent,D,SVC,1,,1.0,4.0,3.0,12.0,-49.0,Run,Rush,-4.0,Julian Howard,,,,,,,Latrell Thompkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
6,St. Vincent,K,SVC,1,,,,4.0,16.0,-45.0,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,Kyle Silk,52.0,3.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,St. Vincent,O,BLUFFTON,1,,1.0,1.0,0.0,10.0,-3.0,Run,Rush,3.0,,,,,,,,T. Hedgepeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:44,1664,0,0,0,3,3,3,,,,,,,
8,St. Vincent,O,BLUFFTON,1,,1.0,2.0,2.0,7.0,-6.0,Run,Rush,11.0,Kainan Stoner,,,,,,,Jaden Pratt,Evan Brozenich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:44,1664,0,0,0,3,3,3,,,,,,,
9,St. Vincent,O,BLUFFTON,1,,1.0,3.0,1.0,10.0,-17.0,Pass,Complete,8.0,,Blake Rine,Complete,DeSean Bonte,,,,Jaden Pratt,Jack Poling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:44,1664,0,0,0,3,3,3,,,,,,,
10,St. Vincent,O,BLUFFTON,1,,1.0,4.0,2.0,2.0,-25.0,Run,Rush,-3.0,Kainan Stoner,,,,,,,Jack Poling,Jaden Edmonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:44,1664,0,0,0,3,3,3,,,,,,,
