PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Apprentice,K,BREVARD,1,,,,,,,,KO,Return,,,,,,,,,,,,RJ Everett,,,,,,,Willis Walton,16,27.0,Hugo Taylor,54.0,11.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Apprentice,D,APPRENTI,1,,1.0,1.0,0.0,10.0,-27.0,Gold Zone,Pass,Incomplete,0.0,,,Mason Tatum,,,Incomplete,Kaden Mullins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Apprentice,D,APPRENTI,1,,1.0,2.0,2.0,10.0,-27.0,Gold Zone,Run,Rush,6.0,Lawrence Reed,,,,,,,,,,Luke Dodson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Apprentice,D,APPRENTI,1,,1.0,3.0,3.0,4.0,-33.0,Gold Zone,Run,Rush,3.0,Mason Tatum,,,,,,,,,,Jerome Bass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,face mask,BREVARD,Jaden O'Leary,,,,14.0
5,Apprentice,D,APPRENTI,1,,1.0,4.0,1.0,10.0,-50.0,Go Zone,Run,Rush,0.0,Lawrence Reed,,,,,,,,,,Andrew Bishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Apprentice,D,APPRENTI,1,,1.0,5.0,2.0,10.0,-50.0,Go Zone,Pass,Incomplete,0.0,,,Mason Tatum,,,Incomplete,Christian Walke,,,,Eli Everhart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Apprentice,D,APPRENTI,1,,1.0,6.0,3.0,10.0,-50.0,Go Zone,Pass,Complete,17.0,,,Mason Tatum,,,Complete,Leland Girdy,,,,Kameron Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Apprentice,D,APPRENTI,1,,1.0,7.0,1.0,10.0,33.0,Take A Shot,Run,Rush,3.0,Lawrence Reed,,,,,,,,,,Jerome Bass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Apprentice,D,APPRENTI,1,,1.0,8.0,2.0,7.0,30.0,Take A Shot,Pass,Complete,30.0,,,Mason Tatum,,,Complete,Ricardo Corpus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Apprentice,K,APPRENTI,1,,,,,,,,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeremiah Morgan,,,Good,,,,,,,,,11:22,1582,6,0,-6,3,3,3,,,,,,,
