PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,St. John Fisher,K,BROCK,1,,,,,,,KO,Return,,,,,,,,,Andrew Covais,,,,,,,Taurian Taylor,21,36.0,Nate Wigent,50.0,15.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,St. John Fisher,D,CARDINAL,1,,1.0,1.0,0.0,10.0,-36.0,Run,Rush,-6.0,Dahmir Pross,,,,,,,L. Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,St. John Fisher,D,CARDINAL,1,,1.0,2.0,2.0,16.0,-30.0,Pass,Complete,0.0,,Joseph Torrillo,Complete,Dahmir Pross,,,,Ben Damiani,Ben Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,St. John Fisher,D,CARDINAL,1,,1.0,3.0,3.0,16.0,-30.0,Pass,Incomplete,0.0,,Joseph Torrillo,Incomplete,Johnathan Letta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:54,1794,0,0,0,3,3,3,illegal motion,CARDINAL,,,,,
5,St. John Fisher,K,CARDINAL,1,,,,4.0,16.0,-30.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,Joe Dotterweich,29.0,41.0,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,St. John Fisher,O,BROCK,1,,1.0,1.0,0.0,10.0,-41.0,Run,Rush,5.0,Jala Coad,,,,,,,Ryan Nugent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:39,1719,0,0,0,3,3,3,,,,,,,
7,St. John Fisher,O,BROCK,1,,1.0,2.0,2.0,5.0,-46.0,Run,Rush,5.0,Jala Coad,,,,,,,Vince DiMonte,Ryan Nugent,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:39,1719,0,0,0,3,3,3,,,,,,,
8,St. John Fisher,O,BROCK,1,,1.0,3.0,1.0,10.0,49.0,Pass,Incomplete,0.0,,Jack Cheshire,Incomplete,Alex Benson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:39,1719,0,0,0,3,3,3,,,,,,,
9,St. John Fisher,O,BROCK,1,,1.0,4.0,2.0,10.0,49.0,Run,Rush,4.0,Jala Coad,,,,,,,Jeremy Woodcock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:39,1719,0,0,0,3,3,3,,,,,,,
10,St. John Fisher,O,BROCK,1,,1.0,5.0,3.0,6.0,45.0,Pass,Complete,9.0,,Jack Cheshire,Complete,Imhotep Cromer,,,,Justi Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:39,1719,0,0,0,3,3,3,,,,,,,
