PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Coe,K,COE,1,,,,,,,KO Ret,Return,,,,,,,,,Evan Ellis,,,,,,,Eric Pacheco,34,40.0,Evan Ellis,59.0,6.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Coe,O,BVU,1,,1.0,1.0,0.0,10.0,-40.0,Run,Rush,15.0,Jeremy Woodward,,,,,,,Bridger Aucutt,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
3,Coe,O,BVU,1,,1.0,2.0,1.0,10.0,45.0,Pass,Complete,15.0,,Brandon Kyles,Complete,Colby Laughlin,,,,Trevor Eckols,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
4,Coe,O,BVU,1,,1.0,3.0,1.0,10.0,30.0,Run,Rush,5.0,Brandon Kyles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
5,Coe,O,BVU,1,,1.0,4.0,2.0,5.0,25.0,Run,Rush,10.0,Jeremy Woodward,,,,,,,Bridger Aucutt,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
6,Coe,O,BVU,1,,1.0,5.0,1.0,10.0,15.0,Pass,Incomplete,0.0,,Brandon Kyles,Incomplete,Cody Buresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
7,Coe,O,BVU,1,,1.0,6.0,2.0,10.0,15.0,Run,Rush,9.0,Brandon Kyles,,,,,,,Heath Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
8,Coe,O,BVU,1,,1.0,7.0,3.0,1.0,6.0,Run,Rush,1.0,Jeremy Woodward,,,,,,,Jon Bell,Heath Henderson,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
9,Coe,O,BVU,1,,1.0,8.0,1.0,5.0,5.0,Run,Rush,4.0,Jeremy Woodward,,,,,,,Jon Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
10,Coe,O,BVU,1,,1.0,9.0,2.0,1.0,1.0,Run,Rush,0.0,Jeremy Woodward,,,,,,,Heath Henderson,Cedric Nah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
11,Coe,O,BVU,1,,1.0,10.0,3.0,1.0,1.0,Run,Rush,1.0,Brandon Kyles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,14:53,1793,0,0,0,3,3,3,,,,,,,
12,Coe,K,BVU,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ramon Garcia,,,Good,,,,,,,,,11:43,1603,6,0,6,3,3,3,,,,,,,
13,Coe,K,BVU,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,Trey Ortman,,,,,,,Dominic Shepardson,15,33.0,Brandon Woodland,47.0,18.0,Return,,,,,,,,,,,,,,,,,,,11:43,1603,7,0,7,3,3,3,,,,,,,
14,Coe,,COE,1,,,,1.0,10.0,-33.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:37,1597,0,7,7,3,3,3,UNS: Unsportsmanlike Conduct,BVU,Chris Chedester,,,,15.0
15,Coe,D,COE,1,,1.0,1.0,0.0,10.0,-48.0,Run,Rush,-10.0,Nick Casey,,,,,,,,,True,Nick Casey,,COE,Nick Casey,,,,,,,,,,,,,,,,,,,,,,,,,,11:37,1597,0,7,7,3,3,3,,,,,,,
16,Coe,D,COE,1,,1.0,2.0,2.0,20.0,-38.0,Pass,Complete,15.0,,Nick Casey,Complete,Amel Saric,,,,Tanner Frost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:37,1597,0,7,7,3,3,3,,,,,,,
17,Coe,D,COE,1,,1.0,3.0,3.0,5.0,47.0,Pass,Incomplete,0.0,,Nick Casey,Incomplete,Amel Saric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,11:37,1597,0,7,7,3,3,3,Offside,BVU,Nate Pedersen,,,,5.0
18,Coe,D,COE,1,,1.0,4.0,1.0,10.0,42.0,Run,Rush,4.0,Ray Seidel,,,,,,,Mason Wickett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:37,1597,0,7,7,3,3,3,,,,,,,
19,Coe,D,COE,1,,1.0,5.0,2.0,6.0,38.0,Run,Rush,0.0,Ray Seidel,,,,,,,Tanner Frost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:37,1597,0,7,7,3,3,3,,,,,,,
20,Coe,D,COE,1,,1.0,6.0,3.0,6.0,38.0,Pass,Incomplete,0.0,,Nick Casey,Incomplete,Tre Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:37,1597,0,7,7,3,3,3,,,,,,,
21,Coe,K,COE,1,,,,4.0,6.0,38.0,Punt Ret,Return,,,,,,,,,,,,,,,,Eric Pacheco,10,24.0,,,,,,Evan Ellis,24.0,14.0,Return,,,,,,,,,,,,,,11:37,1597,0,7,7,3,3,3,,,,,,,
22,Coe,O,BVU,1,,2.0,1.0,0.0,10.0,-24.0,Pass,Incomplete,0.0,,Brandon Kyles,Incomplete,Colby Laughlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:09,1449,7,0,7,3,3,3,,,,,,,
23,Coe,O,BVU,1,,2.0,2.0,2.0,10.0,-24.0,Pass,Complete,19.0,,Brandon Kyles,Complete,Colby Laughlin,,,,Anthony Bullard,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,09:09,1449,7,0,7,3,3,3,Pass Interference,BVU,,,,,12.0
24,Coe,O,BVU,1,,2.0,3.0,2.0,22.0,-12.0,Pass,Complete,5.0,,Brandon Kyles,Complete,Colby Laughlin,,,,Manny Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:09,1449,7,0,7,3,3,3,,,,,,,
25,Coe,O,BVU,1,,2.0,4.0,3.0,17.0,-17.0,Run,Rush,1.0,Jeremy Woodward,,,,,,,Jay Oostendorp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,09:09,1449,7,0,7,3,3,3,,,,,,,
26,Coe,K,BVU,1,,,,4.0,16.0,-18.0,Punt,Blocked,,,,,,,,,,,,,,,,,,,,,,,,Brandon Woodland,32.0,-50.0,Blocked,Trey Holub,,,,,,,,,,,,,09:09,1449,7,0,7,3,3,3,,,,,,,
27,Coe,D,COE,1,,2.0,1.0,0.0,10.0,50.0,Pass,Complete,3.0,,Nick Casey,Complete,Ray Seidel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,07:32,1352,0,7,7,3,3,3,Illegal Formation,COE,,,,,5.0
28,Coe,D,COE,1,,2.0,2.0,1.0,15.0,-45.0,Pass,Incomplete,0.0,,Nick Casey,Incomplete,Dominic Shepardson,Brandon Lance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:32,1352,0,7,7,3,3,3,,,,,,,
29,Coe,D,COE,1,,2.0,3.0,2.0,15.0,-45.0,Run,Rush,2.0,Ray Seidel,,,,,,,Nate Pedersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:32,1352,0,7,7,3,3,3,,,,,,,
30,Coe,D,COE,1,,2.0,4.0,3.0,13.0,-47.0,Pass,Interception,0.0,,Nick Casey,Interception,,,Brandon Lance,,Nick Casey,,,,,,,Brandon Lance,47,50.0,,,,,,,,,,,,,,,,,,,,,,Interception,07:32,1352,0,7,7,3,3,3,,,,,,,
31,Coe,O,BVU,1,,3.0,1.0,0.0,3.0,3.0,Run,Rush,-3.0,Jeremy Woodward,,,,,,,Manny Lopez,Jay Oostendorp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:14,1274,7,0,7,3,3,3,,,,,,,
32,Coe,O,BVU,1,,3.0,2.0,2.0,6.0,6.0,Pass,Complete,6.0,,Brandon Kyles,Complete,Colby Laughlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,06:14,1274,7,0,7,3,3,3,,,,,,,
33,Coe,K,BVU,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ramon Garcia,,,Good,,,,,,,,,05:38,1238,13,0,13,3,3,3,,,,,,,
34,Coe,K,BVU,1,,,,1.0,10.0,-35.0,KO,Touchback,,,,,,,,,,,,,,,,,,,Brandon Woodland,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,05:38,1238,14,0,14,3,3,3,,,,,,,
35,Coe,,COE,1,,,,1.0,10.0,-25.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:38,1238,0,14,14,3,3,3,Delay Of Game ,COE,,,,,5.0
36,Coe,D,COE,1,,3.0,1.0,0.0,15.0,-20.0,Pass,Complete,7.0,,Nick Casey,Complete,Dominic Shepardson,,,,Derien Beauregard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:38,1238,0,14,14,3,3,3,,,,,,,
