PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Southwestern (Texas),K,CLU,1,,,,,,,KO,Return,,,,,,,,,Jackson White,Reid Huseman,,,,,,,10,19.0,,56.0,9.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Southwestern (Texas),D,STW,1,,1.0,1.0,0.0,10.0,-19.0,Run,Rush,5.0,Landry rush Gilpin,,,,,,,Keshaun Charles,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:40,1780,0,0,0,3,3,3,Personal Foul,CLU,Connor McDermott,,,,15.0
3,Southwestern (Texas),D,STW,1,,1.0,2.0,1.0,10.0,-39.0,Run,Rush,1.0,Jaquon rush Marion,,,,,,,Connor McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:40,1780,0,0,0,3,3,3,,,,,,,
4,Southwestern (Texas),D,STW,1,,1.0,3.0,2.0,9.0,-40.0,Pass,Complete,2.0,,Landry pass Gilpin,Complete,Austin for Castilleja,,,,Matt Flynn,JD Lang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:40,1780,0,0,0,3,3,3,,,,,,,
5,Southwestern (Texas),D,STW,1,,1.0,4.0,3.0,7.0,-42.0,Run,Rush,15.0,Landry rush Gilpin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:40,1780,0,0,0,3,3,3,,,,,,,
6,Southwestern (Texas),D,STW,1,,1.0,5.0,1.0,10.0,43.0,Pass,Incomplete,0.0,,Landry pass Gilpin,Incomplete,Austin broken Castilleja,Keshaun Charles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:40,1780,0,0,0,3,3,3,,,,,,,
7,Southwestern (Texas),D,STW,1,,1.0,6.0,2.0,10.0,43.0,Run,Rush,-8.0,Adrian rush Garza,,,,,,,Connor McDermott,Maxwell Nazarko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:40,1780,0,0,0,3,3,3,,,,,,,
8,Southwestern (Texas),D,STW,1,,1.0,7.0,3.0,16.0,49.0,Run,Rush,2.0,Jaquon rush Marion,,,,,,,Connor Cobos,Gabriel Hernandez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:40,1780,0,0,0,3,3,3,,,,,,,
9,Southwestern (Texas),K,STW,1,,,,4.0,14.0,47.0,Punt Ret,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Will punt Herbst,44.0,3.0,Fair Catch,,,,,,,,,,,,,,14:40,1780,0,0,0,3,3,3,,,,,,,
10,Southwestern (Texas),O,CLU,1,,1.0,1.0,0.0,10.0,-3.0,Run,Rush,4.0,Jackson Taylor,,,,,,,Bernard Sencherey,Seth McCrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:34,1594,0,0,0,3,3,3,,,,,,,
11,Southwestern (Texas),O,CLU,1,,1.0,2.0,2.0,6.0,-7.0,Pass,Incomplete,0.0,,Nick Lasher,Incomplete,Connor Matzke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:34,1594,0,0,0,3,3,3,,,,,,,
