PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Saint John's (MN),K,CAR,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Trent Ramirez,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Saint John's (MN),D,SJU,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,3.0,Henry Trost,,,,,,,Henry Detmer,Michael Carey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Saint John's (MN),D,SJU,1,,1.0,2.0,2.0,7.0,-28.0,Run,Rush,7.0,Henry Trost,,,,,,,Michael Carey,Isaac Simons,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Saint John's (MN),D,SJU,1,,1.0,3.0,1.0,10.0,-35.0,Run,Rush,1.0,Henry Trost,,,,,,,Isaac Simons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Saint John's (MN),D,SJU,1,,1.0,4.0,2.0,9.0,-36.0,Pass,Complete,10.0,,,Complete,Ravi Alston,,,,Isaac Simons,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Saint John's (MN),D,SJU,1,,1.0,5.0,1.0,10.0,-46.0,Pass,Complete,15.0,,,Complete,Henry Trost,,,,James Bradle,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,face mask,CAR,,,,,15.0
7,Saint John's (MN),D,SJU,1,,1.0,6.0,1.0,10.0,24.0,Run,Rush,3.0,Henry Trost,,,,,,,James Bradle,Luis Miranda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Saint John's (MN),D,SJU,1,,1.0,7.0,2.0,7.0,21.0,Run,Rush,14.0,Chris Backes,,,,,,,Jackson Cleveland,Blake Neithart,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Saint John's (MN),D,SJU,1,,1.0,8.0,1.0,7.0,7.0,Run,Rush,7.0,Henry Trost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Saint John's (MN),K,SJU,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conor Pavelko,,,Good,,,,,,,,,10:56,1556,6,0,-6,3,3,3,,,,,,,
11,Saint John's (MN),K,SJU,1,,,,1.0,-35.0,-35.0,KO Rec,Fair Catch,,,,,,,,,,,,,,,,,,,Conor Pavelko,50.0,15.0,Fair Catch,,,,,,,,,,,,,,,,,,,10:56,1556,7,0,-7,3,3,3,,,,,,,
12,Saint John's (MN),O,CAR,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,0.0,Aiden Chang,,,,,,,Erik Bjork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:56,1556,0,7,-7,3,3,3,,,,,,,
13,Saint John's (MN),O,CAR,1,,1.0,2.0,2.0,10.0,-25.0,Pass,Incomplete,0.0,,Singleton LE,Incomplete,Beau Nelson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:56,1556,0,7,-7,3,3,3,,,,,,,
14,Saint John's (MN),O,CAR,1,,1.0,3.0,3.0,10.0,-25.0,Run,Rush,8.0,Aiden Chang,,,,,,,Ethan Stark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:56,1556,0,7,-7,3,3,3,,,,,,,
15,Saint John's (MN),K,CAR,1,,,,4.0,2.0,-33.0,Punt,Return,,,,,,,,,Noah Eckersley-Ray,,,,,,,Nick VanErp,15,37.0,,,,,,Travis Brown,45.0,22.0,Return,,,,,,,,,,,,,,10:56,1556,0,7,-7,3,3,3,,,,,,,
16,Saint John's (MN),D,SJU,1,,2.0,1.0,0.0,10.0,-37.0,Pass,Complete,63.0,,,Complete,Ravi Alston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,09:06,1446,7,0,-7,3,3,3,"offside defense declined, clock",CAR,,,,,
17,Saint John's (MN),K,SJU,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conor Pavelko,,,Good,,,,,,,,,08:55,1435,13,0,-13,3,3,3,,,,,,,
18,Saint John's (MN),K,SJU,1,,,,1.0,-35.0,-35.0,KO Rec,Return,,,,,,,,,Hayden Sanders,,,,,,,Travis Brown,22,27.0,Conor Pavelko,60.0,5.0,Return,,,,,,,,,,,,,,,,,,,08:55,1435,14,0,-14,3,3,3,,,,,,,
19,Saint John's (MN),O,CAR,1,,2.0,1.0,0.0,10.0,-27.0,Run,Rush,2.0,Aiden Chang,,,,,,,Erik Bjork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:48,1428,0,14,-14,3,3,3,,,,,,,
20,Saint John's (MN),O,CAR,1,,2.0,2.0,2.0,8.0,-29.0,Pass,Incomplete,0.0,,Singleton LE,Incomplete,Beau Nelson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:48,1428,0,14,-14,3,3,3,,,,,,,
