PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Waynesburg,K,CWR,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Joseph Rhodes,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Waynesburg,D,WAY,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,-1.0,Justin Flack,,,,,,,Zach Brown,Sean Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Waynesburg,D,WAY,1,,1.0,2.0,2.0,11.0,-24.0,Run,Rush,-1.0,Justin Flack,,,,,,,Sean Torres,D.J. Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Waynesburg,D,WAY,1,,1.0,3.0,3.0,12.0,-23.0,Pass,Sack,-4.0,,Tyler Raines,Sack,,,,,Kaden Tong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Waynesburg,K,WAY,1,,,,4.0,16.0,-19.0,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,Mason Mangham,25.0,-44.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Waynesburg,,CWR,1,,,,1.0,10.0,44.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Case Western Reserve,,,,,,,12:47,1667,0,0,0,3,3,3,,,,,,,
7,Waynesburg,O,CWR,1,,1.0,1.0,0.0,10.0,44.0,Run,Rush,4.0,Antonio Orsini,,,,,,,Chase Nicomatti,Tom Hanik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:47,1667,0,0,0,2,2,3,,,,,,,
8,Waynesburg,O,CWR,1,,1.0,2.0,2.0,6.0,40.0,Pass,Complete,25.0,,Drew Saxton,Complete,M. Wojkowski,,,,Brandon Tyson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:47,1667,0,0,0,2,2,3,,,,,,,
9,Waynesburg,O,CWR,1,,1.0,3.0,1.0,10.0,15.0,Pass,Complete,3.0,,Drew Saxton,Complete,M. Wojkowski,,,,Luke Menges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:47,1667,0,0,0,2,2,3,,,,,,,
10,Waynesburg,O,CWR,1,,1.0,4.0,2.0,7.0,12.0,Pass,Complete,8.0,,Drew Saxton,Complete,Aidan Cain,,,,Monroe Mohler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:47,1667,0,0,0,2,2,3,,,,,,,
11,Waynesburg,O,CWR,1,,1.0,5.0,1.0,4.0,4.0,Pass,Complete,1.0,,Drew Saxton,Complete,Lucas DeCaro,,,,Brandon Tyson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:47,1667,0,0,0,2,2,3,personal foul,WAY,Brandon Tyson,,,,2.0
12,Waynesburg,O,CWR,1,,1.0,6.0,1.0,1.0,1.0,Run,Rush,1.0,Antonio Orsini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,12:47,1667,0,0,0,2,2,3,,,,,,,
13,Waynesburg,K,CWR,1,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brett Callow,,,Good,,,,,,,,,10:20,1520,6,0,6,2,2,3,,,,,,,
14,Waynesburg,K,CWR,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Joseph Rhodes,65.0,0.0,,,,,,,,,,,,,,,,,,,,10:20,1520,7,0,7,2,2,3,,,,,,,
15,Waynesburg,D,WAY,1,,2.0,1.0,0.0,10.0,-25.0,Pass,Complete,35.0,,Tyler Raines,Complete,D. Romantino,,,,Dominic Sais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:20,1520,0,7,7,2,3,2,,,,,,,
16,Waynesburg,,WAY,1,,,,1.0,10.0,40.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waynesburg,,,,,,,10:20,1520,0,7,7,2,3,2,,,,,,,
17,Waynesburg,D,WAY,1,,2.0,2.0,1.0,10.0,40.0,Pass,Sack,-8.0,,Tyler Raines,Sack,,,,,Nate Cikalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:44,1484,0,7,7,2,2,2,,,,,,,
18,Waynesburg,D,WAY,1,,2.0,3.0,2.0,18.0,48.0,Pass,Incomplete,0.0,,Tyler Raines,Incomplete,Matt Craig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:44,1484,0,7,7,2,2,2,,,,,,,
19,Waynesburg,D,WAY,1,,2.0,4.0,3.0,18.0,48.0,Pass,Sack,-3.0,,Tyler Raines,Sack,,,,,Kaden Tong,,True,Tyler Raines,,WAY,Justin Flack,Justin Flack,14,46.0,,,,,,,,,,,,,,,,,,,,,,,09:44,1484,0,7,7,2,2,2,,,,,,,
20,Waynesburg,D,WAY,1,,2.0,5.0,4.0,2.0,32.0,Run,Rush,3.0,Justin Flack,,,,,,,Sean Torres,Austin Grillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:44,1484,0,7,7,2,2,2,,,,,,,
21,Waynesburg,D,WAY,1,,2.0,6.0,1.0,10.0,29.0,Run,Rush,4.0,Justin Flack,,,,,,,Sean Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:44,1484,0,7,7,2,2,2,,,,,,,
22,Waynesburg,D,WAY,1,,2.0,7.0,2.0,6.0,25.0,Pass,Incomplete,0.0,,Tyler Raines,Incomplete,D. Romantino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:44,1484,0,7,7,2,2,2,,,,,,,
23,Waynesburg,D,WAY,1,,2.0,8.0,3.0,6.0,25.0,Pass,Incomplete,0.0,,Tyler Raines,Incomplete,Matt Craig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:44,1484,0,7,7,2,2,2,,,,,,,
24,Waynesburg,D,WAY,1,,2.0,9.0,4.0,6.0,25.0,Pass,Incomplete,0.0,,Tyler Raines,Incomplete,D. Romantino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,09:44,1484,0,7,7,2,2,2,,,,,,,
25,Waynesburg,O,CWR,1,,2.0,1.0,0.0,10.0,-25.0,Pass,Incomplete,0.0,,Drew Saxton,Incomplete,Dominic Wade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:29,1289,7,0,7,2,2,2,,,,,,,
26,Waynesburg,O,CWR,1,,2.0,2.0,2.0,10.0,-25.0,Pass,Complete,7.0,,Drew Saxton,Complete,Colt Morgan,,,,Brandon Tyson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:29,1289,7,0,7,2,2,2,,,,,,,
27,Waynesburg,O,CWR,1,,2.0,3.0,3.0,3.0,-32.0,Pass,Incomplete,0.0,,Drew Saxton,Incomplete,Lucas DeCaro,,,,Luke Menges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,06:29,1289,7,0,7,2,2,2,,,,,,,
28,Waynesburg,K,CWR,1,,,,4.0,3.0,-32.0,Punt,Return,,,,,,,,,,,True,Nick Hall,,WAY,TEAM,Nick Hall,0,26.0,,,,,,Joseph Rhodes,42.0,26.0,Return,,,,,,,,,,,,,,06:29,1289,7,0,7,2,2,2,,,,,,,
29,Waynesburg,D,WAY,1,,3.0,1.0,0.0,10.0,-29.0,Pass,Complete,5.0,,Tyler Raines,Complete,Trenton Kerns,,,,Austin Grillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:23,1223,0,7,7,2,2,2,,,,,,,
30,Waynesburg,D,WAY,1,,3.0,2.0,2.0,5.0,-34.0,Run,Rush,22.0,Justin Flack,,,,,,,Nate Cikalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:23,1223,0,7,7,2,2,2,,,,,,,
31,Waynesburg,D,WAY,1,,3.0,3.0,1.0,10.0,44.0,Run,Rush,-1.0,Justin Flack,,,,,,,Nate Cikalo,Zach Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:23,1223,0,7,7,2,2,2,,,,,,,
32,Waynesburg,D,WAY,1,,3.0,4.0,2.0,11.0,45.0,Pass,Complete,21.0,,Tyler Raines,Complete,D. Romantino,,,,D.J. Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:23,1223,0,7,7,2,2,2,,,,,,,
33,Waynesburg,D,WAY,1,,3.0,5.0,1.0,10.0,24.0,Run,Rush,-1.0,Justin Flack,,,,,,,Nate Cikalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:23,1223,0,7,7,2,2,2,,,,,,,
34,Waynesburg,D,WAY,1,,3.0,6.0,2.0,11.0,25.0,Pass,Complete,16.0,,Tyler Raines,Complete,Trenton Kerns,,,,D.J. Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:23,1223,0,7,7,2,2,2,,,,,,,
35,Waynesburg,D,WAY,1,,3.0,7.0,1.0,9.0,9.0,Run,Rush,0.0,Justin Flack,,,,,,,Nate Cikalo,Jacob Scheponik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:23,1223,0,7,7,2,2,2,,,,,,,
36,Waynesburg,D,WAY,1,,3.0,8.0,2.0,9.0,9.0,Run,Rush,6.0,Justin Flack,,,,,,,Dominic Sais,Austin Grillo,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,05:23,1223,0,7,7,2,2,2,holding,WAY,Nick Beaton,,,,10.0
37,Waynesburg,D,WAY,1,,3.0,9.0,2.0,19.0,19.0,Run,Rush,1.0,Tyler Raines,,,,,,,Nate Cikalo,Michael Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:23,1223,0,7,7,2,2,2,,,,,,,
38,Waynesburg,D,WAY,2,,3.0,10.0,3.0,18.0,18.0,Pass,Complete,18.0,,Tyler Raines,Complete,Trenton Kerns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,900,0,7,7,2,2,2,,,,,,,
39,Waynesburg,K,WAY,2,,,,,,,Extra Pt. Block,Blocked,,,,,,,,,,,,,,,,Colin Schuster,,,,,,,,,,,,,Keegan Raabe,,,Blocked,,,,,,,,,14:54,894,6,7,1,2,2,2,,,,,,,
40,Waynesburg,K,WAY,2,,,,,,,KO Rec,Return,,,,,,,,,James Davis,J. Ruffing,,,,,,Antonio Orsini,25,31.0,Alex Moore,59.0,6.0,Return,,,,,,,,,,,,,,,,,,,14:54,894,6,7,1,2,2,2,,,,,,,
41,Waynesburg,O,CWR,2,,3.0,1.0,0.0,10.0,-31.0,Pass,Complete,69.0,,Drew Saxton,Complete,Lucas DeCaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,14:45,885,7,6,1,2,2,2,,,,,,,
42,Waynesburg,K,CWR,2,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brett Callow,,,Good,,,,,,,,,14:33,873,13,6,7,2,2,2,,,,,,,
43,Waynesburg,K,CWR,2,,,,,,,KO,Return,,,,,,,,,Zach Brown,Ryan Santoro,,,,,,Isaac Huey,18,37.0,Joseph Rhodes,46.0,19.0,Return,,,,,,,,,,,,,,,,,,,14:33,873,14,6,8,2,2,2,,,,,,,
44,Waynesburg,D,WAY,2,,4.0,1.0,0.0,10.0,-37.0,Run,Rush,0.0,Tyler Raines,,,,,,,Nate Cikalo,Michael Amadio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:26,866,6,14,8,2,2,2,,,,,,,
45,Waynesburg,,WAY,2,,,,2.0,10.0,-37.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:26,866,6,14,8,2,2,2,false start,WAY,Frank Cortazzo,,,,5.0
46,Waynesburg,D,WAY,2,,4.0,2.0,2.0,15.0,-32.0,Pass,Complete,2.0,,Tyler Raines,Complete,Trenton Kerns,,,,Austin Grillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:26,866,6,14,8,2,2,2,,,,,,,
47,Waynesburg,D,WAY,2,,4.0,3.0,3.0,17.0,-30.0,Pass,Incomplete,0.0,,Tyler Raines,Incomplete,Trenton Kerns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:26,866,6,14,8,2,2,2,,,,,,,
48,Waynesburg,,WAY,2,,,,4.0,17.0,-30.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Case Western Reserve,,,,,,,14:26,866,6,14,8,2,2,2,,,,,,,
49,Waynesburg,K,WAY,2,,,,4.0,17.0,-30.0,Punt Rec,Return,,,,,,,,,J. Ruffing,,,,,,,Aidan Cain,10,-49.0,,,,,,Mason Mangham,29.0,41.0,Return,,,,,,,,,,,,,,12:45,765,6,14,8,1,2,1,illegal block,CWR,,,,,10.0
50,Waynesburg,O,CWR,2,,4.0,1.0,0.0,10.0,-41.0,Run,Rush,12.0,Ethan Dahlem,,,,,,,Brennan Boron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:38,758,14,6,8,1,1,2,personal foul,WAY,,,,,15.0
51,Waynesburg,O,CWR,2,,4.0,2.0,1.0,10.0,32.0,Pass,Incomplete,0.0,,Drew Saxton,Incomplete,Donald Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:38,758,14,6,8,1,1,2,,,,,,,
52,Waynesburg,O,CWR,2,,4.0,3.0,1.0,10.0,32.0,Run,Rush,14.0,Day III,,,,,,,Brennan Boron,Chase Nicomatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:38,758,14,6,8,1,1,2,,,,,,,
53,Waynesburg,O,CWR,2,,4.0,4.0,1.0,10.0,18.0,Pass,Incomplete,0.0,,Drew Saxton,Incomplete,Colt Morgan,,,,Brandon Tyson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:38,758,14,6,8,1,1,2,,,,,,,
54,Waynesburg,O,CWR,2,,4.0,5.0,2.0,10.0,18.0,Pass,Complete,4.0,,Drew Saxton,Complete,Colt Morgan,,,,Tom Hanik,Brandon Tyson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:38,758,14,6,8,1,1,2,,,,,,,
55,Waynesburg,O,CWR,2,,4.0,6.0,1.0,6.0,6.0,Pass,Complete,6.0,,Drew Saxton,Complete,Aidan Cain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,12:38,758,14,6,8,1,1,2,,,,,,,
56,Waynesburg,K,CWR,2,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brett Callow,,,Good,,,,,,,,,10:17,617,20,6,14,1,1,2,,,,,,,
57,Waynesburg,K,CWR,2,,,,,,,KO,Return,,,,,,,,,Brandon Manning,J. Stevens,,,,,,Brandon Tyson,18,31.0,Joseph Rhodes,52.0,13.0,Return,,,,,,,,,,,,,,,,,,,10:17,617,21,6,15,1,1,2,,,,,,,
58,Waynesburg,D,WAY,2,,5.0,1.0,0.0,10.0,-31.0,Run,Rush,0.0,Justin Flack,,,,,,,Kaden Tong,Austin Grillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:10,610,6,21,15,1,2,1,,,,,,,
59,Waynesburg,D,WAY,2,,5.0,2.0,2.0,10.0,-31.0,Pass,Complete,58.0,,Tyler Raines,Complete,D. Romantino,,,,Colin Schuster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:10,610,6,21,15,1,2,1,,,,,,,
60,Waynesburg,D,WAY,2,,5.0,3.0,1.0,10.0,11.0,Run,Rush,2.0,Justin Flack,,,,,,,Dominic Sais,Austin Grillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:10,610,6,21,15,1,2,1,,,,,,,
61,Waynesburg,D,WAY,2,,5.0,4.0,2.0,8.0,9.0,Pass,Incomplete,0.0,,Tyler Raines,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,10:10,610,6,21,15,1,2,1,pass interference,CWR,Austin Grillo,,,,7.0
62,Waynesburg,D,WAY,2,,5.0,5.0,1.0,2.0,2.0,Run,Rush,2.0,Nick Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,10:10,610,6,21,15,1,2,1,,,,,,,
63,Waynesburg,K,WAY,2,,,,,,,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keegan Raabe,,,Good,,,,,,,,,08:00,480,12,21,9,1,2,1,,,,,,,
64,Waynesburg,K,WAY,2,,,,,,,KO Rec,Return,,,,,,,,,Cal Kildow,,,,,,,Gage Duesler,22,32.0,Alex Moore,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,08:00,480,13,21,8,1,2,1,,,,,,,
65,Waynesburg,O,CWR,2,,5.0,1.0,0.0,10.0,-32.0,Pass,Incomplete,0.0,,Alex Fromberg,Incomplete,Riley Knurek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:52,472,21,13,8,1,1,2,,,,,,,
66,Waynesburg,O,CWR,2,,5.0,2.0,2.0,10.0,-32.0,Run,Rush,3.0,Antonio Orsini,,,,,,,Brandon Tyson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:52,472,21,13,8,1,1,2,,,,,,,
67,Waynesburg,O,CWR,2,,5.0,3.0,3.0,7.0,-35.0,Pass,Incomplete,0.0,,Drew Saxton,Incomplete,Colt Morgan,,,,Brandon Tyson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,07:52,472,21,13,8,1,1,2,,,,,,,
