PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Central (IA),K,CEN,1,,,,,,,,KO Rec,Touchback,,,,,,,,,,,,,,,,,,,,,,Logan Sunvold,65.0,,Touchback,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Central (IA),O,LOR,1,,1.0,1.0,0.0,10.0,-25.0,Coming Out,Run,Rush,2.0,Ty Bausch,middle,,,,,,,,,Derrick Voss,Nate Rahn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Central (IA),O,LOR,1,,1.0,2.0,2.0,8.0,-27.0,Gold Zone,Pass,Complete,4.0,,,Evan England,short,middle,Complete,Marty McGovern,,,,Brody Klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Central (IA),O,LOR,1,,1.0,3.0,3.0,4.0,-31.0,Gold Zone,Pass,Complete,13.0,,,Evan England,deep,middle,Complete,Jaheem Haynes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Central (IA),O,LOR,1,,1.0,4.0,1.0,10.0,-44.0,Gold Zone,Run,Rush,2.0,Evan England,right,,,,,,,,,Jr. Maddox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Central (IA),O,LOR,1,,1.0,5.0,2.0,8.0,-46.0,Go Zone,Pass,Complete,9.0,,,Evan England,short,left,Complete,Michael Crawford,,,,Benjamin Crist,Brody Klein,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Central (IA),O,LOR,1,,1.0,6.0,1.0,10.0,45.0,Go Zone,Pass,Complete,8.0,,,Evan England,short,right,Complete,Ty Bausch,,,,Reid Pakkebier,Cameron Bannister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Central (IA),O,LOR,1,,1.0,7.0,2.0,2.0,37.0,Go Zone,Pass,Complete,2.0,,,Evan England,short,right,Complete,Marty McGovern,,,,Nate Rahn,David Bakol,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Central (IA),O,LOR,1,,1.0,8.0,1.0,10.0,35.0,Take A Shot,Run,Rush,-5.0,Jamel Britt,middle,,,,,,,,,David Bakol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Central (IA),O,LOR,1,,1.0,9.0,2.0,15.0,40.0,Go Zone,Pass,Complete,0.0,,,Evan England,short,middle,Complete,Da'Mani Brown,,,,Benjamin Crist,Brody Klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
11,Central (IA),O,LOR,1,,1.0,10.0,3.0,15.0,40.0,Go Zone,Pass,Complete,8.0,,,Evan England,short,middle,Complete,Ty Bausch,,,,Brody Klein,Reece Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
12,Central (IA),O,LOR,1,,1.0,11.0,4.0,7.0,32.0,Take A Shot,Pass,Incomplete,0.0,,,Evan England,short,right,Incomplete,Da'Mani Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,15:00,1800,0,0,0,3,3,3,,,,,,,
13,Central (IA),D,CEN,1,,1.0,1.0,0.0,10.0,-32.0,Gold Zone,Pass,Complete,37.0,,,Brady Ketchum,deep,right,Complete,Ryan Neu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:40,1540,0,0,0,3,3,3,,,,,,,
14,Central (IA),D,CEN,1,,1.0,2.0,1.0,10.0,31.0,Take A Shot,Pass,Incomplete,0.0,,,Brady Ketchum,short,left,Incomplete,Logan Mont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:40,1540,0,0,0,3,3,3,,,,,,,
15,Central (IA),D,CEN,1,,1.0,3.0,2.0,10.0,31.0,Take A Shot,Pass,Sack,-7.0,,,Brady Ketchum,,,Sack,,,,,Brandon Phelps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:40,1540,0,0,0,3,3,3,,,,,,,
16,Central (IA),D,CEN,1,,1.0,4.0,3.0,17.0,38.0,Go Zone,Pass,Incomplete,0.0,,,Brady Ketchum,short,left,Incomplete,Jeff Herbers,Zach Kemp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:40,1540,0,0,0,3,3,3,,,,,,,
17,Central (IA),K,CEN,1,,,,4.0,17.0,38.0,Go Zone,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Austin Burns,33.0,,Fair Catch,,,,,,,,,,,,,,10:40,1540,0,0,0,3,3,3,,,,,,,
18,Central (IA),O,LOR,1,,2.0,1.0,0.0,10.0,-5.0,Backed Up,Pass,Incomplete,0.0,,,Evan England,short,middle,Incomplete,Marty McGovern,Jr. Maddox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:34,1474,0,0,0,3,3,3,,,,,,,
19,Central (IA),O,LOR,1,,2.0,2.0,2.0,10.0,-5.0,Backed Up,Pass,Complete,7.0,,,Evan England,short,left,Complete,Ty Bausch,,,,Jr. Maddox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:34,1474,0,0,0,3,3,3,,,,,,,
20,Central (IA),O,LOR,1,,2.0,3.0,3.0,3.0,-12.0,Coming Out,Pass,Complete,6.0,,,Evan England,short,right,Complete,Ty Bausch,,,,Reid Pakkebier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,09:34,1474,0,0,0,3,3,3,,,,,,,
21,Central (IA),K,LOR,1,,,,4.0,9.0,-6.0,Backed Up,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Aidan Driscoll,33.0,,Fair Catch,,,,,,,,,,,,,,09:34,1474,0,0,0,3,3,3,,,,,,,
22,Central (IA),D,CEN,1,,2.0,1.0,0.0,10.0,39.0,Go Zone,Run,Rush,6.0,Isaiah Walk,middle,,,,,,,,,Josh Rydberg,Blaine Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:19,1399,0,0,0,3,3,3,,,,,,,
23,Central (IA),D,CEN,1,,2.0,2.0,2.0,4.0,33.0,Take A Shot,Run,Rush,8.0,Isaiah Walk,middle,,,,,,,,,Mason Morris,Josh Rydberg,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:19,1399,0,0,0,3,3,3,,,,,,,
24,Central (IA),D,CEN,1,,2.0,3.0,1.0,10.0,25.0,Take A Shot,Run,Rush,5.0,Isaiah Walk,middle,,,,,,,,,Andrew Hefel,Mason Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:19,1399,0,0,0,3,3,3,,,,,,,
25,Central (IA),D,CEN,1,,2.0,4.0,2.0,5.0,20.0,Red Zone High,Pass,Complete,2.0,,,Brady Ketchum,short,right,Complete,Jeff Herbers,,,,,,True,Jeff Herbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:19,1399,0,0,0,3,3,3,,,,,,,
26,Central (IA),O,LOR,1,,3.0,1.0,0.0,10.0,-18.0,Coming Out,Run,Rush,2.0,Ty Bausch,middle,,,,,,,,,Tate Hagen,Nate Rahn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:13,1333,0,0,0,3,3,3,,,,,,,
27,Central (IA),O,LOR,1,,3.0,2.0,2.0,8.0,-20.0,Coming Out,Run,Rush,-1.0,Ty Bausch,middle,,,,,,,,,Tate Hagen,Brody Klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:13,1333,0,0,0,3,3,3,,,,,,,
28,Central (IA),O,LOR,1,,3.0,3.0,3.0,9.0,-19.0,Coming Out,Pass,Complete,11.0,,,Evan England,deep,left,Complete,Michael Crawford,,,,Cameron Bannister,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:13,1333,0,0,0,3,3,3,,,,,,,
29,Central (IA),O,LOR,1,,3.0,4.0,1.0,10.0,-30.0,Gold Zone,Pass,Complete,4.0,,,Evan England,short,left,Complete,Da'Mani Brown,,,,David Bakol,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:13,1333,0,0,0,3,3,3,Roughing The Passer,CEN,Sheldon Coover,,,,15.0
30,Central (IA),O,LOR,1,,3.0,5.0,1.0,10.0,-49.0,Go Zone,Pass,Complete,16.0,,,Evan England,deep,middle,Complete,Da'Mani Brown,,,,Benjamin Crist,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:13,1333,0,0,0,3,3,3,,,,,,,
31,Central (IA),O,LOR,1,,3.0,6.0,1.0,10.0,35.0,Take A Shot,Pass,Incomplete,0.0,,,Evan England,short,left,Incomplete,Michael Crawford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,07:13,1333,0,0,0,3,3,3,Pass Interference,CEN,Benjamin Crist,,,,10.0
32,Central (IA),O,LOR,1,,3.0,7.0,1.0,10.0,25.0,Take A Shot,Run,Rush,2.0,Ty Bausch,middle,,,,,,,,,David Bakol,Derrick Voss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:13,1333,0,0,0,3,3,3,,,,,,,
33,Central (IA),O,LOR,1,,3.0,8.0,2.0,8.0,23.0,Take A Shot,Pass,Complete,8.0,,,Evan England,short,middle,Complete,Jamel Britt,,,,Cameron Bannister,Reid Pakkebier,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:13,1333,0,0,0,3,3,3,,,,,,,
34,Central (IA),O,LOR,1,,3.0,9.0,1.0,10.0,15.0,Red Zone High,Pass,Complete,3.0,,,Evan England,short,left,Complete,Da'Mani Brown,,,,Reece Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:13,1333,0,0,0,3,3,3,,,,,,,
35,Central (IA),O,LOR,1,,3.0,10.0,2.0,13.0,18.0,Red Zone High,Pass,Complete,18.0,,,Evan England,deep,right,Complete,Marty McGovern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,07:13,1333,0,0,0,3,3,3,,,,,,,
36,Central (IA),K,LOR,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt.,Good,,,,,,,,,,,,Evan H: England,,,,,,,,,,,,,,,,,,,,Scott Talmadge,,,Good,,,,,,,,,03:30,1110,6,0,6,3,3,3,,,,,,,
37,Central (IA),K,LOR,1,,,,1.0,10.0,-35.0,Gold Zone,KO,Fair Catch,,,,,,,,,,,,,,,,,,,,,,Scott Talmadge,55.0,10.0,Fair Catch,,,,,,,,,,,,,,,,,,,03:30,1110,7,0,7,3,3,3,,,,,,,
38,Central (IA),D,CEN,1,,3.0,1.0,0.0,10.0,-25.0,Coming Out,Run,Rush,4.0,Jason Hopp,middle,,,,,,,,,Mason Morris,Brandon Phelps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:30,1110,0,7,7,3,3,3,,,,,,,
39,Central (IA),D,CEN,1,,3.0,2.0,2.0,6.0,-29.0,Gold Zone,Pass,Complete,1.0,,,Brady Ketchum,short,right,Complete,Jason Hopp,,,,Josh Kieffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:30,1110,0,7,7,3,3,3,,,,,,,
40,Central (IA),D,CEN,1,,3.0,3.0,3.0,7.0,-28.0,Gold Zone,Pass,Incomplete,0.0,,,Brady Ketchum,short,left,Incomplete,Logan Mont,Mason Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,03:30,1110,0,7,7,3,3,3,,,,,,,
41,Central (IA),K,CEN,1,,,,4.0,7.0,-28.0,Gold Zone,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Austin Burns,65.0,,Fair Catch,,,,,,,,,,,,,,03:30,1110,0,7,7,3,3,3,,,,,,,
