PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,BSCFB,K,CENTRE,1,,,,,,,KO,Return,,,,,,,,,Sam Murray,Patric Edwards,,,,,,Jon Lewis,15,30.0,Nick Kopp,50.0,15.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,BSCFB,D,BSCFB,1,,1.0,1.0,0.0,10.0,-30.0,Pass,Incomplete,0.0,,Trey Patterson,Incomplete,Branden Rew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,BSCFB,,BSCFB,1,,,,2.0,10.0,-30.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,false start,BSCFB,Arthur Marsden,,,,5.0
4,BSCFB,D,BSCFB,1,,1.0,2.0,2.0,15.0,-25.0,Pass,Complete,13.0,,Trey Patterson,Complete,Owen Phillips,,,,Quinton Moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,BSCFB,D,BSCFB,1,,1.0,3.0,3.0,2.0,-38.0,Run,Rush,-3.0,Robert Shufford,,,,,,,Keanan John,Armon Wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
6,BSCFB,K,BSCFB,1,,,,4.0,5.0,-35.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,Cole Porch,38.0,27.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,BSCFB,O,CENTRE,1,,1.0,1.0,0.0,10.0,-27.0,Run,Rush,4.0,Patric Edwards,,,,,,,Cameron DeArman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:33,1713,0,0,0,3,3,3,,,,,,,
8,BSCFB,O,CENTRE,1,,1.0,2.0,2.0,6.0,-31.0,Pass,Complete,7.0,,Trentin Dupper,Complete,Sam Murray,,,,Gibbs Sherrell,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:33,1713,0,0,0,3,3,3,,,,,,,
9,BSCFB,O,CENTRE,1,,1.0,3.0,1.0,10.0,-38.0,Run,Rush,1.0,Trentin Dupper,,,,,,,DJ Albright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:33,1713,0,0,0,3,3,3,,,,,,,
10,BSCFB,,CENTRE,1,,,,2.0,9.0,-39.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:33,1713,0,0,0,3,3,3,false start,CENTRE,Trentin Dupper,,,,5.0
11,BSCFB,O,CENTRE,1,,1.0,4.0,2.0,14.0,-34.0,Run,Rush,4.0,Patric Edwards,,,,,,,Connor West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:33,1713,0,0,0,3,3,3,,,,,,,
12,BSCFB,O,CENTRE,1,,1.0,5.0,3.0,10.0,-38.0,Pass,Incomplete,0.0,,Trentin Dupper,Incomplete,Jordan Gunter,,,,Jimmy Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:33,1713,0,0,0,3,3,3,,,,,,,
13,BSCFB,K,CENTRE,1,,,,4.0,10.0,-38.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Nick Kopp,62.0,0.0,,,,,,,,,,,,,,,13:33,1713,0,0,0,3,3,3,,,,,,,
14,BSCFB,D,BSCFB,1,,2.0,1.0,0.0,10.0,-20.0,Run,Rush,6.0,Trey Patterson,,,,,,,Keanan John,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:49,1549,0,0,0,3,3,3,,,,,,,
15,BSCFB,D,BSCFB,1,,2.0,2.0,2.0,4.0,-26.0,Run,Rush,3.0,Robert Shufford,,,,,,,Cole Arendsen,Miles Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:49,1549,0,0,0,3,3,3,,,,,,,
16,BSCFB,D,BSCFB,1,,2.0,3.0,3.0,1.0,-29.0,Run,Rush,3.0,Robert Shufford,,,,,,,Kaden Gervacio,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:49,1549,0,0,0,3,3,3,,,,,,,
