PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Averett,K,AU,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,Dreylan Martin,,,,,,,Trenton Johnson,14,18.0,Will Caviness,61.0,4.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Averett,O,CNU,1,,1.0,1.0,0.0,10.0,-18.0,Coming Out,Run,Rush,4.0,Gunner White,,,,,,,,,,JaVon Lofton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Averett,O,CNU,1,,1.0,2.0,2.0,6.0,-22.0,Coming Out,Run,Rush,18.0,Gunner White,,,,,,,,,,Namari Borders,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Averett,O,CNU,1,,1.0,3.0,1.0,10.0,-40.0,Gold Zone,Run,Rush,2.0,Gunner White,,,,,,,,,,Lake Hojnacki,JaVon Lofton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Averett,O,CNU,1,,1.0,4.0,2.0,8.0,-42.0,Gold Zone,Run,Rush,9.0,Colin Hart,,,,,,,,,,Isaiah Sharper,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Averett,O,CNU,1,,1.0,5.0,1.0,10.0,49.0,Go Zone,Pass,Complete,9.0,,,Matt Dzierski,,,Complete,Tyler Perry,,,,Namari Borders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Averett,O,CNU,1,,1.0,6.0,2.0,1.0,40.0,Go Zone,Run,Rush,0.0,Tyler Perry,,,,,,,,,,Lamar Horner,Jahlin Russell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Averett,,CNU,1,,,,3.0,1.0,40.0,Go Zone,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris. Newport,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Averett,O,CNU,1,,1.0,7.0,3.0,1.0,40.0,Go Zone,Run,Rush,2.0,Tyler Perry,,,,,,,,,,Cody Britt,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:50,1550,0,0,0,2,2,3,,,,,,,
10,Averett,O,CNU,1,,1.0,8.0,1.0,10.0,38.0,Go Zone,Run,Rush,11.0,Matt Dzierski,,,,,,,,,,David Payne,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:50,1550,0,0,0,2,2,3,,,,,,,
