PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,PASSER PBP,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Cal Lutheran,K,CLU,1,,,,,,,,KO Rec,Return,,,,,,,,,Keshaun Charles,,,,,,,,2,11.0,Daniel Burgos,56.0,9.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Cal Lutheran,O,CMS,1,,1.0,1.0,0.0,10.0,-11.0,Coming Out,Run,Rush,9.0,,,,,,,,Connor McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
3,Cal Lutheran,O,CMS,1,,1.0,2.0,2.0,1.0,-20.0,Coming Out,Run,Rush,23.0,,,,,,,,Daylen Wilson,Zion Brown,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
4,Cal Lutheran,O,CMS,1,,1.0,3.0,1.0,10.0,-43.0,Gold Zone,Run,Rush,2.0,,,,,,,,Zion Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
5,Cal Lutheran,O,CMS,1,,1.0,4.0,2.0,8.0,-45.0,Go Zone,Run,Rush,25.0,,,,,,,,JD Lang,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
6,Cal Lutheran,O,CMS,1,,1.0,5.0,1.0,10.0,30.0,Take A Shot,Run,Rush,9.0,,,,,,,,Zion Brown,Keshaun Charles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
7,Cal Lutheran,O,CMS,1,,1.0,6.0,2.0,1.0,21.0,Take A Shot,Run,Rush,15.0,,,,,,,,JD Lang,Keshaun Charles,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
8,Cal Lutheran,O,CMS,1,,1.0,7.0,1.0,6.0,6.0,Red Zone,Run,Rush,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
9,Cal Lutheran,O,CMS,1,,1.0,8.0,0.0,3.0,3.0,Red Zone Low,Pass,Good,,,Nick pass Parise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,True,,,TD,11:13,1573,6,0,6,3,3,3,Holding,CMS,,,,,10.0
10,Cal Lutheran,K,CMS,1,,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alessandro kick Maiuolo,,,Good,,,,,,,,,11:13,1573,6,0,6,3,3,3,,,,,,,
11,Cal Lutheran,K,CMS,1,,,,,,,,KO,Fair Catch,,,,,,,,,,,,,,,,,,,Alessandro kickoff Maiuolo,38.0,27.0,Fair Catch,,,,,,,,,,,,,,,,,,,11:13,1573,7,0,7,3,3,3,,,,,,,
12,Cal Lutheran,D,CLU,1,,1.0,1.0,0.0,9.0,-27.0,Gold Zone,Pass,Incomplete,0.0,,Nick Lasher,Incomplete,Ben Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:13,1573,0,7,7,3,3,3,,,,,,,
13,Cal Lutheran,D,CLU,1,,1.0,2.0,2.0,9.0,-27.0,Gold Zone,Pass,Complete,11.0,,Nick Lasher,Complete,Ben Anderson,,,,Ryan Enney,Stiles Satterlee,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:13,1573,0,7,7,3,3,3,,,,,,,
14,Cal Lutheran,D,CLU,1,,1.0,3.0,1.0,10.0,-38.0,Gold Zone,Run,Rush,5.0,Jackson Taylor,,,,,,,Joey Asta,Dylan Porter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:13,1573,0,7,7,3,3,3,,,,,,,
15,Cal Lutheran,D,CLU,1,,1.0,4.0,2.0,5.0,-43.0,Gold Zone,Run,Rush,1.0,Jackson Taylor,,,,,,,Dylan Porter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:13,1573,0,7,7,3,3,3,,,,,,,
