PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,PASSER PBP,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Hiram,K,HIR,1,,,,,,,,KO Rec,Return,,,,,,,,,Xavier Irving,Anthony Brumbaugh,True,Jaylin Epps,,DEN,Jaylin Epps,Jaylin Epps,4,5.0,Chris Miller,60.0,5.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Hiram,O,DEN,1,,1.0,1.0,0.0,10.0,-10.0,Backed Up,Pass,Complete,4.0,,Drew Dawkins,Complete,Trey Fabrocini,,,,Brock Mancini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:46,1786,0,0,0,3,3,3,,,,,,,
3,Hiram,O,DEN,1,,1.0,2.0,2.0,6.0,-14.0,Coming Out,Pass,Interception,0.0,,Drew Dawkins,Interception,,Sherman Cox,Brock Mancini,,,,,,,,,Brock Mancini,0,-14.0,,,,,,,,,,,,,,,,,,,,,,Interception,14:46,1786,0,0,0,3,3,3,,,,,,,
4,Hiram,D,HIR,1,,1.0,1.0,0.0,10.0,14.0,Red Zone High,Run,Rush,0.0,Gabriel Hoskins,,,,,,,Collin Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:55,1735,0,0,0,3,3,3,,,,,,,
5,Hiram,D,HIR,1,,1.0,2.0,2.0,10.0,14.0,Red Zone High,Pass,Incomplete,0.0,,Jacob Simmons,Incomplete,Trystan Mollohan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:55,1735,0,0,0,3,3,3,,,,,,,
6,Hiram,D,HIR,1,,1.0,3.0,3.0,10.0,14.0,Red Zone High,Pass,Incomplete,0.0,,Jacob Simmons,Incomplete,Rene Jimenez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed FG,13:55,1735,0,0,0,3,3,3,,,,,,,
7,Hiram,K,HIR,1,,,,4.0,10.0,14.0,Red Zone High,FG Block,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Miller,31.0,No Good,,,,,,,,,,13:55,1735,0,0,0,3,3,3,,,,,,,
8,Hiram,O,DEN,1,,2.0,1.0,0.0,10.0,-29.0,Gold Zone,Run,Rush,13.0,Mack Marston,,,,,,,Dylan Baliker,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:55,1675,0,0,0,3,3,3,,,,,,,
9,Hiram,O,DEN,1,,2.0,2.0,1.0,10.0,-42.0,Gold Zone,Run,Rush,6.0,Trey Fabrocini,,,,,,,Knowledge Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:55,1675,0,0,0,3,3,3,,,,,,,
10,Hiram,O,DEN,1,,2.0,3.0,2.0,4.0,-48.0,Go Zone,Run,Rush,6.0,Trey Fabrocini,,,,,,,Delanoe Harris,Alfred Pedro,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:55,1675,0,0,0,3,3,3,,,,,,,
