PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Anderson (Ind.),K,ANDERSON,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,Jazz Hardy,,,,,,,Danny Sheehan,35,39.0,Mateo Jesch,61.0,4.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Anderson (Ind.),O,DEPAUW,1,,1.0,1.0,0.0,10.0,-39.0,Gold Zone,Run,Rush,3.0,Gus Baumgartner,,,,,,,,,,Cayden Sotelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
3,Anderson (Ind.),,DEPAUW,1,,,,2.0,7.0,-42.0,Gold Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,offside,ANDERSON,Tristan Chamber,,,,5.0
4,Anderson (Ind.),O,DEPAUW,1,,1.0,2.0,2.0,2.0,-47.0,Go Zone,Run,Rush,-1.0,Wally Renie,,,,,,,,,,Connor Huffman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
5,Anderson (Ind.),O,DEPAUW,1,,1.0,3.0,3.0,3.0,-46.0,Go Zone,Pass,Complete,4.0,,,Wally Renie,,,Complete,Evan Bohrer,,,,Sam Feola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
6,Anderson (Ind.),O,DEPAUW,1,,1.0,4.0,1.0,10.0,-50.0,Go Zone,Run,Rush,6.0,Gus Baumgartner,,,,,,,,,,Dajon Hare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
7,Anderson (Ind.),O,DEPAUW,1,,1.0,5.0,2.0,4.0,44.0,Go Zone,Pass,Complete,17.0,,,Wally Renie,,,Complete,Gabe Quigley,,,,Cayden Sotelo,Sam Feola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
8,Anderson (Ind.),O,DEPAUW,1,,1.0,6.0,1.0,10.0,27.0,Take A Shot,Run,Rush,2.0,Drew Moore,,,,,,,,,,Cayden Sotelo,Sam Feola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
9,Anderson (Ind.),O,DEPAUW,1,,1.0,7.0,2.0,8.0,25.0,Take A Shot,Run,Rush,5.0,Gus Baumgartner,,,,,,,,,,Connor Huffman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
10,Anderson (Ind.),O,DEPAUW,1,,1.0,8.0,3.0,3.0,20.0,Red Zone High,Run,Rush,1.0,Gus Baumgartner,,,,,,,,,,Caden McClain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
11,Anderson (Ind.),O,DEPAUW,1,,1.0,9.0,4.0,2.0,19.0,Red Zone High,Run,Rush,5.0,Gus Baumgartner,,,,,,,,,,Cayden Sotelo,Dajon Hare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
12,Anderson (Ind.),O,DEPAUW,1,,1.0,10.0,1.0,10.0,14.0,Red Zone High,Pass,Incomplete,0.0,,,Wally Renie,,,Incomplete,Trey Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
