PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Capital,K,CAP,1,,,,,,,KO Rec,Return,,,,,,,,,Blake Newsome,,,,,,,,0,21.0,Eric Noble,44.0,21.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Capital,O,DEF,1,,1.0,1.0,0.0,10.0,-21.0,Run,Rush,-1.0,,,,,,,,Matthew Lauofo,Kobe Swackhammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
3,Capital,O,DEF,1,,1.0,2.0,2.0,11.0,-20.0,Run,Rush,3.0,,,,,,,,Matthew Lauofo,Jonathan Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
4,Capital,O,DEF,1,,1.0,3.0,3.0,8.0,-23.0,Pass,Sack,-11.0,,,Sack,,,,,Jack Blaisdell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:55,1795,0,0,0,3,3,3,,,,,,,
5,Capital,K,DEF,1,,,,4.0,19.0,-12.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Mathew punt Bolanos,47.0,41.0,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
6,Capital,D,CAP,1,,1.0,1.0,0.0,10.0,-41.0,Run,Rush,9.0,Jonathan Williams,,,,,,,Malique Lawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:10,1690,0,0,0,3,3,3,,,,,,,
7,Capital,D,CAP,1,,1.0,2.0,2.0,1.0,-50.0,Pass,Complete,2.0,,Ben Everson,Complete,Kameron Lee,,,,Alijah Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:10,1690,0,0,0,3,3,3,,,,,,,
8,Capital,D,CAP,1,,1.0,3.0,3.0,3.0,-48.0,Pass,Incomplete,0.0,,Ben Everson,Incomplete,Mike Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:10,1690,0,0,0,3,3,3,,,,,,,
9,Capital,K,CAP,1,,,,4.0,3.0,-48.0,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,Kameron Lee,38.0,14.0,,,,,,,,,,,,,,,13:10,1690,0,0,0,3,3,3,Face Mask,DEF,,,,,7.0
10,Capital,O,DEF,1,,2.0,1.0,0.0,10.0,-7.0,Pass,Complete,0.0,,,Complete,Devon for Brown,,,,Nick Fisanick,Malik Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,11:31,1591,0,0,0,3,3,3,Holding,DEF,,,,,3.0
11,Capital,O,DEF,1,,2.0,2.0,1.0,13.0,-4.0,Run,Rush,-3.0,,,,,,,,,,True,,,CAP,Jack Blaisdell,,,-1.0,,,,,,,,,,,,,,,,,,,,,,Fumble,11:31,1591,0,0,0,3,3,3,,,,,,,
12,Capital,D,CAP,1,,2.0,1.0,0.0,1.0,1.0,Run,Rush,-1.0,Jonathan Williams,,,,,,,Justin Caballero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:45,1545,0,0,0,3,3,3,,,,,,,
13,Capital,D,CAP,1,,2.0,2.0,2.0,2.0,2.0,Run,Rush,-3.0,Jonathan Williams,,,,,,,Justin Caballero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:45,1545,0,0,0,3,3,3,,,,,,,
14,Capital,,CAP,1,,,,3.0,5.0,5.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:45,1545,0,0,0,3,3,3,Offside,DEF,,,,,3.0
15,Capital,D,CAP,1,,2.0,3.0,3.0,2.0,2.0,Pass,Complete,2.0,,Ben Everson,Complete,Sam Pickett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,10:45,1545,0,0,0,3,3,3,,,,,,,
16,Capital,K,CAP,1,,,,,,,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eric Noble,,,Good,,,,,,,,,09:30,1470,6,0,-6,3,3,3,,,,,,,
17,Capital,K,CAP,1,,,,,,,KO Rec,Return,,,,,,,,,Balor Appiarius,,,,,,,,0,17.0,Eric Noble,48.0,17.0,Return,,,,,,,,,,,,,,,,,,,09:30,1470,7,0,-7,3,3,3,,,,,,,
