PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Bluffton,K,BLU,1,,,,,,,KO Rec,Return,,,,,,,,,Martez Nabors,,,,,,,,18,25.0,Jake Baumgartner,58.0,7.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,Holding,DEF,,,,,10.0
2,Bluffton,O,DEF,1,,1.0,1.0,0.0,10.0,-10.0,Run,Rush,3.0,,,,,,,,Nick Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
3,Bluffton,O,DEF,1,,1.0,2.0,2.0,7.0,-13.0,Run,Rush,8.0,,,,,,,,Louden Saulbeamer,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
4,Bluffton,O,DEF,1,,1.0,3.0,1.0,10.0,-21.0,Run,Rush,-2.0,,,,,,,,Keith Holmes Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
5,Bluffton,O,DEF,1,,1.0,4.0,2.0,12.0,-19.0,Run,Rush,8.0,,,,,,,,Stephan Kosakowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
6,Bluffton,O,DEF,1,,1.0,5.0,3.0,4.0,-27.0,Pass,Incomplete,0.0,,,Incomplete,Quintin broken Fortier,Stephan Kosakowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
7,Bluffton,K,DEF,1,,,,4.0,4.0,-27.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Mathew punt Bolanos,20.0,-47.0,,,,,,,,,True,,True,,,,14:52,1792,0,0,0,3,3,3,Offside,BLU,Stephan Kosakowski,,,,5.0
8,Bluffton,O,DEF,1,,2.0,1.0,0.0,10.0,-32.0,Run,Rush,5.0,,,,,,,,Nick Perry,Deion Mensah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
9,Bluffton,O,DEF,1,,2.0,2.0,2.0,5.0,-37.0,Run,Rush,2.0,,,,,,,,Nick Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
10,Bluffton,O,DEF,1,,2.0,3.0,3.0,3.0,-39.0,Run,Rush,0.0,,,,,,,,Marvus McWright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:52,1792,0,0,0,3,3,3,,,,,,,
11,Bluffton,K,DEF,1,,,,4.0,3.0,-39.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Mathew punt Bolanos,16.0,45.0,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
