PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Muhlenberg,K,MUH,1,,,,,,,KO Ret,Return,,,,,,,,,John Lohrer,,,,,,,Princeton Douglass,23,32.0,Nick Stannard,56.0,9.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Muhlenberg,O,DIC,1,,1.0,1.0,0.0,10.0,-32.0,Run,Rush,2.0,Diante Ball,,,,,,,Kyle Dormer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Muhlenberg,O,DIC,1,,1.0,2.0,2.0,8.0,-34.0,Run,Rush,4.0,Princeton Douglass,,,,,,,Spencer Kirin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Muhlenberg,O,DIC,1,,1.0,3.0,3.0,4.0,-38.0,Pass,Interception,0.0,,Tim Graham,Interception,,,Nick Sirico,Josh Ferro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interception,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Muhlenberg,D,MUH,1,,1.0,1.0,0.0,10.0,40.0,Run,Rush,13.0,Seth Paluck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:20,1700,0,0,0,3,3,3,,,,,,,
6,Muhlenberg,D,MUH,1,,1.0,2.0,1.0,10.0,27.0,Pass,Complete,11.0,,Michael Hnatkowsky,Complete,Thomas Murphy,,,,Taj DeFrance,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:20,1700,0,0,0,3,3,3,,,,,,,
7,Muhlenberg,D,MUH,1,,1.0,3.0,1.0,10.0,16.0,Pass,Complete,16.0,,Michael Hnatkowsky,Complete,Michael Feaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,13:20,1700,0,0,0,3,3,3,,,,,,,
8,Muhlenberg,K,MUH,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Stannard,,,Good,,,,,,,,,12:17,1637,6,0,-6,3,3,3,,,,,,,
9,Muhlenberg,K,MUH,1,,,,1.0,10.0,-35.0,KO Ret,Return,,,,,,,,,John Lohrer,,,,,,,Princeton Douglass,19,25.0,Nick Stannard,59.0,6.0,Return,,,,,,,,,,,,,,,,,,,12:17,1637,7,0,-7,3,3,3,,,,,,,
10,Muhlenberg,O,DIC,1,,2.0,1.0,0.0,10.0,-25.0,Pass,Incomplete,0.0,,Tim Graham,Incomplete,Robert Geiss,,,Tyler Magee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:12,1632,0,7,-7,3,3,3,,,,,,,
11,Muhlenberg,O,DIC,1,,2.0,2.0,2.0,10.0,-25.0,Run,Rush,3.0,Diante Ball,,,,,,,Spencer Kirin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:12,1632,0,7,-7,3,3,3,,,,,,,
12,Muhlenberg,O,DIC,1,,2.0,3.0,3.0,7.0,-28.0,Pass,Incomplete,0.0,,Tim Graham,Incomplete,Princeton Douglass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:12,1632,0,7,-7,3,3,3,,,,,,,
13,Muhlenberg,K,DIC,1,,,,4.0,7.0,-28.0,Punt,Return,,,,,,,,,Tommy Buchert,,,,,,,Tim Fitzpatrick,7,46.0,,,,,,Robert Geiss,33.0,39.0,Return,,,,,,,,,,,,,,12:12,1632,0,7,-7,3,3,3,Personal Foul,DIC,Justin Rocha,,,,15.0
14,Muhlenberg,D,MUH,1,,2.0,1.0,0.0,10.0,39.0,Run,Rush,4.0,Rory DeLuca,,,,,,,Thomas Stark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:09,1569,7,0,-7,3,3,3,,,,,,,
15,Muhlenberg,D,MUH,1,,2.0,2.0,2.0,6.0,35.0,Run,Rush,10.0,Michael Hnatkowsky,,,,,,,Brian Snow,Dominic Fusco,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:09,1569,7,0,-7,3,3,3,,,,,,,
16,Muhlenberg,D,MUH,1,,2.0,3.0,1.0,10.0,25.0,Pass,Complete,14.0,,Michael Hnatkowsky,Complete,James Nye,,,,Tommy Buchert,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:09,1569,7,0,-7,3,3,3,,,,,,,
17,Muhlenberg,D,MUH,1,,2.0,4.0,1.0,10.0,11.0,Pass,Incomplete,0.0,,Michael Hnatkowsky,Incomplete,Thomas Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:09,1569,7,0,-7,3,3,3,,,,,,,
18,Muhlenberg,D,MUH,1,,2.0,5.0,2.0,10.0,11.0,Run,Rush,1.0,Rory DeLuca,,,,,,,Griffin Lundquist,Brian Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:09,1569,7,0,-7,3,3,3,,,,,,,
19,Muhlenberg,D,MUH,1,,2.0,6.0,3.0,9.0,10.0,Pass,Complete,10.0,,Michael Hnatkowsky,Complete,Michael Feaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,11:09,1569,7,0,-7,3,3,3,,,,,,,
20,Muhlenberg,K,MUH,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Stannard,,,Good,,,,,,,,,08:39,1419,13,0,-13,3,3,3,,,,,,,
21,Muhlenberg,K,MUH,1,,,,1.0,10.0,-35.0,KO Ret,Return,,,,,,,,,Michael Feaster,,,,,,,Princeton Douglass,35,42.0,Nick Stannard,58.0,7.0,Return,,,,,,,,,,,,,,,,,,,08:39,1419,14,0,-14,3,3,3,Illegal Block in Back,DIC,,,,,10.0
22,Muhlenberg,O,DIC,1,,3.0,1.0,0.0,10.0,-16.0,Pass,Incomplete,0.0,,Robert Geiss,Incomplete,Bryce Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:31,1411,0,14,-14,3,3,3,,,,,,,
23,Muhlenberg,O,DIC,1,,3.0,2.0,2.0,10.0,-16.0,Pass,Complete,1.0,,Tim Graham,Complete,Bryce Baylor,,,,Jay McGill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:31,1411,0,14,-14,3,3,3,,,,,,,
24,Muhlenberg,O,DIC,1,,3.0,3.0,3.0,9.0,-17.0,Pass,Complete,13.0,,Tim Graham,Complete,Johnny Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:31,1411,0,14,-14,3,3,3,,,,,,,
25,Muhlenberg,O,DIC,1,,3.0,4.0,1.0,10.0,-30.0,Pass,Incomplete,0.0,,Tim Graham,Incomplete,,,,Quentin Ogren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:31,1411,0,14,-14,3,3,3,,,,,,,
26,Muhlenberg,O,DIC,1,,3.0,5.0,2.0,10.0,-30.0,Pass,Complete,0.0,,Robert Geiss,Complete,Bryce Peterson,,,,Jack Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:31,1411,0,14,-14,3,3,3,,,,,,,
