PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Juniata,K,JCFB21,1,,,,,,,KO Ret,Return,,,,,,,,,Austin Nash,,,,,,,P. Douglass,15,22.0,Beckett Leary,58.0,7.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Juniata,O,DC,1,,1.0,1.0,0.0,10.0,-22.0,Pass,Incomplete,0.0,,Tim Graham,Incomplete,Bryce Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Juniata,O,DC,1,,1.0,2.0,2.0,10.0,-22.0,Pass,Complete,0.0,,Tim Graham,Complete,P. Douglass,,,,Nathan Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Juniata,O,DC,1,,1.0,3.0,3.0,10.0,-22.0,Pass,Complete,18.0,,Tim Graham,Complete,Robert Geiss,,,,Noah Waters,Michael Grapin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Juniata,O,DC,1,,1.0,4.0,1.0,10.0,-40.0,Run,Rush,2.0,Diante Ball,,,,,,,Logan Peachey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Juniata,O,DC,1,,1.0,5.0,2.0,8.0,-42.0,Run,Rush,-4.0,P. Douglass,,,,,,,Adam Grajewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Juniata,O,DC,1,,1.0,6.0,3.0,12.0,-38.0,Pass,Incomplete,0.0,,Tim Graham,Incomplete,Bryce Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Juniata,O,DC,1,,1.0,7.0,4.0,12.0,-38.0,Pass,,0.0,,PENALTY JCFB21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Juniata,O,DC,1,,1.0,8.0,1.0,10.0,49.0,Run,Rush,-1.0,Tim Graham,,,,,,,,,True,Tim Graham,,DC,Diante Ball,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Juniata,O,DC,1,,1.0,9.0,2.0,11.0,-50.0,Pass,Complete,3.0,,Tim Graham,Complete,Robert Geiss,,,,Jr Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
11,Juniata,O,DC,1,,1.0,10.0,3.0,8.0,47.0,Pass,Incomplete,0.0,,Tim Graham,Incomplete,P. Douglass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
12,Juniata,K,DC,1,,,,4.0,8.0,47.0,Punt,Blocked,,,,,,,,,,,,,,,,,,,,,,,,Robert Geiss,9.0,38.0,Blocked,Seth Bernstein,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
13,Juniata,D,JCFB21,1,,1.0,1.0,0.0,10.0,38.0,Run,Rush,-2.0,Hunter Wolfley,,,,,,,Neville Krueger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:21,1521,0,0,0,3,3,3,,,,,,,
14,Juniata,D,JCFB21,1,,1.0,2.0,2.0,12.0,36.0,Pass,Complete,5.0,,Jason Clark,Complete,Javon Heggs,,,,Dominic Fusco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:21,1521,0,0,0,3,3,3,,,,,,,
15,Juniata,D,JCFB21,1,,1.0,3.0,3.0,17.0,31.0,Run,Rush,9.0,Charles Debose,,,,,,,Taj DeFrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:21,1521,0,0,0,3,3,3,unsportmanlike conduct,DC,,,,,15.0
16,Juniata,D,JCFB21,1,,1.0,4.0,1.0,10.0,45.0,Run,Rush,-4.0,Charles Debose,,,,,,,Ellis Tompkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:21,1521,0,0,0,3,3,3,,,,,,,
17,Juniata,,JCFB21,1,,,,2.0,14.0,49.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:21,1521,0,0,0,3,3,3,,,,,,,
