PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,McMurry,K,McM,1,,,,,,,KO Ret,Return,,,,,,,,,Cooper Conn,,,,,,,Semaj Boyd,25,30.0,Jared Mendoza,60.0,5.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,McMurry,O,ETX,1,,1.0,1.0,0.0,10.0,-30.0,Run,Rush,3.0,Troy Yowman,,,,,,,Micheas Garibaldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,McMurry,O,ETX,1,,1.0,2.0,2.0,7.0,-33.0,Pass,Sack,-8.0,,Troy Yowman,Sack,,,,,Devin Nixon,,True,Troy Yowman,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,14:54,1794,0,0,0,3,3,3,,,,,,,
4,McMurry,,ETX,1,,,,1.0,10.0,-3.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:12,1752,6,0,6,3,3,3,,,,,,,5.0
5,McMurry,K,ETX,1,,,,1.0,-8.0,-8.0,Extra Pt.,Blocked,,,,,,,,,,,,,,,,Jared Mendoza,2,-8.0,,,,,,,,,,Cameron Kaufert,Jared Mendoza,,,Blocked,,,,,,,,,14:12,1752,6,0,6,3,3,3,,,,,,,
6,McMurry,K,ETX,1,,,,1.0,10.0,35.0,KO,Return,,,,,,,,,Rickey Bell,,,,,,,Semaj Boyd,38,-39.0,Jared Mendoza,64.0,-1.0,Return,,,,,,,,,,,,,,,,,,,14:12,1752,6,0,6,3,3,3,Holding,ETX,Jaden Thomas,,,,10.0
7,McMurry,O,ETX,1,,2.0,1.0,0.0,10.0,-29.0,Pass,Complete,6.0,,Troy Yowman,Complete,DeCarlos Frazier,,,,Micheas Garibaldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:06,1746,0,6,6,3,3,3,,,,,,,
8,McMurry,O,ETX,1,,2.0,2.0,2.0,4.0,-35.0,Pass,Complete,65.0,,Troy Yowman,Complete,Dony Givens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,14:06,1746,0,6,6,3,3,3,,,,,,,
9,McMurry,K,ETX,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alberto Garcia,,,Good,,,,,,,,,13:40,1720,6,6,0,3,3,3,,,,,,,
10,McMurry,K,ETX,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,Joshua Whitmore,,,,,,,JT Anthony,14,23.0,Alberto Garcia,56.0,9.0,Return,,,,,,,,,,,,,,,,,,,13:40,1720,7,6,1,3,3,3,,,,,,,
11,McMurry,D,McM,1,,1.0,1.0,0.0,10.0,23.0,Run,Rush,1.0,Dexter Wyble,,,,,,,Chase Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:35,1715,6,7,1,3,3,3,,,,,,,
12,McMurry,D,McM,1,,1.0,2.0,2.0,9.0,24.0,Run,Rush,-1.0,Dee Robinson,,,,,,,De'Quallon Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:35,1715,6,7,1,3,3,3,,,,,,,
13,McMurry,D,McM,1,,1.0,3.0,3.0,10.0,23.0,Pass,Complete,16.0,,Ricardo Luna,Complete,Zachary Wood,,,,Robert Williams,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:35,1715,6,7,1,3,3,3,,,,,,,
14,McMurry,D,McM,1,,1.0,4.0,1.0,10.0,39.0,Pass,Complete,3.0,,Dexter Wyble,Complete,Dee Robinson,,,,Chase Thompson,KJ Kelley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:35,1715,6,7,1,3,3,3,,,,,,,
15,McMurry,D,McM,1,,1.0,5.0,2.0,7.0,42.0,Run,Rush,10.0,Kameron Session,,,,,,,James Wright IV,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:35,1715,6,7,1,3,3,3,,,,,,,
16,McMurry,D,McM,1,,1.0,6.0,1.0,10.0,48.0,Pass,Incomplete,0.0,,Ricardo Luna,Incomplete,Kristopher Martin,KJ Kelley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:35,1715,6,7,1,3,3,3,,,,,,,
17,McMurry,D,McM,1,,1.0,7.0,2.0,10.0,48.0,Pass,Complete,5.0,,Ricardo Luna,Complete,Zachary Wood,,,,Robert Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:35,1715,6,7,1,3,3,3,,,,,,,
18,McMurry,D,McM,1,,1.0,8.0,3.0,5.0,43.0,Run,Rush,5.0,Kameron Session,,,,,,,Kade Stephenson,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:35,1715,6,7,1,3,3,3,,,,,,,
19,McMurry,D,McM,1,,1.0,9.0,1.0,10.0,38.0,Pass,Incomplete,0.0,,Ricardo Luna,Incomplete,Nicholas Kuykendall,Robert Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,13:35,1715,6,7,1,3,3,3,Offside,ETX,Keegan Patty,,,,5.0
20,McMurry,D,McM,1,,1.0,10.0,1.0,5.0,33.0,Run,Rush,2.0,Kameron Session,,,,,,,Chad Pajestka,Keegan Patty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:35,1715,6,7,1,3,3,3,,,,,,,
21,McMurry,D,McM,1,,1.0,11.0,2.0,3.0,31.0,Pass,Incomplete,0.0,,Ricardo Luna,Incomplete,Nicholas Kuykendall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,13:35,1715,6,7,1,3,3,3,,,,,,,10.0
22,McMurry,D,McM,1,,1.0,12.0,2.0,13.0,41.0,Pass,Complete,9.0,,Ricardo Luna,Complete,Jermond Lovely,,,,EJ Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:35,1715,6,7,1,3,3,3,,,,,,,
23,McMurry,D,McM,1,,1.0,13.0,3.0,4.0,32.0,Run,Rush,6.0,Kameron Session,,,,,,,Zach Pike,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:35,1715,6,7,1,3,3,3,,,,,,,
24,McMurry,D,McM,1,,1.0,14.0,1.0,10.0,26.0,Pass,Incomplete,0.0,,Ricardo Luna,Incomplete,Jermond Lovely,EJ Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:35,1715,6,7,1,3,3,3,,,,,,,
25,McMurry,D,McM,1,,1.0,15.0,2.0,10.0,26.0,Pass,Incomplete,0.0,,Ricardo Luna,Incomplete,Jermond Lovely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:35,1715,6,7,1,3,3,3,,,,,,,
26,McMurry,D,McM,1,,1.0,16.0,3.0,10.0,26.0,Pass,Sack,-4.0,,Ricardo Luna,Sack,,,,,Cameron Kaufert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:35,1715,6,7,1,3,3,3,,,,,,,
27,McMurry,D,McM,1,,1.0,17.0,4.0,14.0,30.0,Pass,Incomplete,0.0,,Ricardo Luna,Incomplete,Kristopher Martin,Azaya Patrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,13:35,1715,6,7,1,3,3,3,,,,,,,
28,McMurry,O,ETX,1,,3.0,1.0,0.0,10.0,-30.0,Run,Rush,4.0,Troy Yowman,,,,,,,Micheas Garibaldi,Josh Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:14,1334,7,6,1,3,3,3,,,,,,,
29,McMurry,O,ETX,1,,3.0,2.0,2.0,6.0,-34.0,Run,Rush,4.0,Noel Shane,,,,,,,Coryell Fillmore,Josh Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,07:14,1334,7,6,1,3,3,3,Holding,ETX,Johnny Perez,,,,10.0
30,McMurry,O,ETX,1,,3.0,3.0,2.0,16.0,-24.0,Pass,Complete,5.0,,Troy Yowman,Complete,Cade Fant,,,,Josh Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:14,1334,7,6,1,3,3,3,,,,,,,
31,McMurry,,ETX,1,,,,3.0,11.0,-29.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:14,1334,7,6,1,3,3,3,False Start,ETX,Kaleb O'Bryant,,,,5.0
32,McMurry,O,ETX,1,,3.0,4.0,3.0,16.0,-24.0,Run,Rush,4.0,Noel Shane,,,,,,,Devin Nixon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,07:14,1334,7,6,1,3,3,3,,,,,,,
33,McMurry,K,ETX,1,,,,4.0,12.0,-28.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Alex Child,30.0,42.0,,,,,,,,,,,,,,,07:14,1334,7,6,1,3,3,3,,,,,,,10.0
34,McMurry,D,McM,1,,2.0,1.0,0.0,10.0,32.0,Pass,Complete,2.0,,Dexter Wyble,Complete,Kameron Session,,,,Chase Thompson,Azaya Patrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:54,1134,6,7,1,3,3,3,,,,,,,
