PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,BCFB,K,FC,1,,,,,,,KO,Return,,,,,,,,,Isaiah Clark,,,,,,,Viante Tucker,31,45.0,Isaiah Clark,51.0,14.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,BCFB,D,BCFB,1,,1.0,1.0,0.0,10.0,-45.0,Run,Rush,-2.0,D. Jalepes,,,,,,,,,True,D. Jalepes,R. Hairston,BCFB,Viante Tucker,,,-38.0,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,BCFB,D,BCFB,1,,1.0,2.0,2.0,17.0,-38.0,Run,Rush,3.0,D. Jalepes,,,,,,,Tanner Kennedy,Will Hairston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,BCFB,D,BCFB,1,,1.0,3.0,3.0,14.0,-41.0,Pass,Incomplete,0.0,,Matt Lawton,Incomplete,Chad Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,BCFB,K,BCFB,1,,,,4.0,14.0,-41.0,Punt Ret,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Garrett Graves,48.0,11.0,Fair Catch,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,BCFB,O,FC,1,,1.0,1.0,0.0,10.0,-11.0,Run,Rush,6.0,Daniel Lamb,,,,,,,J. Cunningham,Chase Rosenthal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:30,1710,0,0,0,3,3,3,,,,,,,
7,BCFB,O,FC,1,,1.0,2.0,2.0,4.0,-17.0,Pass,Complete,12.0,,Titus Jones,Complete,Daniel Lamb,,,,Nazeer Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:30,1710,0,0,0,3,3,3,,,,,,,
8,BCFB,O,FC,1,,1.0,3.0,1.0,10.0,-29.0,Run,Rush,3.0,Zac Smiley,,,,,,,Brett Tharp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:30,1710,0,0,0,3,3,3,,,,,,,
9,BCFB,O,FC,1,,1.0,4.0,2.0,7.0,-32.0,Run,Rush,1.0,Zac Smiley,,,,,,,A. Cromwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:30,1710,0,0,0,3,3,3,,,,,,,
10,BCFB,O,FC,1,,1.0,5.0,3.0,6.0,-33.0,Pass,Incomplete,0.0,,Titus Jones,Incomplete,Nic Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:30,1710,0,0,0,3,3,3,,,,,,,
