PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Benedictine (Ill.),K,BENEDICT,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,Tyl Durflinger,,,,,,,R. TOLDNESS,22,22.0,Liam McCarty,65.0,0.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Benedictine (Ill.),,FINNU,1,,,,1.0,10.0,-22.0,Coming Out,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benedictine (Ill.),,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Benedictine (Ill.),O,FINNU,1,,1.0,1.0,0.0,10.0,-22.0,Coming Out,Run,Rush,3.0,J. HALEY,,,,,,,,,,Danny Green,Brandon Bryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,2,,,,,,,
4,Benedictine (Ill.),O,FINNU,1,,1.0,2.0,2.0,7.0,-25.0,Coming Out,Run,Rush,4.0,A. BIGNALL,,,,,,,,,,Tyler Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,2,,,,,,,
5,Benedictine (Ill.),O,FINNU,1,,1.0,3.0,3.0,3.0,-29.0,Gold Zone,Run,Rush,2.0,A. BIGNALL,,,,,,,,,,Sergio Ayala,Kyle Easley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:54,1794,0,0,0,3,3,2,,,,,,,
6,Benedictine (Ill.),,FINNU,1,,,,4.0,1.0,-31.0,Gold Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,2,false start,FINNU,,,,,5.0
7,Benedictine (Ill.),K,FINNU,1,,,,4.0,6.0,-26.0,Gold Zone,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,,,H. PYLES,25.0,49.0,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,2,,,,,,,
8,Benedictine (Ill.),D,BENEDICT,1,,1.0,1.0,0.0,10.0,-49.0,Go Zone,Run,Rush,13.0,Gregory Hoard,,,,,,,,,,C. GARBOWSKI,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:56,1676,0,0,0,3,2,3,,,,,,,
9,Benedictine (Ill.),D,BENEDICT,1,,1.0,2.0,1.0,10.0,38.0,Go Zone,Pass,Complete,25.0,,,Tyler Jarnagin,,,Complete,Deand Holliday,,,,M. ARCHER,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:56,1676,0,0,0,3,2,3,,,,,,,
10,Benedictine (Ill.),D,BENEDICT,1,,1.0,3.0,1.0,10.0,13.0,Red Zone,Pass,Incomplete,0.0,,,Tyler Jarnagin,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:56,1676,0,0,0,3,2,3,,,,,,,
11,Benedictine (Ill.),D,BENEDICT,1,,1.0,4.0,2.0,10.0,13.0,Red Zone,Pass,Incomplete,0.0,,,Tyler Jarnagin,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:56,1676,0,0,0,3,2,3,,,,,,,
12,Benedictine (Ill.),D,BENEDICT,1,,1.0,5.0,3.0,10.0,13.0,Red Zone,Pass,Incomplete,0.0,,,Tyler Jarnagin,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,12:56,1676,0,0,0,3,2,3,,,,,,,
13,Benedictine (Ill.),K,BENEDICT,1,,,,4.0,10.0,13.0,Red Zone,FG Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tanner Mateus,30.0,Good,,,,,,,,,,12:56,1676,0,0,0,3,2,3,,,,,,,
14,Benedictine (Ill.),K,BENEDICT,1,,,,1.0,-35.0,-35.0,Gold Zone,KO Rec,Return,,,,,,,,,,,,Kev Gniedzieko,,,,,,,R. TOLDNESS,7,9.0,Liam McCarty,63.0,2.0,Return,,,,,,,,,,,,,,,,,,,11:35,1595,3,0,-3,3,2,3,,,,,,,
15,Benedictine (Ill.),O,FINNU,1,,2.0,1.0,0.0,10.0,-9.0,Backed Up,Run,Rush,1.0,J. HALEY,,,,,,,,,,Michael Wagner,Brendan Truett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:26,1586,0,3,-3,3,3,2,,,,,,,
16,Benedictine (Ill.),O,FINNU,1,,2.0,2.0,2.0,9.0,-10.0,Backed Up,Run,Rush,5.0,JOR. GARCIA,,,,,,,,,,Michael Dinaso,T O'Malley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:26,1586,0,3,-3,3,3,2,,,,,,,
17,Benedictine (Ill.),O,FINNU,1,,2.0,3.0,3.0,4.0,-15.0,Coming Out,Pass,Complete,85.0,,,H. MILES,,,Complete,R. TOLDNESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,11:26,1586,0,3,-3,3,3,2,,,,,,,
18,Benedictine (Ill.),K,FINNU,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H. PYLES,,,Good,,,,,,,,,10:04,1504,6,3,3,3,3,2,,,,,,,
