PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Framingham St.,K,FITCHBUR,1,,,,,,,KO,,,,,,,,,,,,,,,FITCHBUR,on FRAMINGH34,,,,Mac Kimball,31.0,34.0,,True,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Framingham St.,O,FITCHBUR,1,,1.0,1.0,0.0,10.0,34.0,Run,Rush,1.0,Frank Sims,,,,,,,Anderson Larosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Framingham St.,O,FITCHBUR,1,,1.0,2.0,2.0,9.0,33.0,Pass,Incomplete,0.0,,Joseph Haskins,Incomplete,Jordan Dickerso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Framingham St.,O,FITCHBUR,1,,1.0,3.0,3.0,9.0,33.0,Run,Rush,-1.0,Joseph Haskins,,,,,,,Nick Ashley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Framingham St.,K,FITCHBUR,1,,,,4.0,10.0,34.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Haskins,33.0,1.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Framingham St.,D,FRAMINGH,1,,1.0,1.0,0.0,10.0,-1.0,Pass,Complete,11.0,,Nicolas Goffred,Complete,Elijah Nichols,,,,Matthew Aguirre,Torrian Wise Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:34,1714,0,0,0,3,3,3,,,,,,,
7,Framingham St.,D,FRAMINGH,1,,1.0,2.0,1.0,10.0,-12.0,Pass,Incomplete,0.0,,Nicolas Goffred,Incomplete,Nicholas Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:34,1714,0,0,0,3,3,3,,,,,,,
8,Framingham St.,D,FRAMINGH,1,,1.0,3.0,2.0,10.0,-12.0,Pass,Complete,14.0,,Nicolas Goffred,Complete,Elijah Nichols,,,,Marcus Moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:34,1714,0,0,0,3,3,3,,,,,,,
9,Framingham St.,D,FRAMINGH,1,,1.0,4.0,1.0,10.0,-26.0,Run,Rush,3.0,Devaun Ford,,,,,,,Andrew Winningh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:34,1714,0,0,0,3,3,3,,,,,,,
10,Framingham St.,D,FRAMINGH,1,,1.0,5.0,2.0,7.0,-29.0,Pass,Complete,23.0,,Nicolas Goffred,Complete,Elijah Nichols,,,,Michael Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:34,1714,0,0,0,3,3,3,,,,,,,
