PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,McDaniel,K,MCD,1,,,,,,,,KO Rec,,,,,,,,,,,,,,,,,,,,,,,William Looney,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,McDaniel,O,FMC,1,,1.0,1.0,0.0,10.0,-25.0,Coming Out,Run,Rush,-3.0,Aaron Rascoe,,,,,,,,,,J. Tranquillo,Jaylen Kelley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,McDaniel,O,FMC,1,,1.0,2.0,2.0,13.0,-22.0,Coming Out,Run,Rush,2.0,Logan Clouse,,,,,,,,,,Jaylen Kelley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,McDaniel,O,FMC,1,,1.0,3.0,3.0,11.0,-24.0,Coming Out,Pass,Sack,-5.0,,,Logan Clouse,,,Sack,,,,,Mamut Conteh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,holding,FMC,,,,,
5,McDaniel,K,FMC,1,,,,4.0,16.0,-19.0,Coming Out,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,J. Rodenberger,35.0,46.0,Fair Catch,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,McDaniel,D,MCD,1,,1.0,1.0,0.0,10.0,-46.0,Go Zone,Run,Rush,3.0,Trent Gaskins,,,,,,,,,,Jacob Hille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:09,1689,0,0,0,3,3,3,,,,,,,
7,McDaniel,D,MCD,1,,1.0,2.0,2.0,7.0,-49.0,Go Zone,Run,Rush,3.0,Trent Gaskins,,,,,,,,,,Jacob Hille,Matt Wertz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:09,1689,0,0,0,3,3,3,,,,,,,
8,McDaniel,D,MCD,1,,1.0,3.0,3.0,4.0,48.0,Go Zone,Pass,Complete,1.0,,,Eric Grinwis,,,Complete,Aaron Gale,,,,Matt Scully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:09,1689,0,0,0,3,3,3,,,,,,,
9,McDaniel,K,MCD,1,,,,4.0,3.0,47.0,Go Zone,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicco Vargas,47.0,0.0,,,,,,,,,,,,,,,13:09,1689,0,0,0,3,3,3,,,,,,,
10,McDaniel,O,FMC,1,,2.0,1.0,0.0,10.0,-20.0,Coming Out,Run,Rush,9.0,Isaiah Brown,,,,,,,,,,Mike Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:39,1599,0,0,0,3,3,3,,,,,,,
